model,auc,precision,recall,f1,accuracy,ece
albert,0.84501084353898,0.7313653981677193,0.7521579471201315,0.7408136400772108,0.7815148288917506,0.038622357782366605
albert_cal,0.8453373662799887,0.7442419565988938,0.7297478394910546,0.7363887160632112,0.7830081939777009,0.014480704707668907
biobert,0.883077509636464,0.7690715445867407,0.7887086025745271,0.7786433226261044,0.8138316073912822,0.04110420761336626
biobert_cal,0.8825324711945346,0.7914980133024516,0.7509091704510775,0.7703652650640802,0.8141806074387381,0.013653135471927568
biomistral_paper,0.8707617158945787,0.7754736778643926,0.7395615274053717,0.7564604261789636,0.802503075457294,0.03296105280839232
biomistral_paper_cal,0.870198115485227,0.7728123945455208,0.7441143913326883,0.757621447260243,0.802444783446879,0.012633889047978828
biomistral_r128,0.8287842571267193,0.724834110634567,0.7041826310286396,0.7059046786469306,0.7619407495940619,0.05509577448242092
biomistral_r128_cal,0.8283642859797856,0.7156628874744634,0.720310740469949,0.7169480443086105,0.7644231255344079,0.01571568855158925
biomistral_r64,0.8027365359152754,0.6942153281390229,0.6963995586203195,0.6933923339702656,0.7453162730327905,0.09497393242428379
biomistral_r64_cal,0.8025834359244509,0.6946664455499793,0.7195496235174615,0.7059923405445183,0.7513778822857182,0.012990623710200811
gemma3_12b_paper,0.8788703025099869,0.7793893779921943,0.74938725220092,0.7635353684847003,0.8073276824874027,0.034879346946961085
gemma3_12b_paper_cal,0.8782699320026026,0.7805280074768277,0.7452779827055184,0.7621574761849733,0.8070649426703213,0.015292257076672564
gemma3_paper,0.8786618805522407,0.7873450340440098,0.7307748833744505,0.7575023961343124,0.8060319470082581,0.04632763014388175
gemma3_paper_cal,0.878069747744582,0.7810735844010571,0.7434619361872267,0.7616162442728178,0.8067164576158283,0.017174374930479627
gemma3_r128,0.8858534355548985,0.7964170539455496,0.7381413204788572,0.7651040614757412,0.8123393737987911,0.03834176714593705
gemma3_r128_cal,0.8855205599843788,0.7845177814974307,0.768388643889789,0.776339314076028,0.8161315964647236,0.012521626881532308
gemma3_r64,0.8767696090627599,0.7777517571495907,0.7453434716427183,0.7602081305841552,0.8049288392082061,0.03028998544929843
gemma3_r64_cal,0.8764942233756136,0.7690974145235847,0.7619343867904551,0.7652857839328251,0.8058923800619148,0.014914129983746149
gemma4_12b_paper,0.8800307180630907,0.784506843438185,0.751194042006057,0.7660024027134098,0.8102365654417982,0.044315126920574203
