model,auc,precision,recall,f1,accuracy,ece
albert,0.8547796894773502,0.7321991178323881,0.7623005319148937,0.7432624113475177,0.781664656212304,0.03669480451773209
albert_cal,0.8545057830592497,0.7474949899799599,0.7339805825242719,0.7402088772845953,0.786623776973596,0.015223210556167585
biobert,0.8818650653505489,0.7651324085750315,0.7868852459016393,0.7724206022708573,0.8112853504892106,0.040366866628471144
biobert_cal,0.8811349294667191,0.7920415224913495,0.7470266795242687,0.7655518394648829,0.8135709389993147,0.01282786130656934
biomistral_paper,0.871478912376358,0.7701189643107068,0.756483664533513,0.7595727198027937,0.8035450516986706,0.03366809021269088
biomistral_paper_cal,0.8715405664235267,0.7663734115347018,0.7460424385314921,0.7637603507062835,0.8042494859492804,0.014617857844400447
biomistral_r128,0.8310589276896867,0.70828025477707,0.7393617021276596,0.7321629892092124,0.7675271547467908,0.034170365935047055
biomistral_r128_cal,0.8310051355920565,0.7114974077462641,0.7318962613674638,0.7221035332785538,0.7664831475762052,0.016907266683086522
biomistral_r64,0.7987983757798194,0.6794446121340175,0.6680892974392646,0.6925302024842607,0.7474961207504585,0.0795657714500746
biomistral_r64_cal,0.7993619533820705,0.7010816125860374,0.7204445941394408,0.7106312292358804,0.7506511309115833,0.013470908717427857
gemma3_12b_paper,0.8761826439189154,0.7779286926994906,0.7541037426132633,0.7594171997157072,0.8031095027476209,0.03617708304202807
gemma3_12b_paper_cal,0.87543762619027,0.7778544325629527,0.7325618772099004,0.7561380225613802,0.8017691998391636,0.01572026186803409
gemma3_paper,0.8756643507834175,0.7833553500660502,0.7383477981356477,0.7597155614354225,0.8027691054703407,0.04112426635725939
gemma3_paper_cal,0.8751141889259463,0.7785594639865997,0.7470266795242687,0.7580945923037803,0.8038382453735435,0.014773869622488844
gemma3_r128,0.8847244749139164,0.7932979429329794,0.731779382797111,0.7594548551959114,0.8103934470256479,0.03520601978306851
gemma3_r128_cal,0.8845447046666689,0.7850467289719626,0.7660194174757281,0.7729191288198548,0.8140190680811065,0.012573625010378234
gemma3_r64,0.8752646872024996,0.7681716298430996,0.7540453074433657,0.7611111111111111,0.8046268867259134,0.023219262728682275
gemma3_r64_cal,0.8749878594117645,0.7739279588336192,0.7632978723404256,0.7670689370143825,0.8054250033570566,0.013103250139372424
gemma4_12b_paper,0.8817379518741861,0.7833865814696486,0.7837655776355675,0.7774528914879792,0.8160333020008057,0.04676902466970831
gemma4_12b_paper_cal,0.8814770877447866,0.7830248883216337,0.7702930279555406,0.780354267310789,0.8168389955686853,0.014767576872472316
med_llama_paper,0.8672100663683874,0.7570785070785071,0.7563484410157506,0.7576739163967299,0.7965729952021933,0.055684554781306114
med_llama_paper_cal,0.866648272362263,0.7673149095871716,0.7346278317152104,0.750418200066912,0.7974802305321003,0.01078742749459916
med_llama_r128,0.883166301284059,0.7772527843401957,0.7402764384442302,0.7646351931330472,0.8073984720546844,0.04105316849179708
med_llama_r128_cal,0.8821819894138997,0.7683284457478006,0.7766990291262136,0.7739438890680426,0.8120895322342849,0.015678157871776576
med_llama_r64,0.8386498844229711,0.7153307888040712,0.7357762777242044,0.7228801515869256,0.7732693625771077,0.02436939913693609
med_llama_r64_cal,0.8379827419238767,0.7189605389797883,0.7443583698214887,0.7239745056381762,0.7736228387615601,0.014825168934637102
medgemma_paper,0.8757108864561463,0.7719417146729922,0.747866053841103,0.7597131899282975,0.8064992614475628,0.04540457943255529
medgemma_paper_cal,0.8751040435357392,0.7707027383701749,0.7660194174757281,0.7592001344311881,0.807573519538069,0.011790761750407091
medgemma_r128,0.8894457696797442,0.7777076097252921,0.8076165462902167,0.77897403419886,0.8194651825709244,0.051705084048411974
medgemma_r128_cal,0.8887790987836033,0.7992651970607882,0.7724919093851133,0.7839475839475839,0.8209583276774807,0.013515805294799494
medgemma_r64,0.8800048502675704,0.779782164737917,0.7678923177938279,0.7691548832620848,0.8104180945853324,0.04187884259550041
medgemma_r64_cal,0.8799604280230587,0.7683941138835573,0.7787261982928431,0.7703799935043846,0.8101248825030214,0.01397866689591481
mediphi_4b_paper,0.8752082604387735,0.7549295774647887,0.7692055154300722,0.7603439883173779,0.8016651000402847,0.029357023532218626
mediphi_4b_paper_cal,0.8751023521371324,0.7715736040609137,0.7426743011114854,0.759581881533101,0.8034107694373573,0.015906765606012185
modernbert,0.8893397633147703,0.7781329923273658,0.7836708453873352,0.7825281679271493,0.812678159359305,0.045178685730028915
modernbert_cal,0.8889650171513405,0.7845060893098782,0.7741300065659882,0.7827848101265823,0.8184511214557766,0.013867458052174325
phi4_14b_paper,0.8756242586443925,0.7826961770623743,0.7553398058252427,0.762403798919273,0.80515643883443,0.03323296841592316
phi4_14b_paper_cal,0.8752901057874127,0.7832827772160431,0.7521035598705501,0.7651775486827033,0.8046193097891768,0.015399452311201722
pubmedbert,0.8835809023338249,0.7553159628631326,0.7800606264735601,0.7787491593813046,0.8143602764846946,0.04221907759782134
pubmedbert_cal,0.8832760940724051,0.7818651177799291,0.740990232401482,0.7719298245614035,0.8166172943997743,0.01332940441819889
qwen4b_paper,0.8740928500252807,0.7752542372881356,0.7616356382978723,0.7591073186741056,0.8019032301300094,0.03347316356142762
qwen4b_paper_cal,0.8735152656834951,0.7753938987596379,0.7649040080835298,0.7594108019639935,0.8033775633293124,0.010073262432799506
qwen4b_r128,0.8926751485925944,0.773474982864976,0.7773462783171521,0.7879284894210268,0.82194172149859,0.04255367539424405
qwen4b_r128_cal,0.8923965677829742,0.7830618892508143,0.7692556634304207,0.7845174262734584,0.8237148732008225,0.013225979775349637
qwen4b_r64,0.8802901661095844,0.7866315442871255,0.7093851132686084,0.7546971027216857,0.8103705714673545,0.04827922954756269
qwen4b_r64_cal,0.8800533910717004,0.7853403141361257,0.7746716066015493,0.776559174987723,0.8147142663227909,0.013472571640184217
qwen9b_paper,0.8740108200636884,0.7811424638678596,0.7452396585686146,0.7627688172043011,0.7970781396595631,0.046401316263129946
qwen9b_paper_cal,0.8734932872514418,0.7735215053763441,0.7496675531914894,0.764530056459648,0.8067283206004557,0.015294272877664248
qwen9b_r128,0.881947151307851,0.7708006279434851,0.7905585106382979,0.768584356819651,0.8056143320637608,0.04334076082576665
