,albert,albert_cal,biobert,biobert_cal,biomistral_paper,biomistral_paper_cal,biomistral_r128,biomistral_r128_cal,biomistral_r64,biomistral_r64_cal,gemma3_12b_paper,gemma3_12b_paper_cal,gemma3_paper,gemma3_paper_cal,gemma3_r128,gemma3_r128_cal,gemma3_r64,gemma3_r64_cal,gemma4_12b_paper,gemma4_12b_paper_cal,med_llama_paper,med_llama_paper_cal,med_llama_r128,med_llama_r128_cal,med_llama_r64,med_llama_r64_cal,medgemma_paper,medgemma_paper_cal,medgemma_r128,medgemma_r128_cal,medgemma_r64,medgemma_r64_cal,mediphi_4b_paper,mediphi_4b_paper_cal,modernbert,modernbert_cal,phi4_14b_paper,phi4_14b_paper_cal,pubmedbert,pubmedbert_cal,qwen4b_paper,qwen4b_paper_cal,qwen4b_r128,qwen4b_r128_cal,qwen4b_r64,qwen4b_r64_cal,qwen9b_paper,qwen9b_paper_cal,qwen9b_r128,qwen9b_r128_cal,qwen9b_r64,qwen9b_r64_cal,xgb,xgb_cal
albert,1.0,0.9044522284644917,0.9975858178565626,0.9967475737193545,0.9844925492039426,0.9815155454205322,0.059426156061530344,0.035956303299986,0.0033626269525218744,0.0019591353695066482,0.9838513647186,0.981295041305333,0.9956775436356293,0.9953874310156712,0.9814403647973726,0.9901494578448652,0.9849793170115075,0.978184111331045,0.9958558908326876,0.9941659992623691,0.9844093763189002,0.9901178001733053,0.9152089037044042,0.9158154002756898,0.3797518076533346,0.3672691706817488,0.9750929002710895,0.9763934537112218,0.997084629939435,0.9961681775457781,0.9954699913046002,0.9928511170703035,0.9890026895753131,0.9919251310022776,0.9939137377141318,0.9968764925911648,0.9958026993278936,0.9949186905746229,0.9690309685950323,0.9743564746401827,0.9962277043459888,0.9964309364225734,0.9910071016690697,0.9917844405299304,0.9046639357784888,0.9430865758012804,0.9910107469875649,0.9951733959726718,0.9974948881356074,0.998508505826581,0.9901501726668823,0.9947488907278441,0.9994242685290319,0.9991867759819648
albert_cal,0.09554777153550831,1.0,0.9974776100935931,0.9966302140528381,0.9839367254300067,0.9806753793877062,0.04314573333720417,0.02357284619872768,0.003449841317907043,0.0017585137805050666,0.9820946747224488,0.979024943534933,0.9951218707813769,0.9946101114545399,0.9802366358700627,0.9895859203863786,0.9822837686957065,0.974038366436059,0.9968600387277456,0.9949916040341186,0.9781060343275247,0.9884893805896475,0.9037274139275067,0.9058776183700583,0.3322686980439413,0.3195047170420968,0.9724816096557989,0.9727204445223483,0.9968828776229577,0.9958719735144282,0.9948295511764422,0.9922878162005634,0.9887334932068681,0.9916366515967983,0.9930137148665856,0.9964573969586933,0.9962420111842417,0.9952961231944839,0.9597373744082254,0.966671099543974,0.9956989147473059,0.9962469871562503,0.9912984893113562,0.9920169359403755,0.8917557474808636,0.9347103784042586,0.9888669250748527,0.9956828949629999,0.9972058313565975,0.9982094958345076,0.989670188820631,0.9946121985788963,0.9994555559794622,0.9992526301460353
biobert,0.00241418214343736,0.0025223899064068522,1.0,0.6548903991847,0.001594258728753517,0.0031708848707052706,0.0006939547129252155,0.000258071378808844,0.00013245461908961698,4.984822523568244e-05,0.0765190047306813,0.0852345116269021,0.16145415538494123,0.16197827163216538,0.42145194327835145,0.6267025546178263,0.08429244875800268,0.14902709637616152,0.22784519569872774,0.3436806752099283,0.002412249404201705,0.0005292675100464495,0.18060224272170844,0.18890802854598365,0.0039556833670669755,0.003429848296719551,0.021112554827686147,0.018716478064225273,0.890003893948128,0.9324574536440622,0.04209021028956195,0.2883755835267179,0.011313145911854172,0.0058276382921961245,0.7242587899724419,0.8684052820837542,0.03445383734713181,0.02601774292138337,0.30759877718250794,0.4178394567470577,0.01791841988220566,0.0173453353091072,0.5934887478754141,0.6169934217559816,0.2690302116580794,0.3322072953093774,0.0008225567580040227,0.0052649384087267714,0.1557346679238515,0.14804458171104684,0.07187100151511061,0.15221397860865027,0.99525043630021,0.995515568986958
biobert_cal,0.0032524262806454818,0.003369785947161863,0.34510960081529996,1.0,0.0004205081520991527,0.0008456061448467445,0.00047311357025348055,0.0001764093280859358,0.00012085053491339703,4.999615533074486e-05,0.058770310913783375,0.06824103199769327,0.1516343395390266,0.14932563027970913,0.3949698137629418,0.6164229397292358,0.07327862702342791,0.1319871226343352,0.2091514017834235,0.30344313963120073,0.0034725111245245133,0.0011781936271145765,0.1687943743529179,0.1763920060748665,0.004307447067520398,0.003741190541550199,0.008357315550539202,0.007602902618911389,0.8780411625778937,0.929771484840725,0.040142779598474676,0.20383693085823407,0.009574179937398286,0.005195054935482779,0.7201099843013081,0.8735639850179027,0.039186434863260344,0.029190409396213424,0.2928733149717285,0.40289168091112093,0.019253735508885206,0.01948822458180588,0.5815207690183191,0.6071088262024429,0.2587069968413387,0.320829300090665,0.0014488656204847405,0.005398946519844738,0.140196357692698,0.1343836249836169,0.04967271620539293,0.12261291647410211,0.9952914417939903,0.9964870818336562
biomistral_paper,0.01550745079605742,0.016063274569993347,0.9984057412712465,0.9995794918479008,1.0,0.45363556743196776,0.0007208110853105243,0.00017648106313250533,0.00034135664950285527,0.00012564700716310995,0.8886023486578125,0.8527975481031553,0.6924123830624302,0.7434759400101298,0.9186141036278901,0.9658938056690587,0.6785493286215741,0.6958141369901806,0.946979071922087,0.9843803710743692,0.19922655816223,0.17213457850211977,0.45577507336533074,0.46870548523315336,0.018569223341462937,0.01610230615410324,0.7004532460204023,0.6915314371613341,0.9931323846732726,0.9940407422381439,0.9873469649759106,0.99518125920506,0.38148636394625046,0.6014285357729667,0.971257359582859,0.9910497638488204,0.9665661234844656,0.9718939240712627,0.7380033747623806,0.8016693153019141,0.670082445554971,0.6263408014689338,0.9614657975073888,0.9628466633632415,0.5293726202270932,0.6355920020898818,0.2752594153182223,0.523604869428138,0.8450950552529031,0.9104308284104876,0.8736375089737087,0.9191825788553952,0.999684181630301,0.9998721853234733
biomistral_paper_cal,0.01848445457946779,0.019324620612293786,0.9968291151292947,0.9991543938551533,0.5463644325680322,1.0,0.0005973968514363381,0.00013646024054891903,0.0003413721907528089,0.00013730050931393123,0.8943036222942797,0.858875657579607,0.6941125007278184,0.7459812074202203,0.9299933435287012,0.9710666476003139,0.6847594449254901,0.7031208118927321,0.9411240974314278,0.9837892735715967,0.21662751130576674,0.2072945042901957,0.45690487818964354,0.4700468944472257,0.020205096976607773,0.017556578313350668,0.7444792267212349,0.7162508202986485,0.9928853809117807,0.9941885738898794,0.9833644819752505,0.9957326177075276,0.3923248376145969,0.6024969105912449,0.9743995222226058,0.9922545016757883,0.9521540035268103,0.9579776946766301,0.7407357762437627,0.804057505792489,0.6662185271411141,0.6239019529365106,0.9671514544907198,0.9680138730184814,0.5312883073666612,0.6388601179707019,0.30062735987485534,0.5293905222166289,0.8452077698437792,0.906972881969625,0.8906669757662986,0.9253146046520717,0.9996590706415573,0.999883540802401
biomistral_r128,0.9405738439384697,0.9568542666627958,0.9993060452870748,0.9995268864297465,0.9992791889146895,0.9994026031485637,1.0,0.6696276068706886,0.07956818929029275,0.13390150496017839,0.9978305481008712,0.9973570242201583,0.9968970251341147,0.9973319149486497,0.9989514189926085,0.998958269775875,0.9960564979363449,0.9951971494042381,0.999747684042516,0.9999386715058567,0.993568605136035,0.9965818293550363,0.9862415227214415,0.9885371768447032,0.8823107547391943,0.88025415367267,0.9994828758048873,0.9989574462499798,0.9985818265708651,0.9986776692931767,0.99863882720465,0.9991725595071279,0.9979142300093828,0.9982065066730305,0.9987166496034732,0.9992666025242644,0.9987382024268137,0.9987892472967208,0.9890005877666016,0.9901023657294229,0.9971576871698048,0.9970647801546201,0.9997909609413177,0.9997914820246798,0.9757526785104217,0.9844871201493439,0.9977727488458806,0.999016881742635,0.9986668227213826,0.9985558811425609,0.9993344205363466,0.9994706155149098,0.9996417621656132,0.9997710793272576
biomistral_r128_cal,0.964043696700014,0.9764271538012723,0.9997419286211912,0.9998235906719141,0.9998235189368675,0.9998635397594511,0.33037239312931144,1.0,0.01729219389943637,0.01662115445138035,0.999613743718952,0.9994665645237667,0.9995806485482898,0.9997729325159539,0.9999014809534186,0.9999474389804841,0.9997656969537037,0.999552116876191,0.9996598797053307,0.9998090086818594,0.998412239966873,0.9993592750563133,0.9945794814674265,0.9950346819098435,0.8524346755740073,0.8535700166082957,0.9998440682826638,0.9996715605427967,0.9998360472321329,0.9997890666068152,0.9996666775332707,0.9998196809293802,0.9999479174737584,0.999888543734359,0.9998873748164125,0.9999544001035332,0.9997724752804341,0.9997594275079317,0.9948314661196747,0.9951803028850718,0.999780143341782,0.9997695866414119,0.9999804339652366,0.9999743021397861,0.9868156844275967,0.9932786013422981,0.9987321311691079,0.9997611704175463,0.9998525239839958,0.9998535632355489,0.9999956897118009,0.9999811289504869,0.9999889866555692,0.9999953233672111
biomistral_r64,0.9966373730474781,0.996550158682093,0.9998675453809104,0.9998791494650866,0.9996586433504971,0.9996586278092472,0.9204318107097073,0.9827078061005636,1.0,0.9544990174292775,0.9998052809144632,0.999786699140332,0.9997571250543119,0.9998897043635024,0.9997847300453203,0.9998885823329108,0.999937644290462,0.9999378406263517,0.9991646951876559,0.9993635724725387,0.9999186202997552,0.999784139416004,0.9979406682529626,0.997509229687104,0.9737198321861035,0.9748752017580038,0.9997914650960174,0.9998884518689013,0.999921685188833,0.9999144897084211,0.999914231651155,0.9998923569241871,0.9997890532939377,0.9998243595205187,0.9999841405530986,0.9999928857701863,0.9996493729856445,0.9996494841965944,0.9999445359903487,0.9999377131362339,0.9999128938556845,0.9998529857714155,0.9996627699850663,0.9996872676221893,0.9964767385529176,0.9982139980885089,0.9997214158539727,0.9996509876976297,0.9999083858135379,0.9999598439760804,0.9998954814324134,0.9998973229610414,0.9999712983601519,0.9999617360049761
biomistral_r64_cal,0.9980408646304934,0.9982414862194949,0.9999501517747643,0.9999500038446693,0.9998743529928369,0.9998626994906861,0.8660984950398216,0.9833788455486197,0.04550098257072255,1.0,0.9998874571403467,0.9998571134728292,0.9998994763254472,0.9999649540994578,0.9997929264718433,0.9999141209786371,0.9999801511690912,0.999935410117024,0.9996162948458917,0.9996790695373895,0.9999721518113163,0.9999573084622018,0.9972604800957554,0.9969217683145298,0.9649620590145557,0.9666432404356948,0.9998527870190079,0.9998974961894846,0.9999709923251507,0.9999474243188052,0.9999675473464916,0.9999441784811471,0.999973653718988,0.9999762460732374,0.9999736998449957,0.9999938291854579,0.9999049629822079,0.99989707169223,0.9994905506229199,0.999473140482485,0.9999963827595743,0.9999888365394757,0.9997864368523852,0.9997967133140763,0.9945606428099745,0.9972865014829255,0.9998642484168182,0.9999099951103609,0.999977247499286,0.9999968474813193,0.9999736772509182,0.9999719770920056,0.9999974742572555,0.9999943867926353
