,albert,albert_cal,biobert,biobert_cal,biomistral_paper,biomistral_paper_cal,biomistral_r128,biomistral_r128_cal,biomistral_r64,biomistral_r64_cal,gemma3_12b_paper,gemma3_12b_paper_cal,gemma3_paper,gemma3_paper_cal,gemma3_r128,gemma3_r128_cal,gemma3_r64,gemma3_r64_cal,gemma4_12b_paper,gemma4_12b_paper_cal,med_llama_paper,med_llama_paper_cal,med_llama_r128,med_llama_r128_cal,med_llama_r64,med_llama_r64_cal,medgemma_paper,medgemma_paper_cal,medgemma_r128,medgemma_r128_cal,medgemma_r64,medgemma_r64_cal,mediphi_4b_paper,mediphi_4b_paper_cal,modernbert,modernbert_cal,phi4_14b_paper,phi4_14b_paper_cal,pubmedbert,pubmedbert_cal,qwen4b_paper,qwen4b_paper_cal,qwen4b_r128,qwen4b_r128_cal,qwen4b_r64,qwen4b_r64_cal,qwen9b_paper,qwen9b_paper_cal,qwen9b_r128,qwen9b_r128_cal,qwen9b_r64,qwen9b_r64_cal,xgb,xgb_cal
albert,1.0,0.6910827107463515,0.9906057884273333,0.9900271194577916,0.961241933846263,0.9575557726727513,0.03374820820781799,0.03284769214510763,0.00862046687987128,0.00898414137070136,0.9728284914500387,0.9720860641273606,0.9879742466107456,0.9871984755765116,0.9858580754249265,0.9852228697017991,0.9726122863381633,0.9721149828927346,0.9851974470246024,0.9841135331102783,0.9753095105028702,0.9746367785714611,0.927769436381176,0.9243341013407079,0.4477870831405113,0.43218182426690377,0.9716353083702276,0.9704123703595389,0.9925817076458096,0.992030286326568,0.9805649958775087,0.9797870885162427,0.9746285285828281,0.9736637700562806,0.9912422002656402,0.9911219626445219,0.9891737065033641,0.9886995806607429,0.9473884144495034,0.943901611766211,0.9752938368370087,0.9748133168246625,0.9850907809737102,0.9844663965855014,0.9206791640640261,0.9183623096129172,0.9840343525854859,0.9831251373769123,0.9883195794675483,0.9875622771533789,0.9804125616004161,0.9790421643341094,0.9957289249226138,0.995499363253263
albert_cal,0.3089172892536485,1.0,0.9920663154823286,0.9915585278849479,0.9652534625799558,0.9617316230145027,0.024954946861287297,0.024347273437119843,0.007142420366966107,0.00746425182736854,0.9755084469225237,0.9748349357925958,0.9899333887318538,0.9892630032962418,0.9875998954121581,0.9870159246204476,0.9755858056964318,0.9751314571150795,0.9871478487953969,0.986166745255896,0.9784280081013986,0.9778167207973872,0.9308952883144869,0.9275278658136374,0.43721887826398964,0.4213009410830433,0.97461684582731,0.9734772447493272,0.9935957016741687,0.9930993199033203,0.9826930825576997,0.9819970999259742,0.9779429405581368,0.977089099348381,0.9924475797463933,0.992349405053638,0.9907910296096012,0.9903729594925784,0.9502245964195787,0.9467985688741197,0.9783750286642139,0.9779768119041634,0.9868511757073353,0.9862817398047173,0.9236021689289465,0.9212911219977834,0.9866430722699546,0.9858592410592348,0.9901163154462288,0.9894447670272928,0.9828965587421219,0.981644403980813,0.9964126552573355,0.9962182637158853
biobert,0.009394211572666733,0.007933684517671402,1.0,0.0007579820592052977,0.0038422532827990796,0.0035644507416922044,0.0002528391391343199,0.00021795349691289267,3.037590265198009e-05,3.180128073454469e-05,0.15163152860645457,0.12456489196306253,0.16935365720180973,0.13842623437640988,0.7155656131618158,0.6914407043241334,0.1223509408890201,0.11585488092946095,0.17407061238999588,0.1407934657544464,0.0020849705353566117,0.0023661547502165092,0.24065479964209946,0.22359749388668748,0.003674381642758573,0.0035907682238039973,0.029975015411223827,0.025182673021849955,0.9657056835047179,0.9585747237801698,0.4042879223158943,0.3399446851941117,0.010334799277244788,0.00764074448707297,0.9399005182751785,0.9331905557528721,0.2023255932522956,0.17248657985308535,0.24534783956886774,0.22984192685685567,0.028502168898613234,0.02456158463062208,0.7295943275396117,0.7052234091410885,0.25164916574218354,0.2453643572883779,0.0012405905477955725,0.0009957577422152752,0.30816606868935503,0.2560783252451303,0.14240130447068067,0.1188916881877351,0.9949270836553585,0.9940731739726133
biobert_cal,0.009972880542208351,0.008441472115052084,0.9992420179407947,1.0,0.0046215667101092706,0.00427790070224876,0.00027126939532184924,0.00023385446443979774,3.062923554453256e-05,3.206627885088409e-05,0.1777005314997362,0.1457255297787886,0.19791722279148483,0.16296144089583864,0.7519478484489847,0.7295085854401316,0.13887273570689906,0.13133537040333998,0.21910359906786647,0.17865204117468803,0.002306240686982708,0.002616261303080347,0.25286470261600835,0.2352093790552594,0.003822936306554503,0.0037332328853488805,0.0360222326548052,0.029853647401300587,0.9719264413710647,0.9660621746661624,0.47707755206224634,0.4089175874509411,0.012391283461184788,0.009115398563873223,0.9492852826763921,0.9437920137305393,0.24676702267142847,0.21172381724732625,0.2613666616481263,0.24482720096012156,0.03255883265358239,0.02796639564737413,0.7572284112270633,0.7344930361012296,0.2632139678127354,0.25666486965435753,0.0017320000933221946,0.0013855489879578409,0.37535303239574846,0.3157598764386915,0.1741908951433263,0.1450969592932,0.9958236114938749,0.9951346091463482
biomistral_paper,0.038758066153737,0.03474653742004419,0.9961577467172009,0.9953784332898907,1.0,0.08536362505399242,0.0005758802228216231,0.0004916836441285488,0.000298101804152906,0.00030003332540629035,0.9578872654087563,0.9470223164446481,0.9314577315043613,0.9235741429551719,0.9901506680200924,0.989305138910151,0.871393031346522,0.8604060332100909,0.9993528812560142,0.9992375891436421,0.6127971590775648,0.5775763113786662,0.5971234770750569,0.5735970299184626,0.014710539981249604,0.014227910827168566,0.9579365721759368,0.9428625425898659,0.9970084484607236,0.9967124339510253,0.9881548070240945,0.9885790518478154,0.8408368876257875,0.7913393295924821,0.9956294249996743,0.9952586363772921,0.9818044175762468,0.9804490174995723,0.6960622798278522,0.676551152402342,0.7488758157228053,0.7158223840977712,0.9919020922906209,0.9906493326412116,0.5810560378310857,0.5707980652828561,0.8025914278667812,0.7454344482378678,0.9905128539276344,0.9878375114526693,0.9840144925800262,0.9798520667293342,0.9991760290231126,0.999190152669022
biomistral_paper_cal,0.04244422732724873,0.03826837698549734,0.9964355492583078,0.9957220992977512,0.9146363749460076,1.0,0.0006980616327175726,0.000601392308112958,0.00031098851281363693,0.0003119367152010222,0.9603847234092462,0.950251882670375,0.934785020155529,0.9280923499539138,0.9894331760306455,0.9885759544716608,0.87865502641812,0.8686859080542263,0.9996783345283285,0.9996735445769004,0.6565783956058993,0.6229724092356395,0.6138860766961926,0.5910104507821263,0.015829227229785747,0.015297977272353491,0.9630957116570641,0.9501973656374602,0.9966005736200567,0.9962870176177744,0.9891658641406381,0.9896401906293709,0.8605251372322691,0.8213107223895286,0.9953501100682067,0.9949717386023839,0.9800521417752761,0.9786761547063259,0.7108370810895763,0.6920521239260577,0.7703118150329081,0.7410776351683758,0.992632665150308,0.9915062943743564,0.5962892093947265,0.5861937389442359,0.8345256623686601,0.7871268061213238,0.9908418248520594,0.9885271241803469,0.9854501229275275,0.9819416480570676,0.9989862748613901,0.9989952063148092
biomistral_r128,0.966251791792182,0.9750450531387127,0.9997471608608657,0.9997287306046782,0.9994241197771784,0.9993019383672824,1.0,0.05202922541885502,0.018036053215850223,0.01840093602322157,0.9987728742684733,0.9987583691594963,0.9998397179231355,0.9998356280005181,0.9995253448797372,0.9994962464360071,0.999102839784005,0.9990974944107929,0.9997652131579725,0.9997392182482668,0.9991329623133035,0.9990952679263565,0.9919490845540259,0.9916235633220939,0.8734912585082127,0.863754384195808,0.9989728446766296,0.9989011782770106,0.9996759739867274,0.9996477295858552,0.9990484278228048,0.9990580444549388,0.9997118963576447,0.9997042987804032,0.9996553997597021,0.9996537705567436,0.9998119109524222,0.9998060480709527,0.9909827152459044,0.9902588604744539,0.9992942445322431,0.999330455110606,0.9995631922004988,0.9995358868559985,0.9886868690482938,0.9883113954045468,0.9997744760760376,0.9997639264247554,0.9998026592002066,0.9997769507388293,0.9995792153499102,0.999545158214052,0.9998615194838162,0.9998619896758507
biomistral_r128_cal,0.9671523078548924,0.9756527265628802,0.9997820465030871,0.9997661455355602,0.9995083163558715,0.999398607691887,0.947970774581145,1.0,0.018198695381536734,0.018575453912735407,0.9989220466837015,0.9989110712183076,0.9998574136488898,0.9998537491581398,0.999580266603213,0.99955443254358,0.9992061052597385,0.9992013071587964,0.9997966129807896,0.9997733974852369,0.9992548017318877,0.9992224373818811,0.9921719560764589,0.9918585729828565,0.8823287354451734,0.8730442872377897,0.9991014920093396,0.9990386003491172,0.9997182767261492,0.9996932010916421,0.9991597613633328,0.9991685893705066,0.999757644010444,0.9997521062764707,0.9996917776850076,0.9996904424608664,0.999846517566673,0.9998417350720411,0.9915586293783871,0.9908757077585881,0.9993907254908246,0.9994238764580183,0.9995958514775988,0.9995703485938703,0.9890060503265788,0.9886410517593363,0.9998084613362872,0.9997993820148833,0.9998263965558369,0.9998029554490454,0.9996269577385926,0.9995963342041094,0.9998812606331231,0.9998817498534784
biomistral_r64,0.9913795331201287,0.9928575796330339,0.999969624097348,0.9999693707644555,0.9997018981958471,0.9996890114871864,0.9819639467841498,0.9818013046184633,1.0,0.2811481048444484,0.9998409851988793,0.9998392586847147,0.9998683726687148,0.9998670508046948,0.9998396956379361,0.9998322444739058,0.9997916601576101,0.9997832578672808,0.9997747855555972,0.9997713966231907,0.9999602538513853,0.9999585152469775,0.9969787381511717,0.9969357908470254,0.9915423325186112,0.9910560954859491,0.9999014306572952,0.9999032611953466,0.999925526548824,0.9999207547375868,0.9999281660549177,0.9999245996528124,0.9998290054560559,0.9998321164133134,0.99993224274326,0.9999349314567421,0.9998332823851995,0.9998289439348135,0.9998748577709424,0.9998672769360992,0.9999048928158465,0.9998961298883783,0.999715327750727,0.9997104434575385,0.9966991138547894,0.9965712857423336,0.9999467673866095,0.9999438066841204,0.9999276086949905,0.999929219282771,0.9998757682556905,0.9998668649795905,0.9999561957735328,0.9999534553185819
biomistral_r64_cal,0.9910158586292986,0.9925357481726315,0.9999681987192655,0.9999679337211491,0.9996999666745937,0.999688063284799,0.9815990639767784,0.9814245460872646,0.7188518951555516,1.0,0.9998394188898786,0.9998372595267472,0.99986878160302,0.999867687852247,0.9998414414266877,0.9998340492549859,0.9997939446749902,0.999785554198642,0.9997716255233424,0.9997686684437975,0.9999554789297459,0.9999533783923132,0.9970816963457477,0.9970413064830019,0.9912588338177554,0.9907581888471051,0.9999015852214477,0.9999032709302328,0.9999232029739811,0.9999185064579164,0.9999277176551487,0.9999245127862607,0.9998281100304695,0.9998308304741147,0.9999340577016067,0.9999366794262512,0.9998236519319688,0.9998191794946595,0.9998817299718459,0.9998748348914894,0.999901997678585,0.9998928314098744,0.9997256026349828,0.9997211609908557,0.9968143528443715,0.9966896566165099,0.9999438944335843,0.9999406744690695,0.9999288370311268,0.9999306925997312,0.9998795879221509,0.9998710835103372,0.9999547800121404,0.9999521240627675
