,albert,albert_cal,biobert,biobert_cal,biomistral_paper,biomistral_paper_cal,biomistral_r128,biomistral_r128_cal,biomistral_r64,biomistral_r64_cal,gemma3_12b_paper,gemma3_12b_paper_cal,gemma3_paper,gemma3_paper_cal,gemma3_r128,gemma3_r128_cal,gemma3_r64,gemma3_r64_cal,gemma4_12b_paper,gemma4_12b_paper_cal,med_llama_paper,med_llama_paper_cal,med_llama_r128,med_llama_r128_cal,med_llama_r64,med_llama_r64_cal,medgemma_paper,medgemma_paper_cal,medgemma_r128,medgemma_r128_cal,medgemma_r64,medgemma_r64_cal,mediphi_4b_paper,mediphi_4b_paper_cal,modernbert,modernbert_cal,phi4_14b_paper,phi4_14b_paper_cal,pubmedbert,pubmedbert_cal,qwen4b_paper,qwen4b_paper_cal,qwen4b_r128,qwen4b_r128_cal,qwen4b_r64,qwen4b_r64_cal,qwen9b_paper,qwen9b_paper_cal,qwen9b_r128,qwen9b_r128_cal,qwen9b_r64,qwen9b_r64_cal,xgb,xgb_cal
albert,1.0,0.985888909528533,0.3866492278595288,0.9936671782094288,0.809523654220582,0.9966460889270827,0.27626174622974564,0.9898351077214717,0.014204414945091837,0.9890413123924727,0.6585363124175478,0.9921038395007682,0.2759978016343678,0.9676910393734047,0.5091639187740478,0.9950181177617601,0.7958461505353215,0.9949864796297827,0.31298589116322983,0.9858052689236089,0.20339580465105345,0.9888806438093407,0.6588134103454776,0.9866339091226537,0.843763642219763,0.9890221486655967,0.3900773813052463,0.9946787439709548,0.3487464504584614,0.9955483548069177,0.26058824860697927,0.9931554722026072,0.5050361253441095,0.983705833714403,0.5497413575602956,0.9836128975559724,0.8285446270686039,0.988123819450703,0.14042082340430373,0.9871721882450469,0.7329417628584702,0.9891414314797405,0.1971767032713181,0.9915238005905597,0.09471650078141713,0.9944425556088667,0.07558024007972719,0.9888437303235625,0.49011684995472216,0.9919566750399368,0.6671914138290638,0.9938072388948181,0.9874428176127775,0.9920244391343035
albert_cal,0.01411109047146697,1.0,0.0028129123551552393,0.6456053257869994,0.018169858462787625,0.7743210960423568,0.049182394119725914,0.30309837130522155,0.010492433265222978,0.7589312963001289,0.016625044361192498,0.3648816884024332,0.0017618148003597511,0.19525791669585169,0.015802694875983403,0.8212327096428107,0.06979449702580409,0.4262701586581856,0.018277346088773516,0.46480460403307866,0.0028954185867343663,0.9294086686689138,0.029586431270456015,0.15084124203545057,0.04486404593290649,0.28451166279127094,0.003016251823473981,0.7603191983709057,0.010236691841012502,0.6943266907395902,0.00606669654055858,0.5247803796482784,0.008418518573970024,0.2139968129066374,0.0049133542367253424,0.400184324913476,0.01097496630518735,0.1428760541861821,0.0013235764661446714,0.5745357076087465,0.0020811134322435976,0.8904830521823222,0.0005436343228935048,0.49522467955237615,0.00012608816044068494,0.7171288214907348,0.0018126996958994779,0.3846679928547183,0.010900491680869928,0.6104964747215116,0.0016645873249433452,0.5772965423410874,0.065486068359351,0.6421578452822392
biobert,0.6133507721404712,0.9971870876448448,1.0,0.9955546209426375,0.9287415144793462,0.9980898457302649,0.27769808574356625,0.9931479488198391,0.028996036132935554,0.9960311899741605,0.7749398735997831,0.9937991824765607,0.290269247777178,0.99440353051812,0.5987809069240668,0.9985263171827392,0.8361032287890833,0.9955362608614541,0.3586140993414566,0.9928067781579959,0.267021588607925,0.9968010206897407,0.7228921812081195,0.993920929339852,0.9969783876492234,0.9971563640146376,0.4813310946457273,0.9970215366732519,0.36976282531752946,0.9961983316062661,0.2720785670841418,0.9953150005204631,0.6449068327328401,0.9975564146717395,0.6631431446817019,0.9946960577383505,0.9607140679127899,0.9969146342191257,0.11002745772790545,0.9991881404123348,0.7836647079770125,0.9982012491603948,0.17396811693238723,0.9963352112659992,0.09817615539372848,0.9965071546039289,0.2193367541437462,0.9981609206175504,0.5849602760750536,0.9968245541512804,0.728574831069745,0.9957894224714754,0.9980918746759672,0.9962914045343408
biobert_cal,0.006332821790571153,0.35439467421300064,0.004445379057362531,1.0,0.010274051196865086,0.6886155410621351,0.05180037664952819,0.024787900686723208,0.009168976831368192,0.6648154718064403,0.013983490935271958,0.07853556083789925,0.0029203040958707405,0.16199265729939127,0.019915721540919362,0.7710991631793417,0.05105698457350505,0.17111503716098198,0.013290416038295727,0.28333856669240043,0.0041863287687872175,0.723917624797396,0.018395938675427548,0.023032384525263683,0.05425080134211824,0.14293106648940979,0.004714972333903944,0.7893812409313257,0.015113730671180048,0.7665662202913348,0.008188099673915206,0.1908446621623774,0.016867508916853624,0.2127032297849576,0.004100106981683949,0.27989412971348493,0.01349275735598443,0.07354386699191795,0.0010063620811109342,0.43242421737523995,0.000452247722179111,0.6158533181082424,0.0003791584363708189,0.21828363737955536,0.00012888266371802182,0.7752293537777095,0.000749072580534027,0.26453851186920274,0.011952473765885152,0.4568278276920754,0.0003070388933046342,0.2671031294351922,0.048556942184755925,0.4564852460305824
biomistral_paper,0.19047634577941797,0.9818301415372124,0.07125848552065384,0.9897259488031349,1.0,0.993466329372379,0.19695213746763085,0.9814030124782719,0.017809445432273918,0.9873926266074344,0.38897247849356775,0.9852165125965996,0.12261886730435734,0.9711758234441447,0.32858891042805727,0.9955250780892687,0.6329692107656667,0.9867675591944927,0.07646909872123697,0.9749278282039066,0.1289396968716131,0.9870546922074007,0.46398976175186757,0.9848281096004263,0.7499641819951592,0.9885326532831249,0.11918703297668376,0.9917703161221916,0.15763613299672363,0.9934163411451693,0.0858773681051368,0.9867767469157218,0.2992446519742885,0.9841749638145137,0.2547650178653844,0.9762017150426606,0.7059199339130227,0.9862547864562516,0.002162522771500086,0.9892799288842982,0.4155306659221737,0.9850246045961487,0.01730978716044418,0.9873803140844375,0.02064812720160958,0.993196457136991,0.06332160933299624,0.990781320977368,0.28165572304391284,0.9938181300971088,0.3143954501206183,0.9879170708930933,0.9864160397478591,0.9904752374419006
biomistral_paper_cal,0.0033539110729172705,0.22567890395764323,0.0019101542697350649,0.3113844589378649,0.006533670627621002,1.0,0.056930232739852205,0.13522972846576709,0.007447878638856764,0.45405696128178286,0.011104354437413422,0.11826398282313355,0.004874530351280271,0.17134245800496684,0.016643937890188698,0.5340180464777246,0.04628865619731881,0.06112613839280512,0.01471419433022192,0.26330199176283,0.0027798770382506666,0.49289738816812734,0.03107406743404184,0.06407718676477736,0.025785228194745158,0.10247451665861818,0.003007088201756769,0.3972207466529627,0.010965987687782341,0.4215860080995464,0.003103185775637063,0.20593998527201784,0.008909285842689352,0.1635944749166125,0.0009566487988733607,0.24505778597647676,0.008113708562495159,0.06583400964793495,0.0005287198796630754,0.2799177807320309,0.0011653724721288894,0.47755541710950844,0.0007636947274035633,0.14301040930812992,0.0002449313609251824,0.4485471594668975,0.0009007222823246286,0.13681715632214497,0.015336350515864794,0.3199433379083031,0.0003703867576543285,0.17450809842706172,0.0054818768516531335,0.3204154199841832
biomistral_r128,0.7237382537702544,0.9508176058802741,0.7223019142564338,0.9481996233504718,0.8030478625323691,0.9430697672601478,1.0,0.9442169338450273,0.18018107652722726,0.9569081935377282,0.7994476095846679,0.942025168178914,0.7189394566856893,0.9508841704565711,0.782749269675373,0.9478126337150803,0.8302787574163573,0.9392139410531768,0.6754748713899826,0.9536221411139155,0.6424827225694296,0.957690493734396,0.8650184535338148,0.9383115102422487,0.8377329454055124,0.944456123291776,0.7309505510930696,0.9483408636094799,0.6950032438147418,0.9470295236395344,0.6590014876858648,0.9457848980732996,0.765383925255971,0.9486095454308701,0.7473219639678019,0.9540138686879924,0.8552379062998594,0.9429082125481681,0.6386593667256238,0.9474301979398114,0.8205787521091311,0.9514868434324523,0.6674983640695493,0.94603806385305,0.5842526584768295,0.9493651139994269,0.6123358487079529,0.9445144971258457,0.8131210142592306,0.9480536833244374,0.7894784879616024,0.9453070356440085,0.9013677141569046,0.9499036765067828
biomistral_r128_cal,0.010164892278528348,0.6969016286947785,0.006852051180160856,0.9752120993132768,0.018596987521728114,0.8647702715342329,0.05578306615497275,1.0,0.00993057155110122,0.9706760633980498,0.025688394788363045,0.5975378728094748,0.003261362003979862,0.31690701633662766,0.029435330655431247,0.9238685099710833,0.0809456622999587,0.6957713374170391,0.01592082772843051,0.7682639318561479,0.004641981283680652,0.9396283534767772,0.01857950276541742,0.24502646376519532,0.0833600547547958,0.5959067859640534,0.00840437189749832,0.9732400824710524,0.022000078831142078,0.9699002227727809,0.012907474462837243,0.9575955182969691,0.024713831725255653,0.5576519263302624,0.007637604936396869,0.6991108881465335,0.028688739652195983,0.470484329601226,0.001991316538947574,0.6962679296786353,0.0011354586331394634,0.8003962119125465,0.0005584841862531498,0.7677026720144409,0.0002887557730715251,0.9831851206617069,0.0006758839248970361,0.6281621947741847,0.017372629483018542,0.8365198455769307,0.0004600073311328279,0.8753929952946078,0.1243450222284106,0.972447819750366
biomistral_r64,0.9857955850549082,0.989507566734777,0.9710039638670644,0.9908310231686318,0.9821905545677261,0.9925521213611432,0.8198189234727727,0.9900694284488988,1.0,0.9902698516943513,0.9642162319232229,0.9895720248147062,0.9298378183535614,0.9870391120048835,0.9485377226763797,0.9919226775399933,0.9683157210143588,0.9917171476106096,0.9595562373190402,0.9890894004895371,0.9642926136907762,0.9898410383572335,0.9696853730743276,0.9880925335307182,0.9848431246159146,0.9895332323418969,0.9542777315504463,0.9916887470055316,0.9355925880986108,0.9917408389914328,0.9643011416765701,0.9912055183984592,0.9632902968784387,0.9892850102929642,0.9790213321977622,0.9890575595539478,0.9750315170060357,0.9895822720167619,0.9565001888830835,0.9909704674859481,0.9740890542675392,0.9905461389453197,0.950957263595082,0.9901085308739203,0.9321027937650962,0.9915831243909039,0.9674366548743117,0.9896396069268996,0.9416928600502763,0.9899914106151385,0.9790995451376198,0.9909349009796803,0.9902825873715896,0.990607402249142
biomistral_r64_cal,0.010958687607527273,0.2410687036998711,0.0039688100258394865,0.3351845281935597,0.012607373392565568,0.5459430387182171,0.04309180646227184,0.029323936601950207,0.009730148305648667,1.0,0.018121336349582795,0.17489974412147002,0.00142898814912773,0.04157896248317383,0.021632248812440635,0.5865552032691883,0.05973235584721204,0.21455379491883442,0.010408384760094536,0.13759053351984563,0.003829705015967133,0.6010543154595274,0.011218793360112334,0.05022825523061336,0.05277487034401529,0.12912209718148704,0.005204402620680781,0.4873989108573833,0.014883712953625339,0.48631958729088043,0.01003290195917439,0.1904349646173764,0.016639369075861388,0.07675915697830904,0.007706610747893028,0.08315440716735645,0.015780917388096505,0.06436871631457708,0.0014641662982349812,0.327723762726883,0.0016097422717937793,0.5281846514557959,0.00020076611498853758,0.22383560281141301,0.00019487148328523052,0.5144289964806983,0.0009358020848068138,0.21129106410660947,0.010171757477844823,0.33814428639400673,0.001057723111095643,0.286265475662546,0.06283706291903335,0.2421652819946576
