,albert,albert_cal,biobert,biobert_cal,biomistral_paper,biomistral_paper_cal,biomistral_r128,biomistral_r128_cal,biomistral_r64,biomistral_r64_cal,gemma3_12b_paper,gemma3_12b_paper_cal,gemma3_paper,gemma3_paper_cal,gemma3_r128,gemma3_r128_cal,gemma3_r64,gemma3_r64_cal,gemma4_12b_paper,gemma4_12b_paper_cal,med_llama_paper,med_llama_paper_cal,med_llama_r128,med_llama_r128_cal,med_llama_r64,med_llama_r64_cal,medgemma_paper,medgemma_paper_cal,medgemma_r128,medgemma_r128_cal,medgemma_r64,medgemma_r64_cal,mediphi_4b_paper,mediphi_4b_paper_cal,modernbert,modernbert_cal,phi4_14b_paper,phi4_14b_paper_cal,pubmedbert,pubmedbert_cal,qwen4b_paper,qwen4b_paper_cal,qwen4b_r128,qwen4b_r128_cal,qwen4b_r64,qwen4b_r64_cal,qwen9b_paper,qwen9b_paper_cal,qwen9b_r128,qwen9b_r128_cal,qwen9b_r64,qwen9b_r64_cal,xgb,xgb_cal
albert,1.0,0.004610134662952681,0.9995856050457098,0.9958789661345776,0.9963217208568819,0.9491878779370497,0.10296949293505486,0.017608249818266808,0.0057291222777393624,0.0039108621790224785,0.9942774715678577,0.9751760947540293,0.9330133549205942,0.986336211138119,0.9367014513701051,0.9896014463292441,0.9827911034319412,0.9773107602999698,0.9914376717540827,0.9965820212061919,0.9946027980532024,0.9756232678128928,0.8474868883648969,0.8745993400849214,0.3044205726221031,0.23239928491315265,0.9594974703485727,0.9715505404375213,0.9988894340192144,0.9982012751215436,0.9997460812844513,0.9961394731286639,0.9635737590160278,0.987527434418178,0.9879169662202896,0.9981319031473928,0.9993645532516754,0.9934278360497572,0.9459338918696237,0.9263307668030989,0.9949783888247343,0.9863375693558604,0.9934001077584907,0.9954329389503049,0.720730540208683,0.9498278539259912,0.9789837022174258,0.9952475901625789,0.9775579545825026,0.9994069583137696,0.9802772343842793,0.9985212631836793,0.9996475920066623,0.9992661606899588
albert_cal,0.9953898653370473,1.0,0.9997128206785868,0.9977544204091023,0.9985818945707962,0.9756486377529138,0.1339475082733793,0.03190374303387211,0.008488950235051806,0.004693368274708676,0.9978512319745567,0.9874028838114398,0.9649471053929298,0.9937513258809991,0.9597947652448016,0.9940360933327209,0.9940896049710309,0.9889781046464016,0.9947729803213231,0.9975438750443114,0.9990582768741443,0.9932963420026959,0.9021993353294377,0.916253264497106,0.4305605999387503,0.39136097549478777,0.9743355456969411,0.9831750636352082,0.9994370898670013,0.9990507406801092,0.9998767849512071,0.9977555471754834,0.9842200581257401,0.9953537869908573,0.9925374242728274,0.9989643042175059,0.9998926567708784,0.997010593493656,0.9607632538722252,0.9457628118669722,0.9980375137399426,0.9953506485490703,0.9958798678012273,0.9973239412235113,0.7805705472756376,0.9676165578378778,0.9883612323560429,0.9979676203535855,0.9869583130137328,0.9994767733247587,0.9878309160370782,0.9994587482467161,0.9998327522059973,0.9996204602331293
biobert,0.000414394954290187,0.00028717932141320013,1.0,0.024883736286007263,0.006996181142541857,0.016637319377722393,0.0189663889304843,0.0011065064926739643,0.00013940445951754477,0.00017290491712662615,0.005074717625866865,0.008062998960248424,0.06985460214652073,0.03464745566507044,0.1637402990143757,0.3981833839708776,0.02237911570075768,0.061673063881886314,0.13859593238461054,0.17501489364346967,0.0066313082745634855,0.0004160007498520413,0.11777581178644325,0.1629453224007178,0.0037291053303224464,0.0005626242085234878,0.030978672963955733,0.022184355456645433,0.8244259969072145,0.845642125537148,0.02037087349193145,0.19329314332811598,0.037377935875499424,0.0028251902809830476,0.538579236532803,0.70300199033803,0.009267659046227061,0.012528809934542973,0.2639662082272721,0.2343326998323063,0.0030349838331834578,0.012601132586374963,0.5110981230410621,0.4592070618661759,0.1585844313952698,0.26132734144034453,0.015645935584494453,0.007642061610453221,0.1874818287997757,0.04227112472071093,0.03514733330436026,0.0840573541121552,0.9800983647427268,0.9713322654498932
biobert_cal,0.004121033865422397,0.0022455795908976617,0.9751162637139927,1.0,0.035195187987326015,0.02078761123300532,0.02538000950040753,0.001468149012665898,0.0001437775882985326,0.00010874275772532194,0.017817154908801203,0.008978400656588725,0.18824506960240406,0.1795481655366964,0.3237789333244221,0.7741190755847347,0.12155829894402481,0.22433992027003402,0.35877768485615125,0.4738315288720283,0.054807232276489315,0.0025043635986925494,0.2189903410961137,0.29035688644568003,0.004440368510703174,0.0004388362840245241,0.08292918084885226,0.05715951395931951,0.958326596109268,0.9879889787768252,0.3183212724902217,0.9106470350203906,0.11227403854578921,0.021062638279509382,0.7688226216776297,0.9308123186654613,0.11072872045443405,0.0235718283187194,0.49675672067207843,0.4445205562364083,0.06625722945218238,0.04453585357144407,0.7871497304855531,0.7737594610175035,0.2490364966459333,0.4655722525581263,0.06137728600096504,0.041667718825063815,0.42851707965145125,0.33545681560937635,0.15361930681111458,0.46718900255170603,0.9963417314824501,0.9958607444409141
biomistral_paper,0.003678279143118135,0.001418105429203842,0.9930038188574581,0.964804812012674,1.0,0.568823230242604,0.03814219397530638,0.001072034293875146,0.002206804997138767,0.0005755048773390392,0.8918673207025374,0.7530141724675767,0.5377758133197177,0.7227642008272404,0.7575407733518206,0.9517272283985673,0.6732714183069661,0.8147775738866959,0.9013146702163854,0.9895343627369744,0.47795848788664463,0.21042380972839836,0.5197489238924469,0.6047720663212913,0.06307971130994705,0.026109315561530955,0.7173394489779615,0.757876516865766,0.9871805090552203,0.9896727810343681,0.9863446912759284,0.972746639882652,0.6265408518712847,0.6271617329282846,0.9450491460581022,0.9845068927772227,0.9570469854081173,0.932953789049157,0.7734247927466843,0.7387089654214741,0.7953178771979014,0.7692682461167373,0.9720249221186817,0.9773064303257228,0.45884451074075183,0.7858031951829438,0.3326073353966281,0.5902422650777359,0.8286880696383623,0.9649095218820637,0.7846301160175928,0.9773178053023079,0.9981571221465954,0.9966130192452333
biomistral_paper_cal,0.05081212206295027,0.024351362247086228,0.9833626806222776,0.9792123887669947,0.43117676975739605,1.0,0.04028390260224268,0.0012153071756894063,0.0007553001050987218,2.452761974580664e-05,0.8699139611282234,0.7766683026184167,0.49648248244817705,0.6576650414917475,0.8296054159640983,0.9904551752552466,0.6111105812719702,0.880766616603226,0.7342369019983872,0.8852217453650905,0.43428479682463805,0.16452703847595618,0.487372491749103,0.5826689482984446,0.04586427043122476,0.017724536852294137,0.7187247566386826,0.8090922882564588,0.9790408863115052,0.9968396380878518,0.8764964666206376,0.9936405975473226,0.5816471432977093,0.5600828876017332,0.9561289307948208,0.9892705124146138,0.7962085810642328,0.9604228109523913,0.7597859139459668,0.7397085282902589,0.7357280775253885,0.7652895979392977,0.9785100465388759,0.9795039028538203,0.4341830353096474,0.7816499622488794,0.39044167176029676,0.46386600438328607,0.798533878733316,0.8668517991051323,0.7706780777663591,0.9599941873511691,0.9989715980957722,0.9989927076305595
biomistral_r128,0.8970305070649451,0.8660524917266207,0.9810336110695157,0.9746199904995925,0.9618578060246936,0.9597160973977573,1.0,0.7096031856152295,0.3063779671557971,0.5013711718175231,0.9613843175147756,0.9557403193877196,0.9326171315140357,0.9487417546674104,0.9721397535546278,0.9755583606931806,0.9366425409534223,0.9543225731098082,0.9703788378283092,0.9867993476339263,0.9367368820469447,0.9391716623252464,0.926532990321971,0.939038201295243,0.8318453438778082,0.8472956488875902,0.9797450754335836,0.975970047629347,0.974674794262572,0.9798779044660257,0.9706581231371434,0.9782308398383034,0.9513126707584662,0.951665234289681,0.9738324972654854,0.9788014981630322,0.962063978365364,0.9700765454948324,0.9447107067831471,0.9510981060975442,0.9548614402385697,0.9518472557102752,0.9842448721219531,0.982584215596196,0.8963641558138642,0.949900628587684,0.9672743033851299,0.9638040812627686,0.9571809804413776,0.9760636968896277,0.9751859086785616,0.9722240604956486,0.9866645813958184,0.9855368745915573
biomistral_r128_cal,0.9823917501817332,0.9680962569661279,0.998893493507326,0.9985318509873341,0.9989279657061249,0.9987846928243106,0.2903968143847705,1.0,0.051982998875688025,0.07750924680875404,0.9976531863480854,0.9943598914357495,0.989703385518788,0.9956599842422942,0.9987457919629267,0.9991346522071449,0.9925036540041121,0.9966252446282676,0.9954458961272289,0.9997635125707802,0.9936685128080118,0.9964868829786929,0.986783362548913,0.9887352892508318,0.8439174566538707,0.8926927252699132,0.9985788787298829,0.9991834919607675,0.9975174085273393,0.9990327079684036,0.9978915823281462,0.9991004645807074,0.9986801239062171,0.9976826360542544,0.9985328702096057,0.9991777205855293,0.997889362367227,0.9989913111536515,0.9792525200542225,0.9813909410258504,0.9969066751630785,0.9972173592269327,0.9998550369541058,0.9998632376579397,0.9427724048338325,0.9919852810592715,0.9974367251512706,0.9996601931432703,0.995939171006003,0.9994180199898411,0.9994948150744778,0.9995218635219763,0.999696885062012,0.9995680031639443
biomistral_r64,0.9942708777222606,0.9915110497649482,0.9998605955404825,0.9998562224117015,0.9977931950028612,0.9992446998949013,0.6936220328442029,0.948017001124312,1.0,0.8725462574285344,0.9994146112681086,0.9997730277823402,0.9914568129151988,0.9981596144054354,0.9981757247041071,0.9995700833809483,0.9975723849966072,0.9993153970483641,0.9942015915561075,0.9979131579894558,0.9970188846313418,0.9991060072844246,0.9875797547890824,0.9898522716482603,0.9930515455070653,0.9976250169803533,0.9998578781829446,0.9998571011229918,0.9995509994322392,0.999843558306569,0.9989816941449977,0.9999366427879514,0.9975852541457055,0.9994182938120194,0.9983961663462289,0.9997302036119939,0.9986621889916083,0.9995848131793875,0.9986412527693992,0.9991970597868103,0.9994455557579293,0.9989147382228751,0.999004871452955,0.9990586309328691,0.9749970014273804,0.995902405511417,0.9962000159057819,0.9984324516222948,0.9972673115098085,0.9992516353415869,0.9996988058551828,0.9992325099847488,0.9998240996792055,0.9998427611759637
biomistral_r64_cal,0.9960891378209775,0.9953066317252913,0.9998270950828734,0.9998912572422747,0.999424495122661,0.9999754723802542,0.4986288281824769,0.922490753191246,0.12745374257146558,1.0,0.9999141727431685,0.99964388238042,0.9962654888142068,0.9993308165256356,0.9994743014469338,0.9999810495864352,0.9995098145307606,0.9999565366379126,0.9966394029936645,0.9990902371219638,0.999235928893533,0.9998822759467203,0.9957390792176065,0.9952201326921383,0.9601077671066826,0.9820557609770484,0.9990575695353142,0.9996695521153808,0.9997457953442096,0.9999818691507985,0.9995025595069267,0.9999608112315034,0.9999379561257089,0.9999366941333814,0.9996807725814479,0.9999570881651135,0.9997534064070649,0.999950206911858,0.9932668828463005,0.9934403522573841,0.9998228658568735,0.9999811029877284,0.9998790039166678,0.9999278604720001,0.9716221272941105,0.9977337561373802,0.9972081324156835,0.9997206771876817,0.998889600246602,0.9996092249976497,0.9996019829529387,0.9999802907115661,0.9999959187235783,0.9999956679515823
