,albert,albert_cal,biobert,biobert_cal,biomistral_paper,biomistral_paper_cal,biomistral_r128,biomistral_r128_cal,biomistral_r64,biomistral_r64_cal,gemma3_12b_paper,gemma3_12b_paper_cal,gemma3_paper,gemma3_paper_cal,gemma3_r128,gemma3_r128_cal,gemma3_r64,gemma3_r64_cal,gemma4_12b_paper,gemma4_12b_paper_cal,gemma4_31b_paper,gemma4_31b_paper_cal,med_llama_paper,med_llama_paper_cal,med_llama_r128,med_llama_r128_cal,med_llama_r64,med_llama_r64_cal,medgemma_paper,medgemma_paper_cal,medgemma_r128,medgemma_r128_cal,medgemma_r64,medgemma_r64_cal,mediphi_4b_paper,mediphi_4b_paper_cal,modernbert,modernbert_cal,phi4_14b_paper,phi4_14b_paper_cal,pubmedbert,pubmedbert_cal,qwen4b_paper,qwen4b_paper_cal,qwen4b_r128,qwen4b_r128_cal,qwen4b_r64,qwen4b_r64_cal,qwen9b_paper,qwen9b_paper_cal,qwen9b_r128,qwen9b_r128_cal,qwen9b_r64,qwen9b_r64_cal,xgb,xgb_cal
albert,1.0,0.9938163848829659,0.9653916618724777,0.9933550292642975,0.9623309661181404,0.9863571670687532,0.350575159682734,0.11501618442965189,0.006008552354983876,0.006860560046443975,0.9575961496568663,0.9759043226155573,0.9924175978317933,0.9900200232564139,0.998244373425959,0.988269665210211,0.9397500028068466,0.968093744355838,0.962217302068286,0.9828282223969561,0.9971170135276646,0.9805112509664705,0.9003412311914366,0.9898687958304826,0.943156444874186,0.9450072285858747,0.46267885193252023,0.5018451465704209,0.9851414671577052,0.9847976127872633,0.9523666939969633,0.9855789376186728,0.9636440771548113,0.973975913952745,0.9659810115112187,0.9840413878617702,0.973003967104895,0.9836031633306465,0.9820687534186612,0.9963972674552816,0.9085152120059696,0.9938125608402484,0.9883247825048607,0.9959796187776871,0.9742432164712487,0.9746328099069673,0.9948669708082527,0.9323093870432579,0.9746704702384222,0.9937009369163371,0.9592052956381756,0.9965254601779312,0.9919806452475687,0.9645921835268598,0.9976264304680553,0.9939327316193884
albert_cal,0.006183615117034136,1.0,0.9275491115338625,0.9898775472703959,0.9176348286646976,0.9716270246429105,0.16094372663659495,0.034007700268085195,0.003647470329465996,0.0033043473879357244,0.9133393874028767,0.9482016314586954,0.98521715864265,0.9812999254964816,0.9945550442521068,0.9749245786562679,0.8854932615903602,0.9082012425910141,0.9317768075217964,0.9663101354289502,0.9895331342103107,0.9449222566244808,0.7953098562599307,0.9760823362767487,0.866472796001531,0.8542461794370909,0.2309683077167517,0.3036551695863531,0.954626088602966,0.9495253743506028,0.914784512954277,0.9720909257377915,0.9250138562372902,0.94483787776322,0.9148823930631361,0.9679545099793411,0.9449349791938939,0.9688738561157958,0.9641987390424438,0.9937525266583855,0.8268483855915945,0.9813994392387416,0.9706183015828947,0.9877824538918567,0.9517117618015449,0.9552607894444564,0.9843413078769554,0.8506077711274524,0.9199684590721676,0.9865747379211813,0.9250232583587804,0.9859912445850035,0.9818785052520866,0.9205231015955033,0.9962900685276095,0.9918763303131914
biobert,0.03460833812752229,0.07245088846613745,1.0,0.9871805777766713,0.7343873425779512,0.6772538798757606,0.0626002518510409,0.004086710486893352,0.004681231104441519,0.0019392369147019917,0.7704301630966927,0.8573870709888425,0.9931189583829564,0.8766390077545373,0.9582062503592386,0.935973473513595,0.7126871018716875,0.5007741582149586,0.8998153522876666,0.9750197913063245,0.5343462124082141,0.6435902080365028,0.36675279817436,0.7461132927981523,0.5090090719007265,0.3037791861187902,0.007314557634055641,0.04014532005259597,0.5052449223199706,0.507534280794735,0.8313623506585861,0.959979805266839,0.809971156611848,0.8295882730165347,0.4390638040858318,0.7885982904455119,0.8669164512975349,0.9588675015640068,0.9569651685078738,0.8541974531590809,0.5078401410649194,0.8713707943814855,0.4803402306577791,0.5131125975335891,0.866200922001525,0.9123057030784728,0.7707332505318388,0.48914770336766966,0.5547886734063334,0.7772632315577218,0.6260741461569569,0.7258223201041563,0.7530741881145637,0.5216861923535966,0.9992276536891849,0.9998923975904446
biobert_cal,0.006644970735702471,0.010122452729604103,0.012819422223328658,1.0,0.13658508176548523,0.006148509765696031,0.02879187664571148,0.002509352921396646,0.00110243898807183,0.0003131580259043698,0.246607332061895,0.22208816651794117,0.305546070507712,0.15765228792115016,0.6336993598600542,0.2677724939786684,0.2347663367022237,0.07816054273226114,0.31661906335675505,0.2361040958621955,0.05510631926646126,0.07913277755418613,0.08183880611084371,0.0852705986684017,0.12555009498078085,0.039016330123496146,0.00573052113711725,0.021526983899377128,0.05695802743325584,0.03242556348362091,0.3616136757898123,0.5722160741511403,0.30314833151119935,0.04288277037479482,0.06899379529355143,0.06586394638834481,0.3387978214134053,0.45673424445914634,0.20023333190001869,0.12304897083811384,0.12630279696295232,0.3255774937068109,0.03372726358764688,0.016950715927714133,0.08998087524612308,0.181838601924462,0.37589459490644017,0.1617446429082262,0.10908404005585648,0.05544715685563106,0.05158708220480401,0.14586873954956048,0.187215068780603,0.006872861234138328,0.868843950487385,0.8926377251390335
biomistral_paper,0.037669033881859604,0.08236517133530241,0.26561265742204876,0.8634149182345148,1.0,0.4243220202108535,0.04284877622969874,0.0021554456197306893,0.004122975015184216,0.0016593407581674269,0.8136450635850841,0.7852948127853079,0.9352132457918518,0.6484547965168337,0.9541780691965344,0.8421263158022647,0.619146839300799,0.2635901213969447,0.8759047790211354,0.8940044374971299,0.3491427410385801,0.291893048585252,0.11371311921151439,0.4730256532472419,0.369290579613643,0.20282456070119925,0.013190999254870106,0.0329180305580804,0.31152679286391727,0.24798130096014637,0.8032961101875429,0.9874060472167316,0.8941801591285383,0.36777799643055276,0.2665162204962708,0.426673349054989,0.8799514441641226,0.9371194772207023,0.7917402167053043,0.5781525247476089,0.1727335543187366,0.8296342666699822,0.27845804620696957,0.32896390443737733,0.5185205871876878,0.6782520143613401,0.6608915509464874,0.3771685338420444,0.34760181050247896,0.4739460572528935,0.40589293380808145,0.5356543814340948,0.5479980543982252,0.3241350027642207,0.985550020864762,0.9508730925723511
biomistral_paper_cal,0.013642832931246796,0.02837297535708949,0.3227461201242394,0.993851490234304,0.5756779797891465,1.0,0.06154080812377338,0.0065139926538865245,0.002462328468985975,0.0003778858968586096,0.6419254423878116,0.6899760998631403,0.9278902580223896,0.7428684800164369,0.9370816855819479,0.8048415464287627,0.5965442251419519,0.4026806181660425,0.7500942210567503,0.8054695325196597,0.3635133160070003,0.4889553579872794,0.2912599249301877,0.5964612082463707,0.43411136677272943,0.25554870835520416,0.012319951033957222,0.043275774611604145,0.39282351097018386,0.35716591377806317,0.7018693952755319,0.8863377627616719,0.7077831056754186,0.49053745508697244,0.3079324392911478,0.5226659470416366,0.8044236126922504,0.8869996819987532,0.7576689065856459,0.7258315072264976,0.42834271785856093,0.8197291569010725,0.33533247804105315,0.277436722478825,0.6014897813722822,0.7341134786753416,0.7097925571857335,0.4291506504391489,0.4531037690706119,0.6199680296630868,0.44828446326495286,0.6141268134363967,0.6150829231903263,0.36720358406234,0.9884234393883861,0.9879873424790048
biomistral_r128,0.649424840317266,0.839056273363405,0.9373997481489591,0.9712081233542885,0.9571512237703013,0.9384591918762266,1.0,0.2563730767496555,0.06688761085050521,0.1044216143761898,0.9644516567103494,0.9785195023837446,0.9810243943936189,0.9785937099993772,0.995405118771716,0.9839040968532163,0.9523912245051673,0.9645786093669966,0.9616643178091594,0.9748745605588003,0.9636220645624841,0.9682341588603012,0.8899042924372871,0.9631968984878175,0.9388759586865967,0.9435229034231858,0.5634160152679407,0.5839244793595766,0.9767152224070699,0.9602399970529674,0.9681618147383089,0.9860663077029279,0.9636719202696505,0.9505975483249763,0.9331854389914818,0.9647122541921894,0.957136675772418,0.9740772718208819,0.9740712355696372,0.9793175537655152,0.9228746964633787,0.9850319869561579,0.9688092013684989,0.9549152093467378,0.9646096996639715,0.965116162141247,0.9982638021243836,0.9592392752144525,0.9517081612915411,0.9661288138246744,0.9171359575065695,0.9902608032039532,0.9926085581268267,0.9293930079260551,0.9922346818508517,0.9824212244223178
biomistral_r128_cal,0.8849838155703481,0.9659922997319148,0.9959132895131066,0.9974906470786034,0.9978445543802693,0.9934860073461135,0.7436269232503445,1.0,0.05159969933466879,0.05680326690943638,0.9973893361398102,0.9994864334635034,0.9996054977614311,0.9987856869960109,0.9999600477324991,0.9997478081680072,0.9945292240842537,0.9988964223790414,0.9964770920058637,0.9991721068954066,0.9977469988055685,0.9995595712750142,0.9807484637328998,0.9978042419188285,0.9882229284264097,0.9949319505486388,0.7727009197953263,0.7548578706381559,0.9996853275018994,0.9992010356867893,0.9960170028411152,0.9992197297878184,0.9967935475788539,0.9973302317425372,0.9920171566598412,0.9983201128129089,0.9951555985427809,0.9983945038161096,0.999111110252756,0.9991589482477411,0.9900303525405413,0.9994870828985923,0.9995333357580687,0.9974359290994359,0.9978766823612618,0.996947588120003,0.9982392748789666,0.9862524287262194,0.9958354623867206,0.9983989221570032,0.985459866826651,0.9999704619455267,0.9997282899702113,0.9931133439279772,0.9998880692620157,0.9988184283427977
biomistral_r64,0.9939914476450161,0.996352529670534,0.9953187688955585,0.9988975610119282,0.9958770249848158,0.997537671531014,0.9331123891494948,0.9484003006653312,1.0,0.5222203080231425,0.9950686642628953,0.9978658497138241,0.9989279864468047,0.999288109124815,0.9997421431278171,0.9992162798862531,0.9932732493254015,0.9993349209708826,0.9950927935970539,0.9972125485195872,0.9986501161753456,0.9984144263508994,0.9851738773476874,0.9970413082594097,0.9988711330919414,0.9988535480971459,0.8981275396245594,0.8717194491373231,0.9996135630619576,0.9994945344873943,0.9933221068714295,0.9969153873812991,0.9961369178829086,0.9956154670948241,0.9917371537481691,0.9963774092538207,0.9953162350635065,0.9986941046085029,0.9967477548221862,0.998443066997538,0.9891889045765566,0.9989118587061222,0.998311240637541,0.9994457854553966,0.9967280857669801,0.9972519173604251,0.9996087848856,0.9976611282557151,0.9985281049193364,0.998121859886472,0.9899043914718609,0.9998608981063213,0.9985398870845233,0.9981594567402193,0.9994564969765057,0.9986029329840226
biomistral_r64_cal,0.993139439953556,0.9966956526120643,0.998060763085298,0.9996868419740956,0.9983406592418326,0.9996221141031414,0.8955783856238102,0.9431967330905636,0.47777969197685755,1.0,0.997126778950417,0.9983684198586527,0.9996834367858631,0.9989173825964165,0.9999122819258675,0.9993078054753542,0.9950334225026434,0.9991949651360809,0.9967951525625327,0.9988212987347502,0.9998310970883012,0.9995752269359204,0.9950495163089044,0.9994016291574581,0.9970821703343967,0.9965062803897433,0.9377429573852757,0.9102952329815677,0.999108459907949,0.9999079532956665,0.9941705581761704,0.9985500549976685,0.998073669455201,0.9985834441436207,0.9977369478117437,0.99840814351472,0.9988089683820356,0.9992315384300754,0.9986136044057827,0.9994151458456723,0.9931422718651923,0.9998055755232391,0.9991090469253706,0.9999624745992276,0.997335289893767,0.9974223166729665,0.9976044267286774,0.9911194902930685,0.9998047011750196,0.999628086926894,0.9962152487704318,0.9997787651851867,0.9979659751224476,0.9989530817758809,0.9998051127393408,0.999356084492472
