,albert,albert_cal,biobert,biobert_cal,biomistral_paper,biomistral_paper_cal,biomistral_r128,biomistral_r128_cal,biomistral_r64,biomistral_r64_cal,gemma3_12b_paper,gemma3_12b_paper_cal,gemma3_paper,gemma3_paper_cal,gemma3_r128,gemma3_r128_cal,gemma3_r64,gemma3_r64_cal,gemma4_12b_paper,gemma4_12b_paper_cal,med_llama_paper,med_llama_paper_cal,med_llama_r128,med_llama_r128_cal,med_llama_r64,med_llama_r64_cal,medgemma_paper,medgemma_paper_cal,medgemma_r128,medgemma_r128_cal,medgemma_r64,medgemma_r64_cal,mediphi_4b_paper,mediphi_4b_paper_cal,modernbert,modernbert_cal,phi4_14b_paper,phi4_14b_paper_cal,pubmedbert,pubmedbert_cal,qwen4b_paper,qwen4b_paper_cal,qwen4b_r128,qwen4b_r128_cal,qwen4b_r64,qwen4b_r64_cal,qwen9b_paper,qwen9b_paper_cal,qwen9b_r128,qwen9b_r128_cal,qwen9b_r64,qwen9b_r64_cal,xgb,xgb_cal
albert,1.0,0.0029337426166000657,0.9621243201500501,0.46870274686322544,0.223812298759541,0.3169615031151496,0.15826869236008312,0.01704067658581554,0.022782371715598826,0.04930400115209965,0.4294716533335192,0.32375736423525536,0.22405790857179397,0.3183757139913532,0.23649326971661622,0.8677493565353468,0.39839083592845836,0.7615754630710979,0.4863808436428203,0.6422466601230046,0.48091717425213665,0.07026165421097463,0.4069744020303514,0.6316858039070159,0.24325498182584915,0.15788612275257985,0.5994856789277825,0.6978352750444794,0.8571785055327115,0.8988822823519464,0.5681573807896344,0.9323233202248554,0.5080143827789256,0.3084369442345949,0.7823490299831792,0.8570127828956797,0.372094528861187,0.5033672510718469,0.7172768285839359,0.5247113635607568,0.6007399649764242,0.5417862648757454,0.9374558670858275,0.9006107821081838,0.2521879103725341,0.865384664406609,0.3172758450131724,0.12952015559793273,0.6706826688835398,0.8084860302690332,0.4544295726372952,0.857014524229676,0.9585987175483149,0.913971631183836
albert_cal,0.9970662573833999,1.0,0.9958625464677819,0.9291596952154729,0.7241439061418543,0.8320222902466825,0.3034880835412259,0.255047787881,0.08392530252974184,0.2539222814984021,0.8932665118892671,0.869710494210045,0.516480122550033,0.8146997454112204,0.6705865963617998,0.994720959158906,0.7376764236751763,0.9884657153042962,0.7669902555923457,0.9263991348321657,0.7950689275212296,0.5973361045615865,0.7706463166073636,0.9126571203714298,0.7345214130486364,0.7706600126337244,0.9361367017374257,0.9921031333366035,0.9561399416295715,0.9913695562641117,0.8751334254148384,0.9963379880008181,0.8470435358138975,0.8816036701621943,0.9246092153855987,0.9825521293703825,0.884291433467537,0.9974839035346545,0.8792692076385383,0.8199832265518683,0.9752976322457547,0.9552715445445138,0.9921385734085642,0.9927629453226429,0.4852673286595439,0.9903131797914282,0.7141069358870725,0.8950158821457395,0.8703262070377782,0.9862971543880685,0.9009816067775696,0.9880751662163,0.997864259369338,0.9885055717300453
biobert,0.037875679849949884,0.0041374535322180606,1.0,0.013761926545120096,0.027513157288849177,0.0446805615194622,0.09796726304253267,0.02194228639386331,0.009288723797516218,0.019599792745100486,0.018428313749304648,0.002712307281926174,0.027898447862908404,0.0005208736508193201,0.07135402876920505,0.07902329931729246,0.028566109530363648,0.034624950821974365,0.10711087290931309,0.10368712724071927,0.08590425675392754,0.004418228597892759,0.08530636408306169,0.12349760152190781,0.0033383136559486104,0.001672477081156365,0.08530962236911144,0.060304976897939344,0.4004142695530273,0.09962576794153599,0.08165297166216123,0.1385776932967182,0.10470132091717532,0.005019861957817007,0.35553762420672985,0.06888555521607298,0.007838891224834499,0.024583655105189894,0.26748887892032225,0.0896404847680905,0.0019277036450263685,0.041920022553158964,0.34983336959967837,0.11106838003298514,0.07616593126066173,0.03323723916672516,0.08817342760588753,0.017591708943033302,0.228129229754784,0.058262765242849235,0.05165071690921774,0.08059272560453146,0.2220313188950589,0.3476366964947095
biobert_cal,0.5312972531367746,0.07084030478452708,0.9862380734548799,1.0,0.3128114085213466,0.304816480124783,0.22407056049833418,0.1384134905257377,0.026905585836331958,0.061084858262389186,0.46432131187074277,0.2879814350830687,0.25331701384011907,0.3139295227144292,0.3147144369084385,0.9311201656935904,0.4078905631168368,0.9179612825743234,0.5034974122288588,0.602532085911408,0.4999502601671221,0.10929280754350046,0.43007006747379706,0.6381320514957399,0.06857128858983064,0.19341357886502797,0.5873849355656195,0.6064292636006872,0.8918707580134845,0.9061041622926157,0.5784937225102047,0.9661718280883478,0.5259733727205316,0.3336559512666901,0.7824173679075948,0.936829147603724,0.4125476814792337,0.5492045898097335,0.7433334017322665,0.5408773700527105,0.6455213493543219,0.6295272358404165,0.9112806889976925,0.9063484865908449,0.28613149851851327,0.8897742712506186,0.38952753015909614,0.2884574611628976,0.6929570924091366,0.6612040929033278,0.49362860329257496,0.9563584317585708,0.9795955184127749,0.9855250398014894
biomistral_paper,0.776187701240459,0.2758560938581457,0.9724868427111508,0.6871885914786534,1.0,0.5710084269484919,0.25522839931559926,0.1496168770166476,0.13102170941435998,0.1971334892757458,0.8742599684055916,0.6177599158817728,0.327066434810787,0.578030687855061,0.479307417224887,0.8973248995423134,0.6381614375848319,0.8832996036053203,0.7920361638755903,0.9759395925521263,0.781948078991434,0.3262734526761326,0.64232680512301,0.7950511687222604,0.4955823851362122,0.45846427325786077,0.7207698231043638,0.7714344964209332,0.9541066544524567,0.9668431556416188,0.9558143670936666,0.9320694900696646,0.7032357187659984,0.5940734594480519,0.8964891652828942,0.9456307683223525,0.7789613962524254,0.7334724591950135,0.819141593736064,0.6558212735879989,0.7905542760997342,0.7480320226955008,0.9528986723380646,0.9501578383813438,0.3930081758118167,0.918759862531751,0.5912238116914033,0.5330956208732114,0.7859474478492333,0.912443423730323,0.6627219646868474,0.9446528922632582,0.9706768983508007,0.9397709244236284
biomistral_paper_cal,0.6830384968848504,0.1679777097533175,0.9553194384805378,0.695183519875217,0.42899157305150815,1.0,0.24992790524156494,0.16331672229564553,0.056418828509670726,0.01279920872598872,0.590612326444647,0.5219875999248864,0.3293079807534509,0.48802308826893426,0.34973284927606896,0.9702029177274761,0.5162667054302228,0.9040521624302063,0.5739965867102961,0.6882038625652491,0.5919316229583074,0.19072090262053398,0.5509559312189648,0.784556772182109,0.39997715411843315,0.3596335111377008,0.6839800652526702,0.7654995913560003,0.8585622817822048,0.9168061851569297,0.6509507705176636,0.9668157059167654,0.6679150644105061,0.5087518659209973,0.8695148899717215,0.9126867460156779,0.5536056844472158,0.7684689362548544,0.7540407232926183,0.6278978586094456,0.7317151073679158,0.892117906447121,0.9535825071347959,0.9312962284257067,0.3182980632938436,0.8975113384320624,0.47887781315380906,0.41541799132828783,0.7709925002874132,0.7435274651323605,0.6050834285744766,0.9346452713304382,0.9737983099855211,0.9719601729272751
biomistral_r128,0.8417313076399169,0.6965119164587741,0.9020327369574673,0.7759294395016658,0.7447716006844007,0.7500720947584351,1.0,0.6586366975922902,0.43399350606289466,0.6092449888174796,0.780228490953582,0.7614528746771676,0.6597869311404114,0.7392457599630755,0.7474295344717377,0.852202993373997,0.7270134619157758,0.8261101597125496,0.7778004394846336,0.8549843779001379,0.7608374168268074,0.6907806021073183,0.7447030109889343,0.8108968259321041,0.7194842532491109,0.7247006775062883,0.8711602386891153,0.850144012322758,0.869003680607239,0.8674407538376402,0.8081421324225755,0.8784968242686096,0.7835308867188404,0.7554786072239666,0.8443672188809763,0.84967182173251,0.7683344317553485,0.8150212871992722,0.822777399257219,0.7956812226481877,0.8100613732844362,0.7908792449528345,0.8978245600839284,0.86801451259318,0.656129459661078,0.8588959931409548,0.7840516697405565,0.7609897286230404,0.8005651374630963,0.8719762625104488,0.8409721524049248,0.8465087753813274,0.8878436227364224,0.8720941156972427
biomistral_r128_cal,0.9829593234141845,0.744952212119,0.9780577136061367,0.8615865094742623,0.8503831229833524,0.8366832777043545,0.34136330240770985,1.0,0.21259580504038456,0.48468183252581054,0.890983375616309,0.8277937441309946,0.6474183564839748,0.8084214204106978,0.8393824737539783,0.9659521931981307,0.7809228171462785,0.9443125433682709,0.8360867210057131,0.9813722295019706,0.8556752846846887,0.740252110681,0.8440257457561543,0.9332185192360434,0.7414160516153002,0.7922497762726538,0.935343387840285,0.9719925191529041,0.9398529282306065,0.9746381833509085,0.9052934678965545,0.9748396719630534,0.9026601328152313,0.8539259687394707,0.9446016083482203,0.9529110837024019,0.8815043876202104,0.945990734325805,0.8757481956140385,0.8446812701449746,0.923371313986364,0.9062874936688854,0.9874040235328845,0.9759513198128585,0.5991547981372717,0.9645478961308217,0.8755158205992405,0.9326303737501962,0.8827574774144902,0.99015819443901,0.9328945335090177,0.9567640021129646,0.9823340098701965,0.9619485640826517
biomistral_r64,0.9772176282844012,0.9160746974702582,0.9907112762024838,0.973094414163668,0.86897829058564,0.9435811714903293,0.5660064939371053,0.7874041949596154,1.0,0.7820620264644461,0.9241747310188672,0.9608399175523615,0.7691058354568487,0.9177246309522232,0.8856278275999167,0.9809285632232548,0.860666359019117,0.9735012902588032,0.867322933232661,0.9315338760940178,0.8655913755468114,0.8799990389812817,0.8680065511124141,0.9262512598795585,0.9609910006681919,0.9175110060261471,0.9979724958380958,0.988365344000945,0.9645283793411012,0.9717982599020613,0.9171516295583365,0.9875112279142685,0.9002174681470667,0.9336603252050125,0.9261123423368681,0.9706021211758149,0.9160664773541711,0.9804850694329554,0.9315747794300797,0.9381721451457197,0.9670533804021327,0.9616812421382517,0.978356523374533,0.9742980769035324,0.7604995153387688,0.9770260290430361,0.8701662969577602,0.9154437569902201,0.91072088408842,0.9694557543600919,0.9716549651802392,0.9735182206198884,0.9854134683329,0.9837671265009658
biomistral_r64_cal,0.9506959988479003,0.7460777185015979,0.9804002072548995,0.9389151417376108,0.8028665107242542,0.9872007912740113,0.39075501118252043,0.5153181674741895,0.21793797353555389,1.0,0.8918103925406673,0.8497408392809762,0.646899803041065,0.8175264432943306,0.8846408018368486,0.9897919094647928,0.7939160232590361,0.984738439115684,0.8049605675289246,0.9146499572151495,0.8592793464594402,0.7772653200395083,0.9333921892907092,0.951550939540696,0.7916583571497258,0.7883967418156551,0.9050973117071307,0.9706445626226528,0.9370883824015432,0.976606388187101,0.8870970362611188,0.9852765586545646,0.9284700993089238,0.8664226783960154,0.9611403088645742,0.9722743792372204,0.8722609969799884,0.9699283800842078,0.8633852832569067,0.8248688193807354,0.9257872272919454,0.9907710011461658,0.9839345308140812,0.9799307514274744,0.6001271511824847,0.966084453153362,0.8206769790219735,0.8931381722351988,0.9000263294166618,0.9357410256079961,0.8590376362070359,0.9859765862575954,0.990605116415193,0.9850704072121195
