method,median_n_sig_terms
ror,250
qwen4b_r128_cal,161
gemma3_12b_paper_cal,161
gemma3_12b_paper,156
medgemma_r128_cal,156
medgemma_r128,155
medgemma_paper_cal,152
biomistral_r64,152
med_llama_r64,152
medgemma_r64_cal,151
biomistral_r64_cal,151
medgemma_paper,149
qwen4b_r128,149
gemma3_r64,148
gemma3_r64_cal,148
qwen9b_r128_cal,147
med_llama_r64_cal,147
medgemma_r64,147
qwen9b_r128,143
phi4_14b_paper_cal,142
phi4_14b_paper,142
gemma3_paper,140
qwen9b_r64,139
gemma3_paper_cal,139
qwen9b_paper,139
qwen9b_r64_cal,139
qwen9b_paper_cal,137
albert_cal,137
modernbert,136
modernbert_cal,136
pubmedbert_cal,135
albert,135
biomistral_r128_cal,135
biomistral_r128,134
mediphi_4b_paper_cal,134
med_llama_paper,133
med_llama_r128_cal,133
mediphi_4b_paper,131
pubmedbert,130
med_llama_r128,130
qwen4b_r64,130
qwen4b_r64_cal,130
gemma4_12b_paper_cal,130
med_llama_paper_cal,128
gemma4_12b_paper,128
gemma4_31b_paper_cal,126
xgb_cal,126
biobert,125
xgb,125
gemma4_31b_paper,124
biobert_cal,123
gemma3_r128_cal,123
gemma3_r128,115
qwen4b_paper,114
qwen4b_paper_cal,113
biomistral_paper_cal,111
biomistral_paper,110
prr,6
ebgm,1
