model,auc,precision,recall,f1,accuracy,ece
albert,0.8547796894773502,0.7321991178323881,0.7827551364095655,0.7566335666612405,0.7891098885597404,0.03499228512798085
albert_cal,0.8545057830592497,0.7474949899799599,0.7537891545975076,0.7506288780815026,0.7902383975172803,0.016372170616766858
biobert,0.8942658686688009,0.7848837209302325,0.8184573930616369,0.8013190436933223,0.83001833827056,0.05541382315884539
biobert_cal,0.893748385419562,0.8022015823873409,0.7854496463455709,0.7937372362151123,0.8290308929327127,0.00905937105574319
biomistral_paper,0.8780689699712564,0.7908450704225352,0.756483664533513,0.7732828369771045,0.8142192128650021,0.03366809021269088
biomistral_paper_cal,0.8778445637281029,0.7953321364452424,0.7460424385314921,0.7698992005561348,0.8132317675271548,0.014617857844400447
biomistral_r128,0.8310589276896867,0.6975770266227939,0.7854496463455709,0.7389100126742713,0.7675271547467908,0.034170365935047055
biomistral_r128_cal,0.8310051355920565,0.710595160235448,0.7318962613674638,0.7210884353741497,0.7628720552969389,0.00996121341740779
biomistral_r64,0.8159772340070698,0.6720163408228772,0.7756820478275513,0.7201375859912446,0.7474961207504585,0.10992720195599696
biomistral_r64_cal,0.8153147246465908,0.7010816125860374,0.7204445941394408,0.7106312292358804,0.7542671744956976,0.008212180374588407
gemma3_12b_paper,0.8897029417246827,0.7882513661202186,0.7773661165375547,0.7827709004578599,0.8192975031739315,0.03617708304202807
gemma3_12b_paper_cal,0.889007527623632,0.7762512266928361,0.7992590097675986,0.7875871224692997,0.8194385667936239,0.01129424293341343
gemma3_paper,0.8745834382469989,0.798592100117325,0.6877736611653755,0.7390517553384003,0.7965862604034419,0.04112426635725939
gemma3_paper_cal,0.8741597641649799,0.7631399317406143,0.7531155271135063,0.7580945923037803,0.7987022146988292,0.013832769132624182
gemma3_r128,0.8847244749139164,0.8028115501519757,0.7116874368474234,0.7545081235493661,0.8060375229228381,0.04506611645057601
gemma3_r128_cal,0.8845447046666689,0.7748815165876777,0.7709666554395419,0.7729191288198548,0.8102694315136126,0.012481415865016568
gemma3_r64,0.8745774295552423,0.7755741127348643,0.7507578309195015,0.7629642307034058,0.8046268867259134,0.023219262728682275
gemma3_r64_cal,0.8740744570922182,0.7532467532467533,0.7814078814415628,0.7670689370143825,0.8012413598532938,0.013103250139372424
gemma4_12b_paper,0.8893986648441664,0.7874788494077835,0.7837655776355675,0.7856178257933828,0.8208492029905488,0.034337273161160975
gemma4_12b_paper_cal,0.8887320679382749,0.7999300454704442,0.7702930279555406,0.7848318462594372,0.8231062209056285,0.010150445304973735
gemma4_31b_paper,0.8890166837253561,0.7907618062736987,0.7726507241495453,0.7816013628620102,0.819156439554239,0.04862910092245761
gemma4_31b_paper_cal,0.8888198275382838,0.7831325301204819,0.7881441562815763,0.7856303508477421,0.8198617576527014,0.011100347878180363
