model,auc_mean,auc_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,accuracy_mean,accuracy_std,ece_mean,ece_std
albert,0.84501084353898,0.022890630491625128,0.7313653981677193,0.027647320656931592,0.7521579471201315,0.03250858666703935,0.7408136400772108,0.013795230752971408,0.7815148288917506,0.012849500482032475,0.038622357782366605,0.013906513950362449
albert_cal,0.8453373662799887,0.02157781940826863,0.7442419565988938,0.026098705955533937,0.7297478394910546,0.02398000011320927,0.7363887160632112,0.0123907521153711,0.7830081939777009,0.012376030170324973,0.014480704707668907,0.003693230347747916
biobert,0.883077509636464,0.008704640943192976,0.7690715445867407,0.012751624985490961,0.7887086025745271,0.021116675889562394,0.7786433226261044,0.01348251915949344,0.8138316073912822,0.010774253301016388,0.04110420761336626,0.009593230331941
biobert_cal,0.8825324711945346,0.00864492131250256,0.7914980133024516,0.0171478963669199,0.7509091704510775,0.025386774915613183,0.7703652650640802,0.013913732220264785,0.8141806074387381,0.010737120292340554,0.013653135471927568,0.0033849552959213216
biomistral_paper,0.8707617158945787,0.00921301708622938,0.7754736778643926,0.018370539103099586,0.7395615274053717,0.0352057248967606,0.7564604261789636,0.015178151774904561,0.802503075457294,0.00968472706280802,0.03296105280839232,0.00987892596754663
biomistral_paper_cal,0.870198115485227,0.009855354304674243,0.7728123945455208,0.019690525946120994,0.7441143913326883,0.03201015958304856,0.757621447260243,0.013482661838963572,0.802444783446879,0.009767694881144644,0.012633889047978828,0.003861895324928226
biomistral_r128,0.8287842571267193,0.011386105895888997,0.724834110634567,0.04192283934489994,0.7041826310286396,0.12461198510436879,0.7059046786469306,0.058077207948159223,0.7619407495940619,0.018399247677691112,0.05509577448242092,0.044400880630250265
biomistral_r128_cal,0.8283642859797856,0.011039460749761509,0.7156628874744634,0.014278945288542316,0.720310740469949,0.046370670975833576,0.7169480443086105,0.017917567016816734,0.7644231255344079,0.007232500996368235,0.01571568855158925,0.004108261907490721
biomistral_r64,0.8027365359152754,0.014203112930497674,0.6942153281390229,0.02453433508063606,0.6963995586203195,0.062225030367537605,0.6933923339702656,0.022828114489677205,0.7453162730327905,0.010624460115196195,0.09497393242428379,0.04705380002047904
biomistral_r64_cal,0.8025834359244509,0.014291744962287365,0.6946664455499793,0.020234188630173722,0.7195496235174615,0.03666532169382329,0.7059923405445183,0.007873407169726251,0.7513778822857182,0.0054701577211001455,0.012990623710200811,0.0038587723675405244
gemma3_12b_paper,0.8788703025099869,0.008707927339005342,0.7793893779921943,0.024253188196365814,0.74938725220092,0.02673792382410385,0.7635353684847003,0.011250477463572725,0.8073276824874027,0.008955049569004317,0.034879346946961085,0.013671466783732404
gemma3_12b_paper_cal,0.8782699320026026,0.008446557843250069,0.7805280074768277,0.014153264205053985,0.7452779827055184,0.030222022883296906,0.7621574761849733,0.015433358417193075,0.8070649426703213,0.009500404749793075,0.015292257076672564,0.004302340951722991
gemma3_paper,0.8786618805522407,0.0051256999428812506,0.7873450340440098,0.006872353692639251,0.7307748833744505,0.03666650598875207,0.7575023961343124,0.017166620893700444,0.8060319470082581,0.00989926003237437,0.04632763014388175,0.013710693020438845
gemma3_paper_cal,0.878069747744582,0.005365797556637451,0.7810735844010571,0.013494889248230025,0.7434619361872267,0.017437218055253643,0.7616162442728178,0.008508400148298378,0.8067164576158283,0.008040992198540783,0.017174374930479627,0.005854346373585676
gemma3_r128,0.8858534355548985,0.0045399331704944895,0.7964170539455496,0.01748837283554141,0.7381413204788572,0.04784309756443215,0.7651040614757412,0.020058565386333164,0.8123393737987911,0.010890773178956724,0.03834176714593705,0.01886404777745797
gemma3_r128_cal,0.8855205599843788,0.0047195589303896755,0.7845177814974307,0.008093166257579476,0.768388643889789,0.01375602643657037,0.776339314076028,0.010005323897877966,0.8161315964647236,0.008522213738062641,0.012521626881532308,0.001291474811529087
gemma3_r64,0.8767696090627599,0.0035592214696150235,0.7777517571495907,0.027785485457245643,0.7453434716427183,0.034069309713251957,0.7602081305841552,0.007356178885811444,0.8049288392082061,0.003860062401889299,0.03028998544929843,0.017923729116387607
gemma3_r64_cal,0.8764942233756136,0.003513143373304529,0.7690974145235847,0.0162820211955954,0.7619343867904551,0.015446243612561375,0.7652857839328251,0.00696086703646459,0.8058923800619148,0.007006631158154851,0.014914129983746149,0.0039493934519420236
gemma4_12b_paper,0.8800307180630907,0.011307471613300306,0.784506843438185,0.02246304975521389,0.751194042006057,0.05689060500559853,0.7660024027134098,0.02553208135627091,0.8102365654417982,0.014186280182368833,0.044315126920574203,0.018538557454624207
gemma4_12b_paper_cal,0.8795082338292419,0.011365782109656036,0.7832421648189559,0.013284177174810022,0.7577804843201893,0.041261892576024,0.7697506086153919,0.02136732092600226,0.8121131929048786,0.014181246506190372,0.0146416929338549,0.005294877295006083
med_llama_paper,0.8719686489693161,0.00874249305657975,0.7639345788515357,0.03217954610755041,0.7509056412424494,0.03804153704390217,0.7561407476979805,0.009560972399378318,0.7990165274349585,0.008690838829504865,0.04702222917327968,0.015766292417022886
med_llama_paper_cal,0.8716051309893531,0.008738816099315825,0.7747016175435293,0.019167394311563123,0.731769558399457,0.01283968115856174,0.7524165212612293,0.007840838222301966,0.7999761368692829,0.0077492713976383,0.012681301475387296,0.0034648431755673207
med_llama_r128,0.8737269325271851,0.0213557822862272,0.7695168896579039,0.030828400276317825,0.746570565290403,0.03664367070825738,0.7571884935945417,0.021667927377393016,0.8011675771146759,0.01924798093846166,0.033956149045955966,0.016652273391049376
med_llama_r128_cal,0.8729840885653448,0.021234394430027063,0.761951625991231,0.018756008499327168,0.7595458266365425,0.03019099186277219,0.7606830546219387,0.023942320246384645,0.8015619523719151,0.019913050988195808,0.017053983120639795,0.003434973878277024
med_llama_r64,0.8430967647962284,0.02253050477593886,0.7293966628984112,0.031299655097679326,0.739281588479457,0.03257580735671831,0.7341588888626356,0.029837176143574146,0.7777629519606502,0.024123175158625155,0.02877310387603672,0.013418818851309243
med_llama_r64_cal,0.8425118502769504,0.02266415393670902,0.7314834178466588,0.044104650766291685,0.7375198496620331,0.01787760524732639,0.7338348688742198,0.022672480784371122,0.7774252943562812,0.023203298355903276,0.015257206707900378,0.0018286809765176043
medgemma_paper,0.8768056827914095,0.008040659208847018,0.7692142837388657,0.01111109011995263,0.7552189455690811,0.051812870879367964,0.7611087269801671,0.0214033425444264,0.8038066204312868,0.010945076807922264,0.04135776920706086,0.011353735156996135
medgemma_paper_cal,0.8763314468458188,0.00802949902820215,0.7692547867543814,0.010131538852471752,0.7548520852751904,0.036586375864488194,0.7615112752766628,0.017516618783167646,0.8039645522902354,0.011004134539819004,0.013042244140239228,0.0026056566072887345
medgemma_r128,0.8921423985104189,0.005956802559372625,0.7845032377290938,0.029062739332592014,0.7846458557593339,0.04518602286671143,0.7832599940897527,0.013425864231165367,0.8200670397125908,0.006596274811560926,0.043792310704932814,0.01864557133331955
medgemma_r128_cal,0.8916511436015611,0.006073067283430508,0.7945591930027961,0.023660621439380265,0.7743671997324721,0.009979753446479408,0.7840694140437563,0.008064779731959036,0.8227960453530441,0.008808588299779442,0.013053725310028774,0.003510572739927049
medgemma_r64,0.8823684511175214,0.009653084429453805,0.7826458584085855,0.026026749249119425,0.7557124155600805,0.04239606784324583,0.7678444043410251,0.01565552379509125,0.8105953414701489,0.00938377673545573,0.04436132080920404,0.015167205075881656
medgemma_r64_cal,0.8818875475628059,0.009450209893090084,0.7726142488134431,0.014486404836988476,0.7771752784754719,0.015192550328610213,0.774790935018288,0.011157268179309144,0.8123678500881268,0.009622905057700323,0.014346903556438306,0.0035893636495441107
