model,auc,precision,recall,f1,accuracy,ece
albert,0.9752490584412584,0.9351157329657991,0.8857411527159901,0.9095923594225155,0.9364581954112557,0.024321688894288575
albert_cal,0.9749451070599511,0.9363563258543713,0.8845209060622524,0.9094958648170796,0.9364989385712006,0.007659016597790974
biobert,0.9798147463421474,0.9289487069286814,0.9140604040176212,0.9214093171092411,0.9437418860747361,0.019285648042567834
biobert_cal,0.9794827071305372,0.9455386051281784,0.9003341860210826,0.9221682595327797,0.9452028424866151,0.007895259339463556
biomistral_paper,0.9779819313116562,0.9312197052069386,0.9091576012135665,0.9198563771425924,0.942756500428722,0.020798024775618113
biomistral_paper_cal,0.977455068527625,0.9486956081774907,0.888302884338126,0.9174714349738485,0.9422550303391268,0.008350269092264639
biomistral_r128,0.9769819914641525,0.9369888613551958,0.8942300010593323,0.9148733651316769,0.9399199698489591,0.024001592609603294
biomistral_r128_cal,0.976506366367014,0.9499972644201957,0.8772599447870346,0.9120191671413789,0.9389028525164733,0.008436118153367856
biomistral_r64,0.9616303742562415,0.9405902393232253,0.8326877345593717,0.8832115936723136,0.9204215547156526,0.024269376880454205
biomistral_r64_cal,0.9612579276975322,0.9319843584716173,0.8407083940155259,0.8837539370533072,0.920172895831217,0.011293848720871923
gemma3_12b_paper,0.9803081034211732,0.9441499856270503,0.9017994911225855,0.9220245517235532,0.9449870200668551,0.027586254645972124
gemma3_12b_paper_cal,0.9798726239441224,0.9463606927833264,0.903306435460344,0.9242811621606158,0.9465888958356874,0.007566997894526635
gemma3_paper,0.9794498305873447,0.9335333071161939,0.9000121057216823,0.9163855027180189,0.9407135717170586,0.02018818769655622
gemma3_paper_cal,0.979040337574243,0.938808241123884,0.8967413183368445,0.9172620215774444,0.9416088201533073,0.0077347824563615605
gemma3_r128,0.9825435528578694,0.9414724906324693,0.9088165984517242,0.9245985793440006,0.9464300223347488,0.022785703258764115
gemma3_r128_cal,0.9823034452792081,0.9514871880188369,0.9027893153133265,0.926481564767068,0.9482185471102946,0.00823083323508976
gemma3_r64,0.9812855487618639,0.9446599914442023,0.9095762392609043,0.9267599356011742,0.9480586619348319,0.021827513417117028
