model,auc,precision,recall,f1,accuracy,ece
albert,0.9751027154477958,0.9321389793702497,0.8789237668161435,0.9077490774907749,0.93596425912137,0.02516303895178482
albert_cal,0.9744785718506401,0.9375,0.8823529411764706,0.9090909090909091,0.9368597504190724,0.007198405198979378
biobert,0.9788415320564231,0.9218085106382978,0.9104633003643935,0.9157787924911213,0.9398550724637681,0.016829727538540173
biobert_cal,0.9785973906566157,0.9457534246575342,0.8984903695991671,0.9215162840363054,0.9446159433448339,0.008406302455876768
biomistral_paper,0.9782038345105954,0.9328585961342828,0.9065743944636678,0.9195287039358235,0.9431159420289855,0.018126149252152106
biomistral_paper_cal,0.9778147348091856,0.9489456159822419,0.8897676717745922,0.9159073158031763,0.9414855072463768,0.00835156899954152
biomistral_r128,0.9776257237119895,0.9363408521303258,0.8923157344485102,0.9112457203055043,0.9388051570728164,0.022802706861421468
biomistral_r128_cal,0.9771158153881385,0.9464082098061574,0.8819133034379671,0.9069946195234435,0.9355365897948066,0.007912762813231018
biomistral_r64,0.9634370366966399,0.9445093457943925,0.8319878910191726,0.8841752721183366,0.922747580044676,0.028666920099203658
biomistral_r64_cal,0.9623576236375079,0.9384703852788959,0.8495575221238938,0.8874388254486134,0.922933730454207,0.011167354077265795
gemma3_12b_paper,0.9792111036764253,0.9547169811320755,0.9060800790904597,0.9231170185040396,0.9464318140548393,0.030219881401955254
gemma3_12b_paper_cal,0.9790541650411678,0.9426365140650855,0.9063278525161933,0.9223721048612878,0.9446159433448339,0.007309789198122209
gemma3_paper,0.9798199397413601,0.9351063829787234,0.9027705175117616,0.91446185461084,0.9396739130434782,0.020676789975342086
gemma3_paper_cal,0.9797488030573029,0.9389228206551916,0.8948464341488808,0.9137314956610516,0.938768115942029,0.007608901482221954
gemma3_r128,0.9826244246338249,0.9486471562672557,0.905146316851665,0.9233922623622854,0.9463886820551005,0.021759801160788444
gemma3_r128_cal,0.9818532233680834,0.9523305084745762,0.9021190716448032,0.9251078954049251,0.9461383969326274,0.008352916952486437
gemma3_r64,0.9813229184471005,0.9456464379947229,0.907339927121291,0.9293521727539323,0.9503377761548293,0.024604868199498513
gemma3_r64_cal,0.9811173137584976,0.9524064171122995,0.908678102926337,0.9276848354020507,0.9493670886075949,0.00956186599943399
gemma4_12b_paper,0.9800560359248313,0.9394402035623409,0.9194265941670786,0.914953033764915,0.9411436021605513,0.025491997071422235
gemma4_12b_paper_cal,0.9796757296023557,0.9492988133764833,0.8942165101334651,0.9176722982032717,0.9428518242740134,0.00703236594010087
gemma4_31b_paper,0.9802596830287498,0.9348534201954397,0.9167507568113017,0.9197671475575804,0.9424368984928273,0.020487310206745678
gemma4_31b_paper_cal,0.9800772759290484,0.9540481400437637,0.894929430214323,0.9191577852872368,0.943659420289855,0.009878402052222807
med_llama_paper,0.978447302316594,0.9224266534062655,0.9071644803229062,0.9198052779912887,0.9428519262369911,0.024383406217536253
med_llama_paper_cal,0.9777448225928497,0.9449081803005008,0.8966880869995056,0.922216573462125,0.944129998174183,0.009011309729374474
med_llama_r128,0.9784424893502152,0.9509752240379546,0.8988540109616343,0.9132569558101473,0.9407710933134662,0.023912858812054467
med_llama_r128_cal,0.9780484314273983,0.9525909592061742,0.8865174388339406,0.9178119105362436,0.9431924008195195,0.008102130011931642
med_llama_r64,0.9774734788086625,0.9476872246696035,0.8996340825927862,0.9193548387096774,0.9420289855072463,0.021462240500697515
med_llama_r64_cal,0.9771105536637306,0.9476872246696035,0.8905146316851665,0.9156373193166886,0.9418478260869565,0.010937349263597509
medgemma_paper,0.9795129928219221,0.9511819116135662,0.8923157344485102,0.9150789330430049,0.9418886198547215,0.02502965049529659
medgemma_paper_cal,0.9794410689109788,0.9473112438891906,0.8948464341488808,0.9163113006396588,0.9415161110076364,0.008593409000942498
medgemma_r128,0.9815260167551911,0.9346512904997254,0.9123069257598405,0.9241743725231175,0.9459558152273142,0.02405906661395177
medgemma_r128_cal,0.9811993774706261,0.9487715629900679,0.9010931806350859,0.924926529521774,0.947463768115942,0.009528202887481785
medgemma_r64,0.978390274724436,0.9400104329681794,0.9091826437941474,0.9191994069681245,0.9402957823626072,0.017706573270935864
medgemma_r64_cal,0.9783104055014102,0.94750656167979,0.8922392486406328,0.9190427698574338,0.9419390177104254,0.010375322201444603
mediphi_4b_paper,0.977235896206418,0.9270453361125586,0.8975782038345106,0.9098039215686274,0.935369715030732,0.02273354909938257
mediphi_4b_paper_cal,0.9769479111686561,0.9377348362855609,0.8814328960645812,0.9102889001520527,0.937046004842615,0.00795705515566018
modernbert,0.9822134768560536,0.9482576557550159,0.9179299529534762,0.9250258531540848,0.946376811594203,0.020851093402790857
modernbert_cal,0.9817629170144417,0.9524861878453039,0.9103139013452914,0.9278821736922296,0.9488086373790022,0.009608310706614618
phi4_14b_paper,0.9788928727340389,0.9387096774193548,0.9104633003643935,0.9193910656351385,0.9432971014492754,0.020803210232608713
phi4_14b_paper_cal,0.9786891254338854,0.9441095890410959,0.8969286829776159,0.9199145755472504,0.9441236729372322,0.008367906603541734
pubmedbert,0.9780517657445912,0.9465065502183406,0.9064296915838996,0.9240607513988809,0.9469174892903707,0.021551029298444775
pubmedbert_cal,0.9775416963081149,0.9520990312163616,0.9078226208271052,0.9213541666666667,0.9456137083255727,0.01078595759249028
qwen4b_paper,0.9773292763684633,0.9387012987012987,0.8885996876626757,0.9143937348096138,0.9409903201787044,0.027251566646577813
qwen4b_paper_cal,0.9767537217802026,0.9448017148981779,0.8895055499495459,0.9163201663201663,0.9415289631378246,0.00823692894531239
