,albert,albert_cal,biobert,biobert_cal,biomistral_paper,biomistral_paper_cal,biomistral_r128,biomistral_r128_cal,biomistral_r64,biomistral_r64_cal,gemma3_12b_paper,gemma3_12b_paper_cal,gemma3_paper,gemma3_paper_cal,gemma3_r128,gemma3_r128_cal,gemma3_r64,gemma3_r64_cal,gemma4_12b_paper,gemma4_12b_paper_cal,med_llama_paper,med_llama_paper_cal,med_llama_r128,med_llama_r128_cal,med_llama_r64,med_llama_r64_cal,medgemma_paper,medgemma_paper_cal,medgemma_r128,medgemma_r128_cal,medgemma_r64,medgemma_r64_cal,mediphi_4b_paper,mediphi_4b_paper_cal,modernbert,modernbert_cal,phi4_14b_paper,phi4_14b_paper_cal,pubmedbert,pubmedbert_cal,qwen4b_paper,qwen4b_paper_cal,qwen4b_r128,qwen4b_r128_cal,qwen4b_r64,qwen4b_r64_cal,qwen9b_paper,qwen9b_paper_cal,qwen9b_r128,qwen9b_r128_cal,qwen9b_r64,qwen9b_r64_cal,xgb,xgb_cal
albert,1.0,0.5272176363897778,0.9589513162469616,0.9714065522603633,0.9284749588596741,0.9121715205136653,0.8129708715407779,0.7854501554733654,0.0015760479994191279,0.001528699798422406,0.9795364194791216,0.9979951069108512,0.9428210426935473,0.9617862608799224,0.9849002966471652,0.9857382492001092,0.9907897403750876,0.9943505223851906,0.9926799948176191,0.9991870383444355,0.8408982287166136,0.9185382245576877,0.9915205320852472,0.9931226379058983,0.9767848922814766,0.9853887548971721,0.9879858679532548,0.9761823718024505,0.9880067848085403,0.9913741648072656,0.8980408304832826,0.9347623000140695,0.38713823427507155,0.7165040802404252,0.9962702907203334,0.9992091797202671,0.9632338077702791,0.9667138494683265,0.9986946186916623,0.9982876732727367,0.97390588778583,0.9597154910295884,0.9891926564911582,0.9921653719511949,0.9939071253534547,0.9979239224979533,0.8968552661569218,0.9349502322210786,0.9971029424976711,0.9969196021547594,0.9973852091393471,0.9954576417341046,0.9818355947315542,0.9676864741318939
albert_cal,0.4727823636102222,1.0,0.9508989682749401,0.9689292823666056,0.9358892507847062,0.919879648048351,0.7883059734678524,0.7581591771707273,0.0008617249464702992,0.0008541590647757058,0.9761181733286151,0.9966462657603629,0.946585650704156,0.964692776499642,0.9837960209944175,0.9889893920851613,0.991319328894339,0.9945368653148489,0.9910050512106165,0.998389496176586,0.8320399865646354,0.9057884010309458,0.9883830918113641,0.9931667329501299,0.9623805268476746,0.9754080755910539,0.9860764098123654,0.9745508837779137,0.9925844224001424,0.9942000170357148,0.8990006598394813,0.934170116025429,0.3780319346412391,0.7079185896781277,0.995577509765748,0.999279969879832,0.9618688718083828,0.9679902856412643,0.9991306212488742,0.9987544601692663,0.9575263395939896,0.9462633889740188,0.9886658766536184,0.9904773945851246,0.9956014762438963,0.9988713560751383,0.8845321235409478,0.9273594628599976,0.996762179735449,0.9968660854106807,0.9955810919960757,0.9930188053687147,0.9845203505813307,0.9719655671333821
biobert,0.041048683753038384,0.04910103172505986,1.0,0.827031126546347,0.401514220972808,0.3621299508273519,0.1209124458699744,0.08273685458924396,0.0057427837671839566,0.005161191934579756,0.6702893439458637,0.8357164907039725,0.090400388195499,0.17593682704025393,0.7740134817241509,0.8389401623976156,0.8713073478498677,0.9160321088478747,0.5365218613172182,0.7572457232241663,0.2060433983388692,0.35467734451335065,0.30233352280195946,0.4825366399098474,0.38507995528891614,0.4355060660302664,0.25163434986674327,0.16395447119509732,0.5763910128718708,0.7240403819443697,0.32250161196995786,0.3745019988191939,0.052379018571688585,0.06241440384905472,0.9857641337502987,0.9744550333594182,0.4894494532969018,0.5500832825346518,0.8623490856387523,0.8114836031710488,0.1570385699213508,0.15469026728824187,0.6190507470864257,0.8647286594858605,0.5854538378037512,0.6366396788869522,0.04595127754207373,0.06669968899985168,0.7735181773518289,0.7964494531459221,0.6368926449193358,0.6460709036785155,0.7821805691900816,0.707745785626955
biobert_cal,0.02859344773963668,0.031070717633394418,0.17296887345365297,1.0,0.26035461149985517,0.22643692904014845,0.06171153746250291,0.035779737933678946,0.003543712704578872,0.002961713532143473,0.47716383405789586,0.6539264722540112,0.0321680428026504,0.037034129227553225,0.6420251015666794,0.7926386947059965,0.8585934860108426,0.9194767853424255,0.36154817411432505,0.5494597310072458,0.1555371366533338,0.26226021851307213,0.19850343366494316,0.3003976507189329,0.23002417320327806,0.245358664027026,0.11012502747695863,0.07312465622650288,0.4076023813953875,0.5636105255588424,0.24069069274406774,0.2764565681614327,0.026238364164796524,0.023389241387290927,0.9414575693672367,0.9697394233219382,0.3476730538804951,0.40796847907217937,0.7508094389857976,0.6873360128537928,0.09806849093292325,0.09360627839364466,0.3202530244287489,0.6813063435736257,0.43808297980466504,0.46122623544715013,0.02076006554592169,0.006426218339319001,0.6333382763284936,0.6676684171636948,0.48276400017658916,0.4850625298820951,0.7024363501980337,0.6221025098930408
biomistral_paper,0.07152504114032587,0.0641107492152938,0.598485779027192,0.7396453885001448,1.0,0.24542679122319233,0.27657501810193363,0.1979561192922189,0.0025300140138946325,0.002786395903865868,0.7484430607968173,0.8657272066739724,0.264155772422608,0.36097366846824375,0.9563335273555587,0.9936175538433458,0.9331433038677968,0.9458594120966916,0.6261437422630993,0.8157619690959347,0.2021907144029811,0.43965528085787864,0.45528880865263177,0.595205054855111,0.5201383384960766,0.561364210921662,0.46954420794512775,0.4020475078253347,0.8216731321486304,0.9420914553925819,0.3075899104597095,0.43345088527496545,0.005080577275627052,0.05631735720031528,0.9545355111067184,0.9821362262337503,0.6338953825837954,0.7331180244175747,0.9533975144112778,0.9381103405182867,0.3071744862111909,0.2733214370671997,0.7405135481429421,0.8868535643594943,0.7101155667036123,0.7545610762504606,0.23842662743618903,0.3497980774354297,0.9190111831659368,0.9418464655937976,0.6878432199699527,0.6968427898634348,0.9943264186806191,0.958765261031566
biomistral_paper_cal,0.08782847948633465,0.08012035195164902,0.6378700491726481,0.7735630709598516,0.7545732087768077,1.0,0.30433206219744036,0.2159779793708596,0.0023096795491378552,0.002526529345912687,0.7605055493991155,0.8722567992391593,0.3275993140480111,0.4227855962381104,0.9770004295048219,0.9979695452699656,0.9604307531714873,0.9646218215173162,0.6588026896960535,0.8359601134431068,0.2824082752191903,0.5033837399998249,0.5021092666867042,0.6347981986747877,0.5732029584556114,0.6171358646035905,0.5289317494743986,0.4684809531230495,0.8392827259147023,0.9344798418686,0.4067808590363369,0.5218087486385665,0.0017896266227904745,0.054456403543723386,0.9555935629854104,0.9854829100256043,0.7429419937079487,0.849492097146737,0.9490305496803593,0.937513226774328,0.36865706173808377,0.34397779597967215,0.7773054301309938,0.9103123383567443,0.7738816459559801,0.8046739834816096,0.30218681716533324,0.4136688425112758,0.9461031067286818,0.9629922109965083,0.7126712295763764,0.7193442324236403,0.9994593699666999,0.9853666031437155
biomistral_r128,0.18702912845922215,0.21169402653214764,0.8790875541300256,0.9382884625374971,0.7234249818980664,0.6956679378025596,1.0,0.16716667654387396,0.009261529339833818,0.008203072232465525,0.8536398044935346,0.9363346602695495,0.5824279881390844,0.6837762054413408,0.9512799723084494,0.9335460482165626,0.9775421088312146,0.9832932499159783,0.8099474123921614,0.9260735550375518,0.5653992543174955,0.7322189589345829,0.708726478049452,0.7960736963905495,0.9530778690206952,0.9608971379041414,0.7696684471165923,0.7178394572479775,0.8214274403949487,0.8810864515831041,0.6311923077630694,0.692943986999843,0.145255038640967,0.22347868570050655,0.9806804635980353,0.9882706010840329,0.8489108012520152,0.869659120884458,0.9319724667876347,0.9195879377068265,0.6970391532545419,0.6790774457278944,0.8872610823976073,0.9727583500971446,0.8765047383654867,0.8942516986078048,0.6265637823809465,0.7291688950064601,0.9527960900534731,0.9546645659959079,0.8473296065527798,0.847907591561858,0.9190109364127316,0.8774216929227163
biomistral_r128_cal,0.21454984452663461,0.24184082282927266,0.917263145410756,0.964220262066321,0.8020438807077811,0.7840220206291404,0.832833323456126,1.0,0.005871381828624012,0.004966566455689159,0.8946569054848147,0.9634397075465743,0.703261461326611,0.8100614228733194,0.9724626216434499,0.9619242492307162,0.9927254068669802,0.9948930497861261,0.8760024315899338,0.9645194334775987,0.6543535189179641,0.8040630174888435,0.807316618354296,0.8719507489156142,0.9874807939292911,0.9944400265029198,0.8707373545955275,0.8250466393009697,0.8899061169661551,0.9305370923876014,0.7094411086229291,0.7695090131553168,0.17066623390097257,0.29206477651773954,0.9896403079565627,0.9960906125798682,0.9247292066012939,0.9362231238468182,0.9621939685011945,0.9550615601583398,0.8430935796850797,0.815136668364911,0.9405327823298357,0.988025173644444,0.9531013210274286,0.9600317754620855,0.7617980750472751,0.8462826711821204,0.9818892587494098,0.9822102965238774,0.9048875515442693,0.9013461471029075,0.9505817461967535,0.9188775896487059
biomistral_r64,0.9984239520005809,0.9991382750535297,0.994257216232816,0.9964562872954211,0.9974699859861054,0.9976903204508621,0.9907384706601662,0.994128618171376,1.0,0.3277492353754574,0.9962710144302298,0.998716982441448,0.9971373374579185,0.9979744310311246,0.9985147260634575,0.9993262275460283,0.9993561053596363,0.9993493656305543,0.9978673892970451,0.999103996396816,0.9913963466239851,0.994259809936428,0.9979809216382421,0.9982982199204603,0.9972146911369988,0.9979602571481225,0.9980075179449484,0.997425475789388,0.999310154342682,0.9992427787435666,0.9957620130540986,0.9967102464438989,0.9955332838903218,0.9978841443314158,0.9986591237809846,0.9996691339342827,0.998935493167997,0.999181311656987,0.99955627957344,0.9995788189575977,0.9973370080339304,0.9970460228475947,0.9982717752390002,0.9984778107363305,0.9999271424174666,0.9998189604489478,0.9941238068863678,0.9956247344012881,0.9995307380725839,0.999547533903254,0.9986625920677848,0.9981981331643413,0.9991669426543833,0.9989560868117173
biomistral_r64_cal,0.9984713002015776,0.9991458409352243,0.9948388080654202,0.9970382864678565,0.9972136040961341,0.9974734706540873,0.9917969277675345,0.9950334335443108,0.6722507646245426,1.0,0.9960078699691155,0.9986031951485307,0.997555332927039,0.9983939743680655,0.998397260374945,0.9993161511170083,0.9994926279378368,0.9994810902535635,0.9978672377796777,0.9990639891698034,0.9905797650933554,0.9936030926964402,0.9981625747072566,0.998407178340462,0.9973793464647994,0.9981419887110075,0.9982529764099728,0.9976965371019467,0.9992282936636295,0.9991927952424159,0.9948469401295951,0.9959952914156053,0.9950979608812773,0.998078457190648,0.998749338099076,0.9997130427516148,0.9988198578658828,0.9991343383249316,0.9994677795577588,0.9994602281925836,0.9973456358180934,0.996993942006151,0.9983666919962817,0.9985769434540036,0.9999474044142393,0.999863576357227,0.9945275003343899,0.9961791847337527,0.999482467140569,0.9995080209376954,0.9986020970154309,0.9980817994839186,0.9990088909258401,0.9986960049666884
