,albert,albert_cal,biobert,biobert_cal,biomistral_paper,biomistral_paper_cal,biomistral_r128,biomistral_r128_cal,biomistral_r64,biomistral_r64_cal,gemma3_12b_paper,gemma3_12b_paper_cal,gemma3_paper,gemma3_paper_cal,gemma3_r128,gemma3_r128_cal,gemma3_r64,gemma3_r64_cal,gemma4_12b_paper,gemma4_12b_paper_cal,med_llama_paper,med_llama_paper_cal,med_llama_r128,med_llama_r128_cal,med_llama_r64,med_llama_r64_cal,medgemma_paper,medgemma_paper_cal,medgemma_r128,medgemma_r128_cal,medgemma_r64,medgemma_r64_cal,mediphi_4b_paper,mediphi_4b_paper_cal,modernbert,modernbert_cal,phi4_14b_paper,phi4_14b_paper_cal,pubmedbert,pubmedbert_cal,qwen4b_paper,qwen4b_paper_cal,qwen4b_r128,qwen4b_r128_cal,qwen4b_r64,qwen4b_r64_cal,qwen9b_paper,qwen9b_paper_cal,qwen9b_r128,qwen9b_r128_cal,qwen9b_r64,qwen9b_r64_cal,xgb,xgb_cal
albert,1.0,0.016694775265670092,0.9741882951600745,0.9674839801804577,0.9089671499759551,0.8548326834390707,0.7812045782042819,0.713321231583256,0.00011631455804561597,0.00012356992507112086,0.9976066935157393,0.996672696655548,0.9490067239374329,0.9304930487473926,0.9971075852153843,0.995911143070507,0.9904748564239878,0.9875109757163764,0.998727467044802,0.998533982460361,0.8934525625285276,0.8548734956912054,0.9966033794669961,0.994953327248041,0.9802524555033051,0.9752108127514567,0.9628814628553586,0.9479192325435453,0.9962521247937918,0.995077421290669,0.9806324035987726,0.975633374607305,0.8116476299409019,0.7734924119434494,0.9988911038999584,0.9986987114083613,0.9422477909855846,0.9223048644635949,0.9672782041691931,0.9369310886396368,0.9055072253384091,0.8778621716364788,0.9804563953945734,0.975590607532327,0.9827247851812241,0.973985679204365,0.9876791548898608,0.9840019826094838,0.9984395660279664,0.9973781524643909,0.9995462845615011,0.9989495109065469,0.9778821626329651,0.9667668457968703
albert_cal,0.9833052247343299,1.0,0.9796797828505668,0.9743703338237378,0.9291828531434354,0.8842555854223207,0.8133927306500481,0.7525281378159009,9.094675724896639e-05,9.8942023415316e-05,0.9982167576375198,0.997623055268931,0.9589790484372241,0.943597156266488,0.9976041772557016,0.9966124943343353,0.9920070663155753,0.9895394589304982,0.9992306869677969,0.9991476357620382,0.9076225588546687,0.8752125447317035,0.9978408835732671,0.9967400605365924,0.9847009144492403,0.9812199790214282,0.9711698097522973,0.9590538705392875,0.9975539847987148,0.9967319620837235,0.9833135569179574,0.9791395408488377,0.8515375579354716,0.818408554353932,0.9991957077954902,0.9990494135797037,0.9528138043043114,0.936373211624019,0.9767273542090509,0.9540962375177333,0.924234670520018,0.9020922173520596,0.9842402994840402,0.9805192491661179,0.9849407638562125,0.9779191238574741,0.9903508513126837,0.9876410856958657,0.998737539332162,0.9978670076452353,0.9997106323165192,0.9993655668224433,0.982340507523438,0.9733653687191819
biobert,0.025811704839925453,0.020320217149433217,1.0,0.004293180154416154,0.12027691190513234,0.07618628131733662,0.05063635540308187,0.04120225845678904,0.0001871448308069512,0.00012357219491543336,0.6505232294365665,0.5211756872148731,0.35496971769445507,0.23162834778429975,0.9660823425063764,0.9655888520295742,0.8951838324383772,0.8049794234494242,0.6021131006641984,0.5019925529356242,0.2428533343972289,0.19737846203147558,0.3151484081479814,0.18938506045790016,0.19184196495646155,0.15649525100553863,0.4013193481977737,0.2993520015598963,0.8233902238401987,0.754368498217267,0.3670068589618518,0.3356550075305893,0.0452341394369028,0.03889253822177363,0.925894051484283,0.8874212206746205,0.2887383142385074,0.22785584134904535,0.23577419470636418,0.13088458634932376,0.06734862273453579,0.03677406378899628,0.5493504790966914,0.4111744372243209,0.37021742493132526,0.22913654362231084,0.4154440329563083,0.2138249570320765,0.9053049980607547,0.8822140661749478,0.5716040510717795,0.44248234724945634,0.4049936977085613,0.34082802250477773
biobert_cal,0.03251601981954233,0.025629666176262167,0.9957068198455838,1.0,0.16659754541841765,0.10700037523111217,0.06162010216146807,0.04889899687133825,0.00022311524617135703,0.00014950568861027413,0.7338902238928804,0.6354851422809429,0.4871407897904043,0.3401084228675595,0.9728449283198721,0.9728651533794598,0.9238073980120366,0.8580841952342536,0.7015594786948904,0.6113755311851924,0.2828470895756068,0.2311359694966466,0.44448216880211766,0.28628794249663003,0.23908727102348504,0.1959733844082976,0.4911664909994078,0.3765815858595297,0.867535435926151,0.8168700180738457,0.4292833768991219,0.39718285528239394,0.06404031201572724,0.05460089244026656,0.9402395333767884,0.9111931221316006,0.36346640755273674,0.2924507020381012,0.32090604879537143,0.18490932924218173,0.09740589295816138,0.0528282083190309,0.6816129875224531,0.5345984433193747,0.46564554150166404,0.30504083394706893,0.6057180923208734,0.3895699428064402,0.926670385567252,0.9098316377885083,0.6334430008381496,0.5071437047175804,0.46592868828311096,0.3984957094760688
biomistral_paper,0.09103285002404493,0.0708171468565646,0.8797230880948677,0.8334024545815824,1.0,0.020145984065100486,0.2992045455362242,0.23497762562694957,0.00030941032257569834,0.0002578026027851843,0.9762014592478689,0.9531380668633822,0.9368320282145917,0.8747167172326247,0.9991250622934188,0.9985554331567894,0.9875553385484662,0.9760331588760102,0.9288281197165114,0.9077777523709762,0.5117354245216609,0.40741229369274734,0.8152062690145799,0.7379118096082002,0.5548418414380671,0.4979845275656747,0.8969677555184383,0.8233924485830548,0.9754449195149834,0.974737222049306,0.7830790993534977,0.754871913534195,0.004343367148757271,0.0025322788075798908,0.9696146411666997,0.9576878970725337,0.8598864232515797,0.7504748214145678,0.8240035212168125,0.6167127123526772,0.5300751797004766,0.3962942543315173,0.8783843479042156,0.8396504790633034,0.7925910041532764,0.6842734788032184,0.9228373406229298,0.8663991041949608,0.9924936266505474,0.9917387349277712,0.8541657940558527,0.7819770691375243,0.8521566009457053,0.7772358171630284
biomistral_paper_cal,0.1451673165609293,0.11574441457767926,0.9238137186826634,0.8929996247688878,0.9798540159348995,1.0,0.402426037754426,0.32088055650514025,0.0004253144363846051,0.00034598183713896447,0.9805301014398466,0.9667679585733969,0.980300487025833,0.9601907380221003,0.9993997402724946,0.9991819484554861,0.9937918521151987,0.98811732363858,0.9488781102652502,0.9348133606805377,0.6236059241777406,0.5270924211576204,0.8698657016988627,0.8159844054899983,0.6468669186230518,0.5983629204212889,0.9271383399020319,0.883081037699431,0.9813538515550051,0.9815226773259379,0.8449420178743104,0.8266578480552403,0.026671653953197705,0.006470576301386921,0.9767205639468112,0.9681641422484721,0.957218877872877,0.9164072745909243,0.888121911749959,0.7664183918318604,0.6943772988831035,0.5830270142114247,0.910883358400708,0.8838385327362469,0.8606596440200405,0.781429771936027,0.9538325894555482,0.9209178079891729,0.9943410827785182,0.9943115835024141,0.8814786651365745,0.8274245988747706,0.9069822066931754,0.8624365472972761
biomistral_r128,0.2187954217957181,0.18660726934995187,0.9493636445969181,0.9383798978385319,0.7007954544637758,0.597573962245574,1.0,0.02162412125319524,0.0019685788927974457,0.0016259970918969247,0.9508570840323682,0.9350195556988883,0.888060778590457,0.8530464415279158,0.987182262817321,0.9861651280758137,0.9745367187607261,0.9621274330516583,0.9239331265301955,0.9076383383424087,0.7117130411817478,0.6229613870804769,0.8945863974021195,0.8660990216651575,0.7836473898110986,0.7316051477970005,0.9078932848515243,0.8787392180363074,0.9384254399096681,0.9291275317330272,0.8788837647623883,0.8784678448860446,0.4787838234415218,0.431103679700541,0.9595163988534372,0.9505377877150487,0.8123175926762899,0.7648248227207671,0.8339968714913464,0.7458062548474578,0.8535189508185639,0.7547021255057826,0.9871360608081572,0.9775095980568603,0.9053476953478515,0.8419465236603759,0.9592631391997435,0.9405547649726288,0.9732227994656856,0.9695712278501024,0.8934033965740507,0.8440290531012576,0.8120803284286686,0.77385896074418
biomistral_r128_cal,0.286678768416744,0.2474718621840991,0.958797741543211,0.9511010031286617,0.7650223743730504,0.6791194434948598,0.9783758787468048,1.0,0.0024931476966987276,0.0020664290338945346,0.9603475855803852,0.9485469664737907,0.9096703128415303,0.8834540459289372,0.9887960490312031,0.9879976358335065,0.9795829877785069,0.9705001442540512,0.9386970134457436,0.9260729491805625,0.788281207964463,0.711626810009498,0.9180694045535285,0.898504038602243,0.8427659209876069,0.8036974445582543,0.9222028313288962,0.9010522808938479,0.9469456493246493,0.9396880601151718,0.9122394617117364,0.913996096236965,0.5747671213313934,0.5299481533935175,0.965805268420461,0.9588627392466225,0.8538816407330538,0.8157951196365089,0.8649977519112675,0.7957426358242266,0.8951635013139365,0.8320144624963263,0.9871409081267737,0.9790726060882259,0.9359767883604161,0.8910475945133456,0.9683929657322585,0.9554113185229769,0.977855472651525,0.9751085350983255,0.912858623785454,0.8731100845712372,0.847761090926197,0.8169533208503408
biomistral_r64,0.9998836854419544,0.999909053242751,0.999812855169193,0.9997768847538286,0.9996905896774243,0.9995746855636154,0.9980314211072026,0.9975068523033013,1.0,0.05270422810003239,0.999941822707615,0.9999500667102241,0.9997066081595416,0.9996138036992035,0.9999239352921259,0.999908772464529,0.999833825698568,0.9998103112781469,0.9999870729432834,0.9999868587140097,0.9983094520497531,0.9981141164546491,0.9999686596996283,0.9999534067704502,0.9996738773902768,0.9996700978322414,0.9997050173348715,0.9995972241213211,0.9999954112997319,0.9999919737762166,0.9995125313986378,0.9994500948909234,0.9996226719264365,0.999539744743921,0.9999933132566265,0.999990729779093,0.9996037252935371,0.9995286674845664,0.9999016830508385,0.9998610628733948,0.9993895593017615,0.999366556422528,0.9996752181719032,0.9996522840945837,0.9996875847189678,0.9996738259095915,0.9998552439063518,0.9998513448738219,0.9999562395830878,0.9999417413203805,0.9999521763404705,0.9999489325863538,0.9997979967845383,0.9997306336508193
biomistral_r64_cal,0.9998764300749289,0.9999010579765847,0.9998764278050846,0.9998504943113897,0.9997421973972148,0.999654018162861,0.9983740029081031,0.9979335709661055,0.9472957718999676,1.0,0.9999489370171135,0.9999597234192035,0.9997888016329933,0.9997183816319956,0.9999402654765109,0.9999309068979749,0.9998775857313417,0.9998599099159684,0.9999906573087439,0.9999900185139463,0.9984079423798435,0.9982189736655976,0.9999779824241819,0.9999658360618612,0.9996903248828527,0.9996858567861711,0.9997394726738573,0.9996429296395482,0.9999974356407916,0.9999950357900459,0.9995242416734439,0.9994722635547771,0.9996927786347968,0.9996250902649162,0.9999963252549425,0.9999946027509415,0.9996783698263004,0.9996175821790904,0.9999162662373318,0.9998833394976684,0.9995095592766569,0.9994980998683549,0.9997355238000167,0.9997122904345729,0.9997560225769537,0.9997472879703353,0.9998940824094554,0.9998936493821382,0.9999648632292328,0.999954196746661,0.999940097519731,0.9999344824249413,0.9997966732325477,0.9997327132855813
