,albert,albert_cal,biobert,biobert_cal,biomistral_paper,biomistral_paper_cal,biomistral_r128,biomistral_r128_cal,biomistral_r64,biomistral_r64_cal,gemma3_12b_paper,gemma3_12b_paper_cal,gemma3_paper,gemma3_paper_cal,gemma3_r128,gemma3_r128_cal,gemma3_r64,gemma3_r64_cal,gemma4_12b_paper,gemma4_12b_paper_cal,gemma4_31b_paper,gemma4_31b_paper_cal,med_llama_paper,med_llama_paper_cal,med_llama_r128,med_llama_r128_cal,med_llama_r64,med_llama_r64_cal,medgemma_paper,medgemma_paper_cal,medgemma_r128,medgemma_r128_cal,medgemma_r64,medgemma_r64_cal,mediphi_4b_paper,mediphi_4b_paper_cal,modernbert,modernbert_cal,phi4_14b_paper,phi4_14b_paper_cal,pubmedbert,pubmedbert_cal,qwen4b_paper,qwen4b_paper_cal,qwen4b_r128,qwen4b_r128_cal,qwen4b_r64,qwen4b_r64_cal,qwen9b_paper,qwen9b_paper_cal,qwen9b_r128,qwen9b_r128_cal,qwen9b_r64,qwen9b_r64_cal,xgb,xgb_cal
albert,1.0,0.999872814644916,0.9468126359550436,0.9999282078630588,0.7608638939544293,0.9996048022486635,0.5599304712627897,0.9999117053728055,0.504804545202839,0.9988622795775693,0.10427119357015191,0.9997889080896986,0.9469598299531883,0.9997731271720264,0.6732459458622754,0.9999712271134987,0.7902593188223527,0.9996599552417051,0.3506356608633323,0.999932162709873,0.6143930955481349,0.999663150815053,0.5044744253225019,0.9999717502629496,0.7229395630643662,0.9999333891113272,0.8942847970829237,0.9993621859970909,0.3726623541538816,0.9998655559144062,0.6487111620404221,0.9995597147855918,0.9927275499931335,0.9999269240968951,0.9309177270908091,0.9993747308969737,0.9895985188244607,0.9998119521629402,0.7903240702216707,0.9998492718404056,0.800673821793539,0.9995036825311492,0.4070640147187887,0.9999209013708439,0.8165573642431904,0.9998917288273248,0.7990036911469058,0.9992310101918903,0.614639988724153,0.9999649809589303,0.9713653541688795,0.9998477359981293,0.7366876658070912,0.9996744172802008,0.9706113968587363,0.9998059683079058
albert_cal,0.00012718535508404738,1.0,0.003817525881239403,0.39285832917724306,0.027749058725277442,0.3798018385057571,0.0023534009977695947,0.057892778592091965,0.013395215376982628,0.036427198922206805,0.001953495430462193,0.5309348533745264,0.0019739000677145846,0.47188119528813877,0.0061252495920582906,0.32967089248179504,0.005014551726882255,0.1157437725358138,0.00016456039705747827,0.3892792942768415,0.006016284175938136,0.06432078435815036,0.0008177331447293268,0.1481641596718546,0.003992079210971333,0.2708015819102554,0.006325885764167372,0.10723954269112013,0.0005703236252848631,0.04182495287835142,0.007492600603298816,0.05199177275543998,0.011359629762919488,0.02896986456094408,0.0015720483483954162,0.142502163871279,0.0005453613946047042,0.011493389028450318,0.004202317067361183,0.46914178048978783,0.007096133215646061,0.14577156578911699,0.0005581243597546637,0.10227782530436647,0.011354009468075299,0.400045332228645,0.012102790850240797,0.09510312771642904,6.189011662671717e-05,0.8524216651759536,0.0007418862003788496,0.4263677340632014,0.017990088211327637,0.20546219625084428,0.0389385488613847,0.8398769355225197
biobert,0.05318736404495639,0.9961824741187606,1.0,0.9960524963072068,0.41399323555160095,0.9814824150894013,0.11292587073115101,0.9931829593186309,0.17976646447951272,0.9983899790423028,0.061371844769492645,0.994805711388683,0.1924415190925145,0.997127716804614,0.23736822961381487,0.9936552032220406,0.3216822852791732,0.9849861858101967,0.07989061393797714,0.9958250458548212,0.2481447063342198,0.9906167293918385,0.16237529882165158,0.9909021891113475,0.21688185810591265,0.9969561682893057,0.5109432038544102,0.9965617077038821,0.08076329533352489,0.9806434193517619,0.24867855761999313,0.9939961808788371,0.7093678955207585,0.984351709290353,0.23919002430495973,0.9951219935409651,0.29509088841817366,0.9888483055204714,0.2803348007479137,0.9977943697717282,0.2822464814802643,0.9979793841482116,0.024158472359324,0.9952663073599712,0.3919710634887136,0.9978520748994909,0.2990705161995879,0.9904841839295722,0.047930690854155245,0.9988138581160962,0.47920901032941776,0.9925732508617688,0.37786640834184126,0.9915646533020886,0.9391846281571843,0.9988398637297968
biobert_cal,7.179213694119557e-05,0.6071416708227569,0.003947503692793175,1.0,0.0348502541509349,0.42884077489114336,0.0008169850034287496,0.26706482298137035,0.015884082271825917,0.026356147063053115,0.0018562893315927642,0.6011612640922095,0.00114582855530021,0.5393634059527437,0.00408570148297982,0.41940712080952613,0.005766687111284474,0.2164068788778315,0.0006631562907953858,0.5528978142858995,0.011249300386568128,0.09476495378939953,0.0017985711634573853,0.06115314544163264,0.008129311428302421,0.4273022652165551,0.008807555292780544,0.1694799667658371,0.0013599162026198819,0.03070512974941142,0.0076184856414382995,0.13596293654507718,0.01459784655021279,0.06136727369000039,0.001443683088223846,0.3440136408330996,0.0001450949901341536,0.10891664948922875,0.006487270768716802,0.5655999945329467,0.012846707617357067,0.23689937691120155,0.0014646288288513443,0.23890441633384907,0.009812965534299889,0.5476678908811674,0.017403865984250033,0.23092093218696153,0.00025390704491079497,0.881161814806063,0.00036998385330233585,0.5332857706238852,0.02535828718763844,0.36763345833451033,0.04966420574563257,0.892468979005428
biomistral_paper,0.23913610604557067,0.9722509412747226,0.586006764448399,0.9651497458490651,1.0,0.98780586945782,0.30661679862467506,0.9720147737709912,0.23189429547537643,0.8999323920893573,0.05100674460714305,0.9724853688694781,0.5356442200283891,0.9737528297290262,0.3804278733545785,0.9822084100752274,0.3614531123325009,0.9703758149796844,0.16543765382498077,0.9734049996059715,0.2574155598906607,0.9578766725764396,0.1968880983843615,0.9577025053510119,0.36338393420143933,0.9713529267176928,0.584249310461613,0.9467290935794682,0.13782746720730654,0.9577066810062616,0.37695866628549446,0.9549020653522323,0.831082575955059,0.9686686708922821,0.3908111516775725,0.9621454696401714,0.4882348556864944,0.9672463651870402,0.37153129228750426,0.9673204902499175,0.48548430171493995,0.951291518970246,0.2528522222281274,0.9685228635881473,0.5160130863714167,0.9629125903266751,0.49054653446543184,0.959329953421088,0.26029211699870347,0.9754729265926773,0.6006049412524004,0.9688300718766152,0.5081027401913698,0.9674425172131367,0.7649060682880795,0.9665078169843012
biomistral_paper_cal,0.0003951977513364513,0.6201981614942429,0.01851758491059874,0.5711592251088566,0.012194130542179993,1.0,0.004481539293513359,0.4837940411493358,0.010732409073705207,0.2000908295790661,0.000619239224652457,0.604020317932558,0.011425328022694359,0.5931173268426384,0.005126084986999846,0.5313441105839699,0.0027938123515599544,0.39172007115504026,0.00013113316383317475,0.5949195360058521,0.00670455548222626,0.401191524741322,0.0015705053898983357,0.3465460105232109,0.0020900390538785008,0.5532223668905327,0.03738881884805545,0.38552539315667844,0.000524509824340047,0.21994400053366925,0.003943513357634654,0.36401339209953454,0.0009463511659546509,0.20391710023558407,0.0018927568773806636,0.4780188721334424,0.003223029029171043,0.3186218957446505,6.58287897209453e-05,0.587696012810038,0.009906030011417766,0.42746970589316047,0.002317712640370173,0.4620787736694787,0.03909205415693795,0.5769334380446584,0.017453008310038265,0.4190288731795826,0.00028846241753310853,0.7421640240999807,0.005812570833732766,0.5892277637834109,0.048758996225943374,0.5200292659463277,0.060300345237864095,0.7289876902336831
biomistral_r128,0.4400695287372103,0.9976465990022304,0.887074129268849,0.9991830149965713,0.6933832013753249,0.9955184607064866,1.0,0.9976717993440686,0.4812460364512279,0.9960175582611775,0.15213854314270792,0.997769929926939,0.9025365056063801,0.9960537454452552,0.6646280146305201,0.9972695479791172,0.7046702024574516,0.9966922068662238,0.38545135217854654,0.9981255388177885,0.558653725383625,0.9975723720183969,0.47493282871945075,0.9996815657566201,0.6221329888506683,0.9975929183370834,0.8269930763964843,0.9954530044606914,0.40426527590595907,0.9980230389389666,0.6089324670136632,0.995475359565376,0.949164477391869,0.9973081179898999,0.7715507951542407,0.9943374883690247,0.9258313627005641,0.9965152407753555,0.6774844358491594,0.9978168012901882,0.7005700096737295,0.9957489856994957,0.4133449734335919,0.9976485663515845,0.7833299216736102,0.9986914952710375,0.7067028181543383,0.9945217410050343,0.5057094293317008,0.9987813006435609,0.9301788865618805,0.9988294279901871,0.6856070670136539,0.9971825851912283,0.930051049202352,0.998574130175231
biomistral_r128_cal,8.829462719450731e-05,0.942107221407908,0.006817040681369124,0.7329351770186296,0.027985226229008786,0.5162059588506642,0.0023282006559314228,1.0,0.014100459173425395,0.08829012220304566,0.001611187834206329,0.7906153887051846,0.0033860315136218233,0.7273772679385304,0.0070793127099428865,0.57249203116252,0.00396032020916981,0.28458256014786576,0.00019606922268966542,0.9514292927165517,0.006390758200892521,0.2572187382197799,0.0006872488615533578,0.2533122602946454,0.005205347663319926,0.6432184076920473,0.010541112301464373,0.26276000165670177,0.0005018094154299879,0.042145984796247316,0.009452999058476741,0.1727717151016036,0.012006764141499038,0.025225257912711796,0.0011034890369838735,0.4761022316455372,0.00032778207884331945,0.02573518973222466,0.0046017958530945036,0.7717068685171045,0.010716978959006584,0.3565744812768661,0.0011525491297192936,0.39400299956641827,0.012224526772155797,0.7426350162446577,0.015815650576326612,0.2975194685088667,9.411813507220756e-05,0.9455675335719367,0.0004929014572656598,0.7376815286172516,0.027303826458979774,0.6027670594946204,0.05815721206344726,0.8977387844126589
biomistral_r64,0.495195454797161,0.9866047846230174,0.8202335355204873,0.9841159177281741,0.7681057045246236,0.9892675909262948,0.5187539635487721,0.9858995408265746,1.0,0.9650077993037535,0.16945462245417064,0.9895822684492417,0.7671669975015974,0.9920698997059018,0.5800341709078034,0.993373576123362,0.6811933894896463,0.9787273731618812,0.42910832358499906,0.9883903736589025,0.6003050908189365,0.976117429248691,0.4986897420665226,0.9820445339553475,0.6872859582542692,0.9879392110554305,0.7969639710436286,0.9825479508341304,0.41288112334603677,0.9800342645055723,0.5775454005654361,0.9831947257041919,0.9521393892742238,0.982170523231232,0.7398354367121371,0.9828314886213776,0.7512592523917233,0.9813921876001704,0.6841452281870438,0.9888788758153577,0.755051924951011,0.9846529375793921,0.44435777181897396,0.9879786599589706,0.73046991575769,0.9848001738385375,0.8412186526323598,0.9798367836442472,0.5291654278328051,0.99226384405902,0.7819827342537423,0.9812152859982773,0.6692606404841772,0.9797804183615201,0.940120871343784,0.985473514373103
biomistral_r64_cal,0.0011377204224306547,0.9635728010777932,0.0016100209576972446,0.9736438529369469,0.10006760791064273,0.7999091704209339,0.003982441738822451,0.9117098777969543,0.034992200696246534,1.0,0.007684600303419886,0.9427616616285136,0.00019999269107728868,0.9403048399093759,0.016394436847761762,0.8820928161039809,0.036181828898810164,0.8312979748182765,0.0041660296697063615,0.9554945555249408,0.03589474816393334,0.8884967656637849,0.012100264700908525,0.8475869836007094,0.021366883342637588,0.9476240298320089,0.011270165102439167,0.8968199289927823,0.006279780554726333,0.6651033378115601,0.02361841896209349,0.8561891963857424,0.07954538623227336,0.7368222223140439,0.011621073358587086,0.9156858364039394,0.004669550669611167,0.823206195478331,0.02690955461236033,0.974108156983566,0.023112328489122147,0.9401959679142818,0.0017273901913303913,0.9199395782876493,0.03242102914767997,0.9895798780135215,0.03160740301151721,0.8599924145154559,0.0012987064764432565,0.9900833730894489,0.014307741751251934,0.9429389866046346,0.0388910968153936,0.9173758780309273,0.10314945190462788,0.9977439374470106
