,albert,albert_cal,biobert,biobert_cal,biomistral_paper,biomistral_paper_cal,biomistral_r128,biomistral_r128_cal,biomistral_r64,biomistral_r64_cal,gemma3_12b_paper,gemma3_12b_paper_cal,gemma3_paper,gemma3_paper_cal,gemma3_r128,gemma3_r128_cal,gemma3_r64,gemma3_r64_cal,gemma4_12b_paper,gemma4_12b_paper_cal,med_llama_paper,med_llama_paper_cal,med_llama_r128,med_llama_r128_cal,med_llama_r64,med_llama_r64_cal,medgemma_paper,medgemma_paper_cal,medgemma_r128,medgemma_r128_cal,medgemma_r64,medgemma_r64_cal,mediphi_4b_paper,mediphi_4b_paper_cal,modernbert,modernbert_cal,phi4_14b_paper,phi4_14b_paper_cal,pubmedbert,pubmedbert_cal,qwen4b_paper,qwen4b_paper_cal,qwen4b_r128,qwen4b_r128_cal,qwen4b_r64,qwen4b_r64_cal,qwen9b_paper,qwen9b_paper_cal,qwen9b_r128,qwen9b_r128_cal,qwen9b_r64,qwen9b_r64_cal,xgb,xgb_cal
albert,1.0,0.4459204167125004,0.9731355443261834,0.9669907554974044,0.9501702604585129,0.8945206938304145,0.8376341854161454,0.7103131048755686,0.0013828702003916282,0.0010961673423232066,0.9800317635634159,0.9963883608783612,0.9690771309831353,0.9729569427515893,0.985731096216264,0.9853564202061968,0.99240347127084,0.9938475832191441,0.9963412518661049,0.9989415204379432,0.8794022496209616,0.9216246438575257,0.9922428773009667,0.9933911070462078,0.9787572267483828,0.9704676904867362,0.9856066502134264,0.9843377480290012,0.9896421067591611,0.9893073591922944,0.9116741356823378,0.9238447007835493,0.46952354298710897,0.7122723762364054,0.9969534863670346,0.9992359276264925,0.9624643671843689,0.9630462526567456,0.9986326050063915,0.9983520213280851,0.9794153951216051,0.937187511980303,0.9895515853984943,0.9904361627293663,0.9883791187209379,0.9974364984365465,0.9019133977742416,0.9012276866146722,0.9958161757060827,0.9963154138994454,0.9974328050270151,0.9966103111696877,0.9747959614853784,0.9492609994028484
albert_cal,0.5540795832874996,1.0,0.9696966642824444,0.9631729666599432,0.9546774998132306,0.898724899837964,0.8166353903163519,0.6920215413100002,0.0011518718343564993,0.0010860897010953607,0.9805704842810355,0.9962841025358744,0.970444671635087,0.9721165946207504,0.9849857401093913,0.9865619281718011,0.9908581567714947,0.9923253372300765,0.9966661703943658,0.9986812696330646,0.8805937706564618,0.9193585716269923,0.9932662095505438,0.9958854824908577,0.9676447972880532,0.9578600387326798,0.9829213865266256,0.9828710567426804,0.9928576486156686,0.9921406990261358,0.9179710611338804,0.9298243296227895,0.4787866347541726,0.7047561168034722,0.9964178396280939,0.9990803314088488,0.9580493151499309,0.9593057876651541,0.999193346102778,0.9988338491223379,0.9694813036391908,0.9268874676412305,0.9880445669851787,0.9882954841590316,0.9861718669133976,0.9961817322450927,0.8931510055895346,0.8905417896159511,0.9949110819307442,0.9957417988908311,0.9973475549679363,0.9972797358284341,0.9765163832793491,0.9524561190202099
biobert,0.026864455673816567,0.030303335717555613,1.0,0.6335392088370578,0.38744148132813905,0.24927809030566273,0.07526879890688565,0.05221813937376241,0.0038374402588767786,0.0037360415427356575,0.5561674201315816,0.7626616126543099,0.07103601115258673,0.09746770853420239,0.7455360954718409,0.7957363683024556,0.8544320148482443,0.8843561048287418,0.4982228926283657,0.5863247743428202,0.2186476024053391,0.28481475523005484,0.17456975134590325,0.2750456324282897,0.2751882911576018,0.2375252417427275,0.07960419427647414,0.075832295530736,0.5519581779029971,0.6103245363870918,0.2919918792430878,0.2928729713548356,0.032029505480321796,0.04651934870428931,0.9792251557309902,0.9649775655435766,0.43536909038339344,0.4662894547605466,0.8227385982302854,0.7618552695747616,0.08649132794676895,0.07472337575800458,0.5584807207944524,0.7664935404789772,0.45764470810844304,0.5084787890020604,0.012648411335908771,0.007100853134173857,0.7474055541099418,0.7403686737201285,0.5333513190638819,0.5440683913449429,0.6958358665643751,0.5991233568724836
biobert_cal,0.03300924450259557,0.03682703334005677,0.36646079116294217,1.0,0.3421118495563884,0.2012847324313367,0.05530394189470078,0.04175299180628356,0.0034806053538793957,0.003151867059425717,0.49066155767042696,0.651096534607257,0.060399271347104655,0.06436789766758666,0.6951880014502407,0.7875350681998882,0.8808934982210398,0.911868783928552,0.4432526791321614,0.5042087448864778,0.2214747346886905,0.2795112059425735,0.202762518814237,0.272828379407433,0.25448675919987074,0.2044568988726313,0.11165399583122748,0.08642128630979673,0.48860388418357537,0.5428521578901553,0.285422413771233,0.28457466897250994,0.026056230070396147,0.03465789380210915,0.9586657551978364,0.9557023679908784,0.37892677823195564,0.4065866090146706,0.7507743633361887,0.6866850771295869,0.11642832660154467,0.09003995630591677,0.4432332952997826,0.6378092348640243,0.40697765473038405,0.446027945664657,0.013614822042559038,0.005691397736564019,0.6877159107308413,0.6803659036879615,0.48295860566600457,0.48796854288660674,0.6599570639823419,0.5643451431151103
biomistral_paper,0.04982973954148706,0.04532250018676942,0.612558518671861,0.6578881504436116,1.0,0.06690730459452576,0.23066513564187596,0.12844323599317486,0.0011153721627781277,0.0027345379867881325,0.6817511901415335,0.8513355866048288,0.2329474929726869,0.2873370240366564,0.9740516310381868,0.9783508525242713,0.9147477418316169,0.9182080244281227,0.6205738185866656,0.735323986444216,0.18354278612403307,0.3334944784537621,0.3450456059553211,0.43860914148870656,0.4298450363419132,0.41316552766342207,0.3482827474565451,0.2863142906275091,0.8138063010916006,0.8891818520513827,0.26467746022242866,0.258849512248466,0.004485606230668848,0.03404495655836459,0.9486584589164113,0.9817593229802868,0.5693551707835488,0.6170888558592154,0.9547140284719488,0.9250191401929146,0.2271518495671545,0.14297403424947885,0.7066883351023203,0.8144310750742239,0.5687605406742509,0.6382794624942509,0.18343450320184618,0.18863998625892553,0.9259114341458526,0.9301305937958977,0.6195183788848061,0.6423783202502287,0.9846266549333319,0.8643214820483427
biomistral_paper_cal,0.10547930616958545,0.101275100162036,0.7507219096943373,0.7987152675686633,0.9330926954054742,1.0,0.3418409033745149,0.19928299723658194,0.0016171811528858937,0.0036116107808703557,0.7823606440734238,0.8939022493993081,0.41162547107834124,0.4820160190689248,0.9952125556004339,0.9981382081579085,0.9719941964113664,0.971275387959995,0.7415512375077804,0.8455714689326219,0.4515812377067977,0.5743476693207116,0.5126118471194113,0.6042656289654393,0.6061040718132586,0.595097646785292,0.552913110934474,0.48934439407240293,0.9035311903277311,0.9391938068773189,0.5550795012483283,0.5645629418465836,0.007144690978908241,0.06696920224379121,0.9731617845812992,0.9902044434771696,0.8283954970628808,0.8689850735240053,0.9587154730671454,0.9401950212886361,0.41882493029397705,0.34121283990121387,0.854357486130434,0.9139888428895865,0.7423133663149224,0.7980700900643751,0.35123510462228025,0.3375813625911235,0.9689021053413467,0.9711179128259043,0.7191411323534129,0.7426865204656605,0.9981051585160423,0.957195883921575
biomistral_r128,0.16236581458385457,0.1833646096836481,0.9247312010931144,0.9446960581052992,0.769334864358124,0.6581590966254851,1.0,0.06072946757457842,0.006316319532184256,0.005291087101517711,0.860317267851513,0.9361819903762525,0.6211770468755913,0.6970499036027442,0.9490479942360956,0.9342166787969264,0.9844504427610369,0.9891846776064873,0.8595849299484642,0.9184732342883238,0.632615368773072,0.7212271205774567,0.6897538248329752,0.7501161363842799,0.9218610900143386,0.9629161167741486,0.7790289629338132,0.7107942807545018,0.8491837262193449,0.8697570247166421,0.6670395003342278,0.6750899704881761,0.13591317243249734,0.20304440617172914,0.9870078741898369,0.9899881175176839,0.8677240709806242,0.8780188369389725,0.938848222873185,0.9293429144516501,0.6714440777080444,0.6136698076314404,0.9324857714009116,0.9713638496765861,0.8479069002000844,0.906091437449962,0.617548980068009,0.5792074727249629,0.9634509891030408,0.9573973673521818,0.8499751144303507,0.8496848090927345,0.8979432991138453,0.8345483732845265
biomistral_r128_cal,0.28968689512443135,0.30797845868999985,0.9477818606262376,0.9582470081937164,0.8715567640068251,0.8007170027634181,0.9392705324254216,1.0,0.005035430086659631,0.003987112306500062,0.9225525188596653,0.969920913296632,0.8014713651438805,0.8528912465664684,0.9763272408630749,0.9647813128621314,0.9936978666636888,0.9950559202511629,0.9316626111919518,0.9699422680048516,0.7804141687562127,0.8534897828630028,0.837911745785024,0.8654258198008422,0.9905741452398491,0.9956250722348831,0.9008641643591639,0.8657312327949002,0.9207966630832503,0.9308665824321596,0.7949018971525065,0.8063282362757952,0.2645565993335789,0.43995781325559546,0.9914965153681758,0.9955707872378973,0.958065663050832,0.958506319620845,0.97164691260166,0.9695797507438114,0.8868094693605072,0.8511743731694298,0.9662375564571791,0.9842678562892087,0.9563197540105562,0.9763129757429829,0.8222050570385087,0.8099083200961137,0.9887610429607638,0.9859383122281224,0.9313728146994876,0.9260628049831469,0.9462490115472111,0.9053895777020547
biomistral_r64,0.9986171297996084,0.9988481281656435,0.9961625597411232,0.9965193946461206,0.9988846278372219,0.9983828188471141,0.9936836804678157,0.9949645699133404,1.0,0.5882514749199512,0.9975582599288149,0.9989841688590086,0.9981785844450156,0.9982920846251487,0.999222828318164,0.9995726392401887,0.9994601297577312,0.9993493134015745,0.9986253153648399,0.9994269654154296,0.996146289570749,0.9969338616322343,0.9981180625708652,0.9985317974081073,0.9981340720088656,0.9978133638873976,0.9980055441647563,0.9982500895838693,0.9995125092785287,0.9994570604679057,0.9975372245981364,0.9980849484323139,0.9969900237311705,0.9986804891132836,0.9991062081269122,0.999721534231964,0.9992932037471717,0.999328330487258,0.999747437168422,0.9997385355286963,0.9980626458103067,0.9976903836773547,0.9984928034453676,0.9985700993306954,0.9999370325084078,0.9998281533920431,0.9957782760084564,0.9957033511237137,0.9996577047728653,0.9997010485157254,0.9989461085112142,0.9988730141843737,0.9994571426724241,0.999270418568675
biomistral_r64_cal,0.9989038326576768,0.9989139102989046,0.9962639584572643,0.9968481329405743,0.9972654620132119,0.9963883892191296,0.9947089128984823,0.9960128876934999,0.4117485250800488,1.0,0.9964286804665273,0.9985027944885149,0.9983579193275786,0.9984782105854637,0.9984864048429194,0.9990471451667051,0.9994409638582151,0.9993413252078507,0.9984089265160587,0.9992043439670868,0.992871530676792,0.9945751877740326,0.9982135772606682,0.9985510762241745,0.9981125614098847,0.9979043542141962,0.998039992808988,0.9983080487724986,0.9989337757007113,0.9988521456104235,0.9946121871564627,0.9955694146392279,0.993961276415153,0.9980015519365828,0.9990020024031645,0.9996510676977802,0.9986342325690231,0.9987592036943586,0.9994352017749082,0.9993917328252314,0.9978060170197538,0.9968049174002861,0.9981095858284652,0.9982479385040949,0.9999254700683851,0.9998725476513948,0.9953704233153,0.9957892999609667,0.9993573590671415,0.9994210823101726,0.9991061396123758,0.9987273647347051,0.9983798706547269,0.9975655545595814
