,albert,albert_cal,biobert,biobert_cal,biomistral_paper,biomistral_paper_cal,biomistral_r128,biomistral_r128_cal,biomistral_r64,biomistral_r64_cal,gemma3_12b_paper,gemma3_12b_paper_cal,gemma3_paper,gemma3_paper_cal,gemma3_r128,gemma3_r128_cal,gemma3_r64,gemma3_r64_cal,gemma4_12b_paper,gemma4_12b_paper_cal,med_llama_paper,med_llama_paper_cal,med_llama_r128,med_llama_r128_cal,med_llama_r64,med_llama_r64_cal,medgemma_paper,medgemma_paper_cal,medgemma_r128,medgemma_r128_cal,medgemma_r64,medgemma_r64_cal,mediphi_4b_paper,mediphi_4b_paper_cal,modernbert,modernbert_cal,phi4_14b_paper,phi4_14b_paper_cal,pubmedbert,pubmedbert_cal,qwen4b_paper,qwen4b_paper_cal,qwen4b_r128,qwen4b_r128_cal,qwen4b_r64,qwen4b_r64_cal,qwen9b_paper,qwen9b_paper_cal,qwen9b_r128,qwen9b_r128_cal,qwen9b_r64,qwen9b_r64_cal,xgb,xgb_cal
albert,1.0,0.5878586778885397,0.23541581192904515,0.896191980993342,0.390958814273792,0.9670212691363582,0.5900344428752724,0.8773193425231571,0.6942860898032334,0.33988241134162545,0.7036009201906497,0.930692191925591,0.4249336331741166,0.6690557597243021,0.8062611497758094,0.9494730309067565,0.8484247412721757,0.9184920096068896,0.4686795728353058,0.9709925435037765,0.2827156376673764,0.7317676741424005,0.8054908883645058,0.9716421877744844,0.7998979136423338,0.9899339738896095,0.8210045242228797,0.827841322349914,0.42727061227764485,0.9444718271457281,0.34664052397309253,0.8543859588266092,0.20902326739767374,0.5887296758756073,0.7991471081572256,0.9373271687935252,0.8938066818594074,0.9559410114789657,0.9011882560555512,0.8962825785238313,0.7551622921011595,0.9275716720891789,0.5123949484494985,0.9419480854111214,0.9086684893216052,0.8609068293405111,0.7508632400472671,0.9715114727256443,0.8126843297530691,0.9709624074484351,0.8480215709570339,0.9050451913416749,0.9878714586570552,0.9751096120229534
albert_cal,0.41214132211146026,1.0,0.23911685728332066,0.8406606317124513,0.33483349937059304,0.957806628220571,0.525341774980286,0.8627999900742568,0.6623491228387577,0.22383620828380135,0.681489681091561,0.8731835248337517,0.3931635915193874,0.6413265913404291,0.6809763114770477,0.9514775696320793,0.9103118557064396,0.9326759329966832,0.43295249454461004,0.9104938829449354,0.2792375690560245,0.6354844689577219,0.795239238914742,0.9646324763751383,0.756936466284071,0.9639718294109713,0.7995710318864917,0.7559851588087516,0.26528836935286737,0.9411289631965918,0.2657262135320122,0.7868910382637982,0.09692617906184076,0.544405399129899,0.6754538311825762,0.9470274805256631,0.6806638638232777,0.9513169534486365,0.851659550404024,0.8829195486354435,0.7157368808850323,0.8515753970501373,0.46896487573296985,0.9829561685209793,0.8995888718197581,0.8384382474914226,0.6302132999471118,0.9671709895118188,0.6565189472827694,0.9114605152566184,0.7858217177659289,0.7935218098406003,0.9887848649413048,0.9767282062596095
biobert,0.7645841880709549,0.7608831427166793,1.0,0.9902818568843942,0.5801718419939549,0.9786639730743936,0.7632014503566072,0.9838003528345679,0.9267026185331726,0.6144487882988083,0.884751862475722,0.995675549060335,0.8357457866866572,0.9347739374658116,0.8826946037659162,0.9865210548452348,0.9452333831440654,0.9862970478020531,0.7084400948962062,0.9987688026713745,0.4040788073817315,0.886409979467121,0.9527505427387843,0.9984745760587443,0.9589281861066007,0.9967196954157129,0.9501582234135953,0.9839702231786742,0.749332511285822,0.9968452423344638,0.6043635890967479,0.9709702821817654,0.40947896617121526,0.9225488501483204,0.9458105192286531,0.9955850313122401,0.8500478520496502,0.9247849252727479,0.9899611091846049,0.9506227100145116,0.8461394033735936,0.9949620137147255,0.7310178191414104,0.9772860490842892,0.9926196888000992,0.9653560889979024,0.8878677369536052,0.9971863960881366,0.9468867628439197,0.9790164939323638,0.9302996753952159,0.9931916603423981,0.9976432270997534,0.998676583811291
biobert_cal,0.10380801900665804,0.1593393682875487,0.009718143115605815,1.0,0.1426701704681479,0.689673046551831,0.263415133618645,0.6649807997155606,0.21599503483168225,0.09414893796496693,0.4555826738003519,0.7040457452756917,0.04290195855061363,0.11406526587825394,0.3664151953994458,0.7786033455117006,0.45766377959962923,0.8006314647047801,0.09685585917967732,0.8829772128296305,0.08691927976423841,0.31886106433586037,0.5348213666443336,0.8929329307000489,0.4342791853576409,0.978693120206423,0.4466248194693838,0.45842755962428305,0.04965769446530188,0.7686064416387186,0.08429547982161845,0.3789244009037189,0.06227811528509242,0.15792701917462448,0.3280269279958784,0.8475566602575014,0.25317443494836744,0.521550683141741,0.5567941215178955,0.6043744062378997,0.3341418180923348,0.6121859479965606,0.11667641672231632,0.7205120177027309,0.8191034497974525,0.6829038600846533,0.26234912737411464,0.9547609225390973,0.08634974201615964,0.5028096790153775,0.479974066866822,0.4957388002880192,0.9395608934914799,0.9530919067532286
biomistral_paper,0.609041185726208,0.665166500629407,0.4198281580060451,0.8573298295318521,1.0,0.9476022639783586,0.655329480094945,0.981629202576396,0.7433479909019713,0.5343740808868047,0.9286269837354355,0.8691712336193558,0.5932693695572864,0.7882658412139408,0.7467292325646164,0.9882573257048057,0.9437030959332685,0.9664210385637095,0.6042269920985867,0.9239816510930546,0.33550967469860593,0.7431926422271586,0.8335307568083613,0.9777125335557386,0.8805431494364319,0.9312506753321167,0.844985435205917,0.884216719834098,0.6143794641196287,0.9539999274930618,0.520711506116239,0.9070696582306933,0.29881749244859956,0.8068389050815622,0.7741184232880761,0.9609868943976736,0.7301392915278554,0.8816446684025065,0.9221746921684715,0.9405907503580644,0.8096119729262666,0.9018565840518825,0.6636098639749896,0.959070568765913,0.9916556185997966,0.9624769895512455,0.759710514842997,0.9913103275867353,0.7489358459783999,0.8973650771583201,0.8928817701138814,0.8489105794696489,0.9900716636026557,0.9953839024742047
biomistral_paper_cal,0.03297873086364178,0.042193371779428945,0.021336026925606433,0.31032695344816896,0.05239773602164144,1.0,0.1479892773976741,0.5604994934227627,0.2260311232770792,0.003013139530249842,0.3466717547971392,0.3521571085998958,0.019154447998458224,0.07313125075134819,0.2357661071352054,0.8117815884111322,0.23402035360523488,0.6018409502733556,0.09535634432331874,0.7245358044154424,0.05114089894173213,0.18922141267338155,0.40507981287674744,0.8372606345241833,0.294123459050466,0.7796149072532638,0.32004527914509506,0.285364234840068,0.004344461736186744,0.5406770132946577,0.0032345426451890757,0.07942495441408504,0.012187124122777782,0.08025884920470494,0.19551629771887513,0.66459801729155,0.061209657907124626,0.23748975054398824,0.2551674223387237,0.37964029942894273,0.1294059554465381,0.34386079032555816,0.07968162613165142,0.580771672525084,0.7321818559826336,0.552994771972771,0.07666782318151166,0.9559881903310351,0.02028610365205341,0.18567838921614532,0.24524727228259513,0.31872218291871623,0.965013119842924,0.9382343468973113
biomistral_r128,0.4099655571247276,0.474658225019714,0.23679854964339275,0.736584866381355,0.34467051990505504,0.8520107226023259,1.0,0.8765610946499722,0.5999929177523213,0.33485627980305965,0.6493785209000621,0.7769780842714432,0.38501466098052883,0.5618852112983268,0.8581604858004176,0.8880845356724874,0.7625413495371021,0.8177294041815086,0.4359704484502307,0.9119268404133533,0.23819689884898654,0.7867402521074315,0.70129653920193,0.924953807072876,0.8301161284805663,0.8939457214578174,0.6850531368435122,0.7241367627844696,0.3920865492529051,0.8619865552959952,0.3404128700220961,0.7347894446305674,0.2436667819283419,0.5154608071850533,0.6773418740605539,0.8740959284378773,0.6168008669461768,0.7949030823921661,0.7690306426845575,0.7707526031148643,0.7218048458517816,0.7965705527805436,0.46700192618424485,0.8620412271069877,0.869938555262151,0.7752052973470177,0.6213219365994738,0.9224823164446594,0.5830894214412877,0.8588722666614181,0.7291649101169533,0.7730380553906017,0.9723442223892446,0.9656163278742906
biomistral_r128_cal,0.12268065747684287,0.13720000992574322,0.016199647165432096,0.33501920028443943,0.018370797423604035,0.43950050657723727,0.12343890535002777,1.0,0.211503650213144,0.0692485154715502,0.27439933483730217,0.35509214795955624,0.03791715516925631,0.09546103396606509,0.22010729056398348,0.5950098958629388,0.23261622690202688,0.500284462138826,0.10013334825964204,0.6403811982215595,0.01174492740025257,0.1379607524260965,0.38036644260830077,0.7132608989207034,0.08912712560140945,0.5987318605264124,0.3458027474884863,0.26499383675931043,0.0700566542766985,0.4483609961748214,0.06095430905710242,0.16823086128057407,0.060271388434894546,0.009188340186384258,0.2157473651262357,0.5940517361713449,0.19017478889493633,0.3654011866803426,0.3151164785336025,0.40699914876613363,0.151066677707402,0.3515115087739775,0.13736598059121352,0.4878946523576413,0.7870076519076517,0.4862407069256205,0.1397866142175216,0.84977698557864,0.14028537439768995,0.2853772905665817,0.3178293421636341,0.3159960561312778,0.9171931040029899,0.9905544110138359
biomistral_r64,0.30571391019676664,0.3376508771612423,0.0732973814668274,0.7840049651683177,0.25665200909802866,0.7739688767229208,0.40000708224767867,0.788496349786856,1.0,0.2541129391065817,0.5917023933676224,0.831684696414288,0.2525993420005842,0.36976548903503703,0.5249994899635713,0.8309115141008854,0.6736899839623326,0.8726070078731413,0.2743549536873907,0.8796350473215122,0.19237547967009117,0.4854142011260323,0.9159666724003493,0.918060088078596,0.6167364046834626,0.9192749113654528,0.7209165424481605,0.6461188805074283,0.2215530664918377,0.8859081302708743,0.2487802781321693,0.600254509387998,0.15445448748269697,0.34831925485398463,0.5374513168798656,0.9646820215076786,0.4642220500435117,0.6648556282932566,0.7209535045007038,0.709253793648508,0.49622360449867287,0.7376723589518912,0.3173349148528266,0.8651110716535017,0.8749472387395577,0.7517335796680626,0.46919008091625347,0.9343352119607043,0.4343040166304726,0.6882322220991826,0.6230828915629713,0.6834880760918398,0.9510610366295491,0.9729150746701811
biomistral_r64_cal,0.6601175886583746,0.7761637917161986,0.38555121170119167,0.9058510620350331,0.4656259191131953,0.9969868604697502,0.6651437201969403,0.9307514845284498,0.7458870608934183,1.0,0.8186169163199487,0.9168092841694812,0.5732489624084791,0.7972445685384425,0.7840261640208326,0.9947821446790661,0.9588448648944277,0.9767657380203997,0.5679070822136261,0.9474778683951026,0.3507861612157712,0.7568035617476268,0.8435100294389846,0.9843993098377638,0.8445866003249527,0.9764769441890371,0.8886282452320834,0.8877120196613953,0.6732032622512016,0.966822042517206,0.43667102731543117,0.9448849928094497,0.11078171794068437,0.7202088019169526,0.8119962699583144,0.9593572517609534,0.8665096887684408,0.9966443917143027,0.9561323973946384,0.9917998278177957,0.8769386798425939,0.9418064806651345,0.654035078009021,0.9829945531286552,0.9585604984193774,0.950565233169684,0.8254971659850763,0.9928600011447115,0.8451018796017139,0.9661571486740544,0.9539686559728199,0.8882192527548364,0.9944265853960029,0.987028714988018
gemma3_12b_paper,0.2963990798093503,0.31851031890843895,0.11524813752427798,0.5444173261996481,0.07137301626456449,0.6533282452028608,0.3506214790999379,0.7256006651626978,0.4082976066323776,0.1813830836800513,1.0,0.5674390403681477,0.13946099668841017,0.3268060368654997,0.43984489906949353,0.7785786435383487,0.5167622610944241,0.7244257996281269,0.09451446454348666,0.7549238112688541,0.0411005826348001,0.40078241311699836,0.5518313491492154,0.7930137377746149,0.4895694901117684,0.7319615699528723,0.5283717951854967,0.5331432945484891,0.22735364070783526,0.6727065613294212,0.13986907186587483,0.4688112080507437,0.11350837479975417,0.24658757468558246,0.4290004623309892,0.7336408066316427,0.38274118197905493,0.5507816743994813,0.5868518319461005,0.6359386165052388,0.4038150368112514,0.5995484572966276,0.19502458585636062,0.666891619579437,0.9250625260823969,0.8378630925108942,0.3621197528187403,0.9273613636810747,0.346885332690127,0.544181974084714,0.5374721470298746,0.5430282911291562,0.8727565589778028,0.9338860979930727
gemma3_12b_paper_cal,0.06930780807440895,0.12681647516624828,0.004324450939665048,0.29595425472430825,0.13082876638064422,0.6478428914001042,0.22302191572855679,0.6449078520404438,0.168315303585712,0.08319071583051885,0.43256095963185226,1.0,0.03590879960336124,0.07973163636461456,0.3243478036948175,0.7526257459819902,0.41364521155100353,0.7408136599133834,0.10813437514349045,0.8848475095265134,0.07696640055021464,0.27323100077399465,0.4811856874654735,0.8950982654591888,0.39266556263065355,0.9846950245887205,0.3996090763515425,0.4116276949961528,0.035903657781578335,0.746326409589445,0.07897029164592761,0.3287312292432769,0.06090232977862331,0.12351677209630396,0.28308692300642746,0.8378118271166844,0.21105076525766397,0.48358690136325655,0.4844806445645926,0.5590254947478399,0.2963029512697699,0.5413859425276824,0.12843236525610646,0.6935490273411006,0.79578874384691,0.6380013554696594,0.22195738453411284,0.9412909600014507,0.0501734786682031,0.4475428371636474,0.4451004421124447,0.43046739835336845,0.9464783310798499,0.9560326310648494
gemma3_paper,0.5750663668258834,0.6068364084806126,0.16425421331334278,0.9570980414493864,0.4067306304427136,0.9808455520015418,0.6149853390194712,0.9620828448307437,0.7474006579994158,0.4267510375915209,0.8605390033115898,0.9640912003966388,1.0,0.7632063923874705,0.7782837773586438,0.989862415644524,0.8818590983556691,0.9759341121326063,0.5239238548207374,0.9961254942044978,0.18101243281486723,0.7598854987352263,0.8594373693791848,0.9952079344052402,0.8671087479715781,0.9911664471241032,0.9005652142497759,0.9993179555069022,0.528417023027393,0.9814004144650362,0.3992915050313617,0.986216852305903,0.25906513226522576,0.7242213753662896,0.9285469179744184,0.9708870600376371,0.7598416509681734,0.9026001905044627,0.9979563199214362,0.9649527672542607,0.7524730530790145,0.9993931104565255,0.5866335078421956,0.9451529291786195,0.990352862216635,0.9821256094358477,0.8428008041575796,0.9990534802790298,0.8748879724317725,0.96049621746958,0.9603893835730649,0.9895458138581316,0.9947963075840474,0.9950140698905073
gemma3_paper_cal,0.3309442402756979,0.35867340865957087,0.06522606253418839,0.8859347341217461,0.21173415878605917,0.9268687492486518,0.4381147887016732,0.9045389660339349,0.630234510964963,0.2027554314615575,0.6731939631345003,0.9202683636353854,0.23679360761252954,1.0,0.5887976180045422,0.9634420820298291,0.9034985375907183,0.9894162252020176,0.294712682041571,0.9283112415296635,0.17454918494429594,0.5482200433778629,0.8521142799337771,0.9939313234288478,0.7303361272794444,0.9728607050901406,0.8211500742517917,0.7575636954700662,0.13419348876175607,0.9970739580955615,0.19388106036310915,0.7471293264332919,0.1014373093572799,0.3725406897757404,0.6112570807194408,0.9996621611264297,0.5262007907064834,0.7910277446449114,0.8819873538626409,0.8469577696824167,0.5689609925105881,0.8660582619627635,0.3342253337175123,0.9914314754568462,0.9592001702017099,0.8628205961890986,0.5301632728947703,0.9911568844736637,0.5207215363526909,0.8445006253772622,0.7286373025565644,0.7803386571982566,0.9961885389458867,0.9972083322127634
gemma3_r128,0.19373885022419057,0.31902368852295226,0.11730539623408376,0.6335848046005542,0.25327076743538357,0.7642338928647946,0.1418395141995824,0.7798927094360165,0.47500051003642874,0.21597383597916742,0.5601551009305065,0.6756521963051825,0.22171622264135615,0.4112023819954578,1.0,0.8165328149966424,0.6094325445964224,0.7345410388331921,0.33571951505604236,0.9042467718462841,0.13644073019978242,0.29650852168438635,0.6094438106388081,0.8731243468346347,0.6196366533779836,0.8538288709411944,0.5909607698391327,0.6212465934793084,0.2507045024841781,0.7683880312211973,0.22472946785316483,0.5864356062517573,0.17649663551558037,0.3594198245194261,0.5181482638867123,0.7932260995725602,0.3829568912196095,0.6728333423968968,0.6683943488482024,0.6811610739412965,0.44392542925267064,0.7111470528823501,0.3660273615841332,0.755962151644216,0.8118976490360842,0.7059505034010122,0.376100200192379,0.891213727493182,0.39229880472949263,0.7291933439538765,0.6256876086218651,0.6814766501537688,0.945870579262933,0.9393238141347061
