,albert,albert_cal,biobert,biobert_cal,biomistral_paper,biomistral_paper_cal,biomistral_r128,biomistral_r128_cal,biomistral_r64,biomistral_r64_cal,gemma3_12b_paper,gemma3_12b_paper_cal,gemma3_paper,gemma3_paper_cal,gemma3_r128,gemma3_r128_cal,gemma3_r64,gemma3_r64_cal,gemma4_12b_paper,gemma4_12b_paper_cal,gemma4_31b_paper,gemma4_31b_paper_cal,med_llama_paper,med_llama_paper_cal,med_llama_r128,med_llama_r128_cal,med_llama_r64,med_llama_r64_cal,medgemma_paper,medgemma_paper_cal,medgemma_r128,medgemma_r128_cal,medgemma_r64,medgemma_r64_cal,mediphi_4b_paper,mediphi_4b_paper_cal,modernbert,modernbert_cal,phi4_14b_paper,phi4_14b_paper_cal,pubmedbert,pubmedbert_cal,qwen4b_paper,qwen4b_paper_cal,qwen4b_r128,qwen4b_r128_cal,qwen4b_r64,qwen4b_r64_cal,qwen9b_paper,qwen9b_paper_cal,qwen9b_r128,qwen9b_r128_cal,qwen9b_r64,qwen9b_r64_cal,xgb,xgb_cal
albert,1.0,0.40598719897661784,0.9905520127720133,0.8740862743999428,0.9384732686420967,0.6030795963109239,0.9808629093350398,0.23797902233697388,0.006414343132780553,0.002002093621707557,0.8158369802700016,0.9272351719101147,0.9825185143010083,0.9446494649875888,0.9776313882449077,0.9489807743003315,0.9923477608437716,0.9399541994377666,0.9323893499075424,0.8250719926401084,0.9589218367973092,0.9914158654310008,0.8939390748536477,0.8791685935388712,0.6807606882727122,0.6224140311760047,0.8535552339210897,0.5670672207839791,0.7442433849922543,0.8017770426252242,0.9889053304184954,0.880994195923793,0.9203547323896109,0.7632933608938103,0.7489769921135745,0.5519475993793397,0.9912677528617897,0.9737140889013662,0.9524738387461447,0.8923492670968614,0.9744202884635196,0.9578597664655094,0.9135714036628504,0.5537996644691361,0.9242526751521623,0.8890862003269502,0.6247747168344406,0.7702143136686097,0.8971694735424174,0.16859901298237667,0.979844787158305,0.9837122128610736,0.9105080397727023,0.9693405834547282,0.7401381772332033,0.5674568688872477
albert_cal,0.5940128010233822,1.0,0.9865228024712971,0.8553604437885718,0.954219388767816,0.623724396040023,0.8905112332325862,0.28667005892373454,0.009338940271209406,0.005547106532056145,0.8497436764803068,0.9461163932544813,0.9306395263700036,0.9473736070433614,0.9491181537204785,0.9178983423855858,0.9828604556189808,0.9232752465017797,0.9490465706337989,0.7902678495389126,0.9491775044968063,0.953331483665972,0.8951423434047135,0.89097146951371,0.7487839586184524,0.7972046431529355,0.8755563985098433,0.5971424513738615,0.769772585042607,0.7563461185495848,0.9920978768924071,0.8917338163747736,0.9523618752586588,0.7977370425589385,0.7853637703711497,0.5858974965717272,0.9681916754983264,0.9735358931094344,0.9070407069041755,0.8498650900138678,0.9721185331220187,0.965754252591748,0.9862310830125849,0.5871118994186983,0.9360418427843266,0.9291563998344873,0.6388919237615227,0.7592497027444493,0.8185991491426378,0.23485847211576338,0.9645540367949099,0.9621593167834811,0.9255251967677467,0.9658113190773542,0.7478168167118739,0.590216846367775
biobert,0.009447987227986676,0.013477197528702911,1.0,0.030097216390991166,0.3358650584283195,0.0018957565841148938,0.03106133406256706,0.01615935183615469,0.0010785445144828598,0.0022961707102483464,0.21898676543644358,0.049106223049942166,0.04252546454940398,0.002568452049964809,0.2860163035911194,0.0737429968823865,0.17208787495820665,0.07129813773738669,0.3402592447085093,0.014815950773117814,0.404530241933301,0.06657214770567677,0.3312463881655776,0.05163568977705457,0.013144004062773385,0.01502623069612219,0.05846517249828331,0.0034761257429472003,0.0028430240681243113,0.011919506183534767,0.2484931948130199,0.03369558989347565,0.16311792515110235,0.03732341732280986,0.018987140698695004,0.020804274067160344,0.4721570753334542,0.14532310623598865,0.07017473560349541,0.019288797207495767,0.1745376889836896,0.12071603150480259,0.05033254601371695,0.0034192964562721473,0.2762185994544075,0.010267539002795978,0.08360201333834649,0.102795777348475,0.012782436671424424,0.0006293717436399726,0.247771061108653,0.06968618319355135,0.1714439730801287,0.06675393690009035,0.03963283020529196,0.06846495972756916
biobert_cal,0.1259137256000572,0.1446395562114282,0.9699027836090088,1.0,0.7009466421723365,0.08644251639522715,0.28949456566081855,0.09446938910141056,0.0062623109000291555,0.010086055765160307,0.5305632489311238,0.6129559349374099,0.4865725410732338,0.34174587410513824,0.7561211183179101,0.5944367041893156,0.8442661842639878,0.7221539331361341,0.7351980938165608,0.25864930752864834,0.888628247282824,0.46674737375152187,0.6668719299401633,0.4211641495989672,0.2298139920154304,0.18892915186456394,0.3728876926222975,0.05560913806993428,0.13602428042723624,0.19635252701477812,0.8164206763673895,0.41395300238791166,0.6388104507525298,0.3295654147943782,0.24995216586095081,0.18445171924537618,0.9132722876214651,0.7676440894981099,0.6073820339126363,0.34025345061101775,0.7055280316633286,0.6138696222913833,0.33461389169616873,0.08622976959642514,0.8014478595222522,0.4094552836107881,0.29645310285635607,0.376873990932465,0.19815083523276367,0.014100686680041719,0.8719032748490779,0.6457809274473101,0.500284607099694,0.4797278349021299,0.3140866634083451,0.26775324953489277
biomistral_paper,0.06152673135790332,0.04578061123218402,0.6641349415716805,0.2990533578276635,1.0,0.04765671881218747,0.15910273848158285,0.008335680946600199,0.00025129918943456175,0.0025352196145238537,0.16453913880443638,0.2212196081655322,0.22446472717368693,0.12704954708316796,0.48997327788355327,0.2578484105425346,0.5177563080330068,0.3399065218310421,0.530827751482106,0.06364883636565732,0.6071647310947657,0.26616763752091765,0.4250278435666185,0.050943060888819613,0.04278015306598015,0.031146277197822703,0.024603541170724053,0.05876826107647404,0.11020761347487751,0.07419878322341533,0.5517727397911427,0.1049962080243253,0.24857906555445186,0.003292171155401369,0.09436866684524126,0.004880918230194875,0.6172385327569689,0.4426369094317195,0.30236466280841356,0.18189930333950044,0.3446929653219297,0.22515461892072608,0.11380191568398379,0.02953244754280271,0.49479147263254797,0.15012931537835295,0.05073373573874507,0.14535393340315728,0.15538024636116132,0.018123364558219945,0.5543057022122797,0.28879303874959295,0.24468828967903922,0.11782863533870169,0.053654869957306284,0.03980682844721839
biomistral_paper_cal,0.3969204036890761,0.37627560395997695,0.9981042434158851,0.9135574836047728,0.9523432811878125,1.0,0.7155905295316363,0.18016803597493147,0.0013995282881041904,0.010567972020364746,0.8072955091999379,0.9726158795610527,0.9330763117161165,0.8967355055669286,0.9811964165322586,0.994367126247991,0.9944299398734205,0.9852292135591645,0.9496059055824739,0.851431554278149,0.9883826839983768,0.8335143596201744,0.9385813753929614,0.8921307684802569,0.6369181288158763,0.4657925954369544,0.7691553626065342,0.4478971090487768,0.7494626592508133,0.6972393725757711,0.9875824634501248,0.917423578499777,0.9333621170920708,0.7785379662460348,0.7174690889750113,0.43965658537057006,0.9908726529858984,0.9962026031215191,0.9740978636393608,0.9124317367133489,0.9857555168587122,0.937620517622925,0.6793184653820271,0.39474782661634933,0.954704483244088,0.8802783194284917,0.5645328373073912,0.7276232626259412,0.743327611138656,0.07930304895526996,0.9993310122280246,0.988150737780272,0.7811152118720042,0.8920257527682758,0.8197692999339512,0.5137708905356684
biomistral_r128,0.019137090664960166,0.10948876676741381,0.9689386659374329,0.7105054343391815,0.8408972615184171,0.28440947046836373,1.0,0.08542931183793168,0.005621216493306935,0.0008073994758931446,0.6691113863879217,0.7765852025565659,0.8876671878993627,0.6383944720763277,0.9085532869650834,0.8120418965937649,0.9726607052588695,0.8498039474053116,0.8511748910981671,0.4505441614072583,0.9197409037744959,0.9848450252403279,0.7881064542053278,0.6207194293959111,0.4113413064016864,0.20057936926285658,0.5538595769436823,0.23390479785015172,0.4569971774307804,0.3260395054841845,0.9320246808452479,0.6216368278509676,0.7919637585232076,0.4975856255930178,0.4797798896738772,0.277525720805504,0.9819292287963552,0.8951045393626383,0.8579058122872423,0.67069279175487,0.892205239750557,0.8528270475634809,0.49324899010772605,0.2315009597469473,0.8465364978430681,0.6571116120796943,0.3921569486579437,0.5473342793950547,0.4420644474136308,0.03436858265933607,0.9425171919764905,0.9038434536711377,0.7491064835902992,0.7675156061164017,0.48697222740877866,0.38283794236454727
biomistral_r128_cal,0.7620209776630261,0.7133299410762655,0.9838406481638453,0.9055306108985894,0.9916643190533998,0.8198319640250685,0.9145706881620683,1.0,0.009057899867229158,0.003972873571680302,0.9800325887237411,0.9635035730923706,0.9724088729269849,0.9289776106610436,0.9624651866535853,0.9744721748752475,0.9935567111690571,0.9852395143240946,0.9946504045826262,0.9367390238917623,0.9942265006913855,0.9378907799027573,0.9894437000509492,0.947006418257709,0.8370014517671295,0.811378958869628,0.9874423046946349,0.8483392967201885,0.8813804497430489,0.94965126127764,0.9735101529401721,0.9194212376208755,0.9788691317486322,0.939348028194263,0.9281268802416974,0.9196358957358645,0.9843274667202826,0.9844877613979057,0.9757191879364674,0.962207564860702,0.9930919708170968,0.9966273153120384,0.9205195004113893,0.8746883016901462,0.9776074794181981,0.9345538378742673,0.9607943390589184,0.9952567810214473,0.9044430219086019,0.499055157775136,0.992110640665916,0.9861005769837775,0.9860194724393792,0.9816817746490901,0.8898503646750056,0.7743232646261701
biomistral_r64,0.9935856568672194,0.9906610597287906,0.9989214554855171,0.9937376890999708,0.9997487008105654,0.9986004717118958,0.9943787835066931,0.9909421001327708,1.0,0.7097583368762646,0.9965142043736035,0.999135611476796,0.9984457146785328,0.998156408170514,0.9995658006186873,0.9997662648700818,0.9992044619298394,0.9982198698808321,0.9984554882668347,0.9995575190982404,0.9983582739806358,0.9943353360739123,0.9997704673331811,0.9999066388744139,0.9967933343625899,0.9967496546659131,0.9991488452827636,0.9931967563791463,0.9941994372395906,0.9977448365442889,0.9993814387537431,0.9997415593129018,0.9985101511684241,0.9997009080466379,0.9936635362757953,0.9995025760116442,0.9987628153001943,0.9997491645406448,0.9984143871080051,0.9970564879326015,0.9998120577011317,0.9986750746380981,0.9945302813827613,0.9971085426002005,0.9962517684465747,0.9968322867907821,0.9982701256325025,0.9958042991660585,0.9944998903382591,0.9872812913986436,0.9994997789368119,0.999568166840639,0.9939756039089893,0.9993316256206051,0.9999630435748839,0.9998851212348834
biomistral_r64_cal,0.9979979063782924,0.9944528934679439,0.9977038292897517,0.9899139442348397,0.9974647803854761,0.9894320279796353,0.9991926005241069,0.9960271264283197,0.29024166312373545,1.0,0.9932947063849972,0.9947849907973161,0.9993189722999252,0.9963745451035271,0.997773235541467,0.9978981021301849,0.9992164238283964,0.9971776938105551,0.9968535030301706,0.9975688666095921,0.9975979669055568,0.9988713901564299,0.9958578163709175,0.9963735434420927,0.9849228860540924,0.9966289584996553,0.9990763462450154,0.9913464902697356,0.9889393498951615,0.9987517353152844,0.9974364161413896,0.9941625437007529,0.9955146788048814,0.9938776052106941,0.992099945688381,0.9947763264336125,0.9990008624765181,0.997661501351972,0.9983697203161871,0.9974643282887143,0.9988687585108895,0.9990594363657567,0.9988656746647218,0.992870635878349,0.9938809444192895,0.9937465032103692,0.9967424681578768,0.9985227269616439,0.997614165329088,0.986627391930449,0.9985292994556584,0.9990913578111952,0.9997928315946555,0.9994170438953964,0.9907302999964721,0.9756799646784091
