method,median_n_sig_terms
ror,114
med_llama_paper_cal,93
modernbert,93
modernbert_cal,93
qwen9b_r64_cal,93
medgemma_paper,92
qwen4b_r128_cal,92
biomistral_r128_cal,92
biomistral_paper,92
xgb_cal,92
xgb,92
pubmedbert,92
qwen9b_paper_cal,92
biobert_cal,92
gemma3_r128_cal,92
biomistral_r128,92
gemma3_r64_cal,92
med_llama_r128_cal,92
med_llama_paper,92
qwen9b_paper,91
medgemma_r64,91
pubmedbert_cal,91
qwen4b_r64_cal,91
mediphi_4b_paper_cal,91
medgemma_paper_cal,91
phi4_14b_paper,91
qwen4b_r64,91
medgemma_r128,91
qwen9b_r128,91
med_llama_r128,91
gemma3_r64,91
gemma3_r128,91
biomistral_paper_cal,91
biobert,91
gemma4_12b_paper_cal,90
mediphi_4b_paper,90
qwen9b_r64,90
gemma3_paper,90
phi4_14b_paper_cal,90
gemma3_12b_paper_cal,90
qwen4b_paper_cal,90
qwen4b_r128,90
qwen9b_r128_cal,89
albert,89
qwen4b_paper,89
medgemma_r128_cal,89
gemma4_12b_paper,89
gemma3_paper_cal,89
medgemma_r64_cal,88
albert_cal,88
med_llama_r64_cal,88
med_llama_r64,88
gemma3_12b_paper,88
biomistral_r64_cal,87
biomistral_r64,87
prr,25
ebgm,7
