model,auc,precision,recall,f1,accuracy,ece
albert,0.9694363455496633,0.9321389793702497,0.8662966700302724,0.8980125523012552,0.9291810423097876,0.02060101830573142
albert_cal,0.9691326906699302,0.9321389793702497,0.8662966700302724,0.8980125523012552,0.9291810423097876,0.00889695053618481
biobert,0.9780677873914878,0.9209068010075567,0.922300706357215,0.9216032266196118,0.9435264209188305,0.020767255425953
biobert_cal,0.9777951921907094,0.9280245022970903,0.917255297679112,0.9226084750063436,0.9446159433448339,0.008406302455876768
biomistral_paper,0.9782038345105954,0.9481755684822845,0.9046417759838546,0.9258972372837594,0.9478845106228436,0.007721735314254404
biomistral_paper_cal,0.9779999427471355,0.9518973810796365,0.8985872855701312,0.9244744355048015,0.9471581623388414,0.003976376532991181
biomistral_r128,0.9776257237119895,0.953168044077135,0.8728557013118062,0.9112457203055043,0.9388051570728164,0.01923226029045654
biomistral_r128_cal,0.9771158153881385,0.9619534355479841,0.8546922300706358,0.9051562917445899,0.9355365897948066,0.008509391745333805
biomistral_r64,0.9553664541154075,0.9120575221238938,0.8319878910191726,0.8701846965699208,0.9106591610677319,0.009444007420188203
biomistral_r64_cal,0.9552426447960723,0.9400948991696323,0.7996972754793138,0.8642311886586695,0.9095696386417287,0.013882608123168255
gemma3_12b_paper,0.977858170341585,0.9547169811320755,0.8935418768920282,0.9231170185040396,0.9464318140548393,0.015571604712847714
gemma3_12b_paper_cal,0.9772155785044121,0.9306625577812019,0.9142280524722503,0.9223721048612878,0.9446159433448339,0.007309789198122209
gemma3_paper,0.9798199397413601,0.9351063829787234,0.8869828456104945,0.9104091144484723,0.9371708734338116,0.02097243653473187
gemma3_paper_cal,0.9797488030573029,0.9279373368146214,0.8965691220988901,0.9119835771105979,0.9377156346468132,0.007608901482221954
gemma3_r128,0.98127781236805,0.9552715654952076,0.905146316851665,0.9295336787564766,0.9506083166878518,0.021759801160788444
gemma3_r128_cal,0.9812057453249459,0.9592274678111588,0.9021190716448032,0.9297971918876755,0.9509714908298529,0.005070705839702438
gemma3_r64,0.9802102611446278,0.9456464379947229,0.9041372351160444,0.9244261026566933,0.9467949881968404,0.014807815581612708
gemma3_r64_cal,0.9796048121032556,0.9414532148457919,0.908678102926337,0.924775353016688,0.9467949881968404,0.00977650082232594
gemma4_12b_paper,0.9760223572435609,0.9207971384772611,0.9091826437941474,0.914953033764915,0.9391683312148175,0.025491997071422235
