model,auc_mean,auc_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,accuracy_mean,accuracy_std,ece_mean,ece_std
albert,0.9752490584412584,0.00397909083833668,0.9351157329657991,0.013338235160676986,0.8857411527159901,0.01831988018277746,0.9095923594225155,0.008497399179081554,0.9364581954112557,0.0050149105850960515,0.024321688894288575,0.002135600537941914
albert_cal,0.9749451070599511,0.003996184121236268,0.9363563258543713,0.010834781842322155,0.8845209060622524,0.021779811805063467,0.9094958648170796,0.008669884640161848,0.9364989385712006,0.004780328442425125,0.007659016597790974,0.0014654826870564885
biobert,0.9798147463421474,0.003466307563689982,0.9289487069286814,0.012438120125832652,0.9140604040176212,0.01318673131939645,0.9214093171092411,0.011159873943557637,0.9437418860747361,0.007366858736154527,0.019285648042567834,0.004543417941049282
biobert_cal,0.9794827071305372,0.003532994093197872,0.9455386051281784,0.013134796983880466,0.9003341860210826,0.022660160473944656,0.9221682595327797,0.010679549890010558,0.9452028424866151,0.006600537620847971,0.007895259339463556,0.0015524834542215273
biomistral_paper,0.9779819313116562,0.00206969791297847,0.9312197052069386,0.017294740994425514,0.9091576012135665,0.014712320073801475,0.9198563771425924,0.005054140763323437,0.942756500428722,0.003723621509551007,0.020798024775618113,0.011207289250829344
biomistral_paper_cal,0.977455068527625,0.0019183180223172854,0.9486956081774907,0.007417657740796506,0.888302884338126,0.007988945319015929,0.9174714349738485,0.004463181750968251,0.9422550303391268,0.0032080564544181094,0.008350269092264639,0.004309136379218604
biomistral_r128,0.9769819914641525,0.003953181848186142,0.9369888613551958,0.01901256673991758,0.8942300010593323,0.020059969976094206,0.9148733651316769,0.01068367354220471,0.9399199698489591,0.0072560498628117705,0.024001592609603294,0.005428337342812162
biomistral_r128_cal,0.976506366367014,0.004009981041213843,0.9499972644201957,0.013865807403081895,0.8772599447870346,0.018337455586118205,0.9120191671413789,0.009473933178726518,0.9389028525164733,0.0059946467082157475,0.008436118153367856,0.001727619091294607
biomistral_r64,0.9616303742562415,0.004543389516224903,0.9405902393232253,0.017157526320797745,0.8326877345593717,0.013899151186366837,0.8832115936723136,0.008940095391300395,0.9204215547156526,0.006390243079548013,0.024269376880454205,0.010552683380442534
biomistral_r64_cal,0.9612579276975322,0.00441669015524475,0.9319843584716173,0.011570903886333769,0.8407083940155259,0.023656157479955454,0.8837539370533072,0.011127462784123222,0.920172895831217,0.0065719084590422985,0.011293848720871923,0.0027989691566089134
gemma3_12b_paper,0.9803081034211732,0.00241467463129065,0.9441499856270503,0.024992094037871206,0.9017994911225855,0.025670458058975682,0.9220245517235532,0.011024400371807642,0.9449870200668551,0.007016680062376818,0.027586254645972124,0.0068887093336400885
gemma3_12b_paper_cal,0.9798726239441224,0.002479258022246442,0.9463606927833264,0.011670050894139295,0.903306435460344,0.01153656106541915,0.9242811621606158,0.008711869757546519,0.9465888958356874,0.0054320450676990225,0.007566997894526635,0.0032100095123563425
gemma3_paper,0.9794498305873447,0.0024609748330569614,0.9335333071161939,0.013113237559032218,0.9000121057216823,0.012582852721493785,0.9163855027180189,0.00857522006723506,0.9407135717170586,0.0054531778239615605,0.02018818769655622,0.0036937712169870384
gemma3_paper_cal,0.979040337574243,0.0024670382108374837,0.938808241123884,0.007173891645980053,0.8967413183368445,0.01203838724969733,0.9172620215774444,0.008132552395265865,0.9416088201533073,0.005034201017843209,0.0077347824563615605,0.002865211815111061
gemma3_r128,0.9825435528578694,0.0013617757475203444,0.9414724906324693,0.01950564073168005,0.9088165984517242,0.01549254558527072,0.9245985793440006,0.003356123524434308,0.9464300223347488,0.00284139161479007,0.022785703258764115,0.006948717226822405
